Genome,Scheme,ST,argE,galK,gbpB,purR,clonal_complex
GCF_000270185.fna.gz,mplutonius,new_alleles,1,1,1,1?,
GCF_000283975.fna.gz,mplutonius,new_alleles,4,4,3,5?,
GCF_000747585.fna.gz,mplutonius,3,2,3,2,4,3.0
GCF_001047395.fna.gz,mplutonius,3,2,3,2,4,3.0
GCF_001047405.fna.gz,mplutonius,7,2,3,5,4,3.0
GCF_001047435.fna.gz,mplutonius,3,2,3,2,4,3.0
GCF_001047445.fna.gz,mplutonius,13,1,1,1,4,13.0
GCF_001047455.fna.gz,mplutonius,7,2,3,5,4,3.0
GCF_001047465.fna.gz,mplutonius,3,2,3,2,4,3.0
GCF_001047515.fna.gz,mplutonius,20,1,1,8,4,13.0
GCF_001047525.fna.gz,mplutonius,7,2,3,5,4,3.0
GCF_001047545.fna.gz,mplutonius,7,2,3,5,4,3.0
GCF_001047555.fna.gz,mplutonius,7,2,3,5,4,3.0
GCF_001047595.fna.gz,mplutonius,32,1,9,2,4,13.0
GCF_003966875.fna.gz,mplutonius,12,4,4,3,5,12.0
GCF_004001205.fna.gz,mplutonius,26,1,1,5,4,13.0
GCF_004001225.fna.gz,mplutonius,3,2,3,2,4,3.0
GCF_009731445.fna.gz,mplutonius,3,2,3,2,4,3.0
GCF_014202715.fna.gz,mplutonius,1,1,1,1,1,13.0
