Genome,Scheme,ST,ldh,cat,lhkA,abcZ,dapE,dat,bglA
GCF_000727605.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000729505.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000729545.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000728565.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001454905.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001454925.fna.gz,lmonocytogenes,290,11,11,5,1,11,2,1
GCF_000787925.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_000729195.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000728245.fna.gz,lmonocytogenes,323,1,11,2,34,15,3,12
GCF_000728885.fna.gz,lmonocytogenes,323,1,11,2,34,15,3,12
GCF_000728925.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000725985.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001257635.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_001257675.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_000727255.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001711285.fna.gz,lmonocytogenes,91,2,15,1,7,6,5,6
GCF_001711295.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_000726925.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000438605.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_001711605.fna.gz,lmonocytogenes,11,2,10,1,7,6,1,6
GCF_001711625.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001711915.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001711935.fna.gz,lmonocytogenes,11,2,10,1,7,6,1,6
GCF_000726625.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726305.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001578015.fna.gz,lmonocytogenes,1118,352,17,1,7,18,5,10
GCF_001578025.fna.gz,lmonocytogenes,1082,6,17,1,93,212,1,15
GCF_001027085.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_000727915.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001565395.fna.gz,lmonocytogenes,101,14,15,9,7,8,6,15
GCF_001565415.fna.gz,lmonocytogenes,204,4,6,1,5,4,5,7
GCF_001466255.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001866385.fna.gz,lmonocytogenes,145,12,11,5,1,11,2,1
GCF_001866435.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000955695.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001488255.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001488275.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001490275.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001490355.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001826375.fna.gz,lmonocytogenes,372,2,58,1,7,7,5,10
GCF_001826395.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001751965.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001761005.fna.gz,lmonocytogenes,639,1,12,5,3,3,69,1
GCF_001761015.fna.gz,lmonocytogenes,451,4,10,1,7,21,1,5
GCF_001710005.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_001826685.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001826715.fna.gz,lmonocytogenes,745,30,11,7,2,3,3,1
GCF_001749925.fna.gz,lmonocytogenes,1213,390,53,26,218,260,27,30
GCF_001710965.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001710305.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_001710635.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_001710655.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001499155.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001499335.fna.gz,lmonocytogenes,-,,6,1,6,4,1,5
GCF_001826055.fna.gz,lmonocytogenes,85,38,5,1,5,7,6,8
GCF_001557675.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_001709685.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_001709705.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001752285.fna.gz,lmonocytogenes,257,30,11,5,1,11,2,1
GCF_001752305.fna.gz,lmonocytogenes,288,1,11,2,34,15,3,39
GCF_001825735.fna.gz,lmonocytogenes,188,338,169,134,169,203,132,140
GCF_001825745.fna.gz,lmonocytogenes,375,96,13,6,7,8,1,6
GCF_001759395.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001583185.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
