Genome,Scheme,ST,adk,tpiA,rpoB
GCF_000008205.fna.gz,mhyopneumoniae,28,5,16,16
GCF_000008225.fna.gz,mhyopneumoniae,15,13,19,17
GCF_000008405.fna.gz,mhyopneumoniae,27,11,15,15
GCF_000183185.fna.gz,mhyopneumoniae,61,16,34,15
GCF_000400855.fna.gz,mhyopneumoniae,61,16,34,15
GCF_000427215.fna.gz,mhyopneumoniae,-,13,,22
GCF_002193015.fna.gz,mhyopneumoniae,27,11,15,15
GCF_002213485.fna.gz,mhyopneumoniae,61,16,34,15
GCF_004768725.fna.gz,mhyopneumoniae,-,5,58,59
GCF_007923985.fna.gz,mhyopneumoniae,31,14,20,18
GCF_009831855.fna.gz,mhyopneumoniae,116,10,54,18
GCF_009831895.fna.gz,mhyopneumoniae,113,10,51,15
GCF_009831905.fna.gz,mhyopneumoniae,115,37,53,18
GCF_009831945.fna.gz,mhyopneumoniae,110,10,7,1
GCF_009832035.fna.gz,mhyopneumoniae,117,23,20,18
GCF_009832075.fna.gz,mhyopneumoniae,117,23,20,18
GCF_009832085.fna.gz,mhyopneumoniae,114,36,52,18
GCF_009832125.fna.gz,mhyopneumoniae,112,35,1,11
GCF_009832175.fna.gz,mhyopneumoniae,109,16,50,54
GCF_013402755.fna.gz,mhyopneumoniae,-,23,57,
GCF_013412725.fna.gz,mhyopneumoniae,-,6,,65
GCF_900660565.fna.gz,mhyopneumoniae,27,11,15,15
