Genome,Scheme,ST,aroE,mdh,aceK,oppB,rpoB,recA,hsp,clonal_complex
GCF_000017025.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_000017045.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_000017065.fna.gz,cbotulinum,88,34,11,20,8,10,10,9,
GCF_000019305.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_000019545.fna.gz,cbotulinum,3,3,3,5,2,3,3,3,
GCF_000020345.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_000022765.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_000063585.fna.gz,cbotulinum,9,13,6,9,10,9,8,9,
GCF_000171055.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_000171075.fna.gz,cbotulinum,14,5,2,2,4,2,5,5,
GCF_000253195.fna.gz,cbotulinum,new_alleles,20?,8,25,13,10,15,12,
GCF_000439815.fna.gz,cbotulinum,-,10,-,6,9,8,7,8,
GCF_000503815.fna.gz,cbotulinum,35,17,13,21,14,12,13,13,
GCF_000710975.fna.gz,cbotulinum,new_alleles,13,5,~7,9,7,6,8,
GCF_000710985.fna.gz,cbotulinum,new_alleles,13,8,~24,16,10,11,9,
GCF_000710995.fna.gz,cbotulinum,38,13,15,23,16,10,11,9,
GCF_000711005.fna.gz,cbotulinum,-,-,~3,~48,~2,~3,~10,~7,
GCF_000711055.fna.gz,cbotulinum,new_ST,14,18,24,13,10,7,8,
GCF_000711065.fna.gz,cbotulinum,67,10,10,12,10,9,8,7,
GCF_000711095.fna.gz,cbotulinum,new_ST,13,5,15,9,8,7,8,
GCF_000711105.fna.gz,cbotulinum,new_alleles,19,~15,~14,~8,10,7,27,
GCF_000711115.fna.gz,cbotulinum,new_alleles,~13,~8,12,10,9,8,7,
GCF_000730785.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_000730965.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_000769495.fna.gz,cbotulinum,87,23,19,43,21,15,5,17,
GCF_000816965.fna.gz,cbotulinum,54,22,4,29,20,4,17,16,
GCF_000817935.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_000829015.fna.gz,cbotulinum,19,13,10,12,10,9,8,7,
GCF_000830755.fna.gz,cbotulinum,55,23,19,30,21,15,5,17,
GCF_000876495.fna.gz,cbotulinum,70,26,22,34,26,19,18,14,
GCF_000986925.fna.gz,cbotulinum,88,34,11,20,8,10,10,9,
GCF_001273165.fna.gz,cbotulinum,59,13,5,14,8,8,7,8,
GCF_001273255.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001273275.fna.gz,cbotulinum,59,13,5,14,8,8,7,8,
GCF_001276985.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573175.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_001573235.fna.gz,cbotulinum,59,13,5,14,8,8,7,8,
GCF_001573255.fna.gz,cbotulinum,14,5,2,2,4,2,5,5,
GCF_001573295.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573315.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573325.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_001573335.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_001573375.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_001573385.fna.gz,cbotulinum,19,13,10,12,10,9,8,7,
GCF_001573395.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_001573435.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573455.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573465.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573485.fna.gz,cbotulinum,30,13,6,16,10,9,9,9,
GCF_001573515.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573535.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573555.fna.gz,cbotulinum,98,11,8,32,8,8,7,8,
GCF_001573665.fna.gz,cbotulinum,88,34,11,20,8,10,10,9,
GCF_001573725.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_001573825.fna.gz,cbotulinum,28,14,11,14,12,10,7,8,
GCF_001573885.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_001573905.fna.gz,cbotulinum,22,10,8,6,9,8,7,8,
GCF_001573935.fna.gz,cbotulinum,new_alleles,13,10,7,10,9,~8,9,
GCF_001573955.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001573965.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001573985.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_001574015.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574035.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_001574055.fna.gz,cbotulinum,22,10,8,6,9,8,7,8,
GCF_001574065.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574095.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574115.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574125.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574135.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574175.fna.gz,cbotulinum,25,10,8,6,10,8,7,8,
GCF_001574195.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574205.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_001574225.fna.gz,cbotulinum,25,10,8,6,10,8,7,8,
GCF_001574255.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574265.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574285.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574315.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_001574335.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_001574355.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_001574365.fna.gz,cbotulinum,new_alleles,~4,2,2,4,2,5,5,
GCF_001879605.fna.gz,cbotulinum,6,9,10,6,9,6,7,7,
GCF_001879625.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_001889345.fna.gz,cbotulinum,28,14,11,14,12,10,7,8,
GCF_001889365.fna.gz,cbotulinum,25,10,8,6,10,8,7,8,
GCF_001921905.fna.gz,cbotulinum,114,13,8,13,10,9,8,9,
GCF_001921925.fna.gz,cbotulinum,25,10,8,6,10,8,7,8,
GCF_001921945.fna.gz,cbotulinum,84,11,5,11,9,8,6,8,
GCF_001921965.fna.gz,cbotulinum,new_alleles,13,45,~16,10,9,8,7,
GCF_001921985.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_002024365.fna.gz,cbotulinum,22,10,8,6,9,8,7,8,
GCF_002024375.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_002024385.fna.gz,cbotulinum,16,13,7,4,8,9,7,8,
GCF_002024395.fna.gz,cbotulinum,61,12,8,42,9,8,6,6,
GCF_002024445.fna.gz,cbotulinum,47,20,8,25,13,10,15,12,
GCF_002024465.fna.gz,cbotulinum,46,13,8,4,5,9,7,8,
GCF_002103795.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_002103805.fna.gz,cbotulinum,92,13,32,13,10,9,8,9,
GCF_002103825.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_002103855.fna.gz,cbotulinum,22,10,8,6,9,8,7,8,
GCF_002103875.fna.gz,cbotulinum,new_ST,13,10,13,10,9,8,9,
GCF_002103885.fna.gz,cbotulinum,new_ST,13,5,6,9,8,6,8,
GCF_002103975.fna.gz,cbotulinum,30,13,6,16,10,9,9,9,
GCF_002103985.fna.gz,cbotulinum,58,13,8,15,9,8,7,8,
GCF_002104015.fna.gz,cbotulinum,114,13,8,13,10,9,8,9,
GCF_002865745.fna.gz,cbotulinum,new_ST,13,8,7,10,9,8,9,
GCF_002865765.fna.gz,cbotulinum,28,14,11,14,12,10,7,8,
GCF_002865805.fna.gz,cbotulinum,85,11,30,11,9,8,6,8,
GCF_002865825.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_002865845.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_002865885.fna.gz,cbotulinum,92,13,32,13,10,9,8,9,
