Genome,Scheme,ST,atpG,dppC,DUF3196,lgT,mraW,plsC,ugpA,clonal_complex
GCF_000025365.fna.gz,mgallisepticum#1,1,1,3,2,26,1,10,1,
GCF_000025385.fna.gz,mgallisepticum#1,16,2,28,3,6,2,9,4,
GCF_000092585.fna.gz,mgallisepticum#1,1,1,3,2,26,1,10,1,
GCF_000211545.fna.gz,mgallisepticum#1,38,3,27,4,2,2,8,5,
GCF_000286675.fna.gz,mgallisepticum#1,8,5,23,5,4,5,16,7,
GCF_000286695.fna.gz,mgallisepticum#1,9,5,15,5,4,5,16,7,
GCF_000286715.fna.gz,mgallisepticum#1,9,5,15,5,4,5,16,7,
GCF_000286735.fna.gz,mgallisepticum#1,9,5,15,5,4,5,16,7,
GCF_000286755.fna.gz,mgallisepticum#1,6,5,19,5,4,5,16,7,
GCF_000286775.fna.gz,mgallisepticum#1,9,5,15,5,4,5,16,7,
GCF_000286795.fna.gz,mgallisepticum#1,7,5,16,5,4,5,16,7,
GCF_000286815.fna.gz,mgallisepticum#1,9,5,15,5,4,5,16,7,
GCF_000428645.fna.gz,mgallisepticum#1,23,2,25,2,26,1,10,1,
GCF_001676495.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_001676505.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_001676515.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_001676525.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_001676575.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_001683635.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_001683675.fna.gz,mgallisepticum#1,20,4,24,2,1,4,17,6,
GCF_001705745.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_004771095.fna.gz,mgallisepticum#1,16,2,28,3,6,2,9,4,
GCF_004771115.fna.gz,mgallisepticum#1,16,2,28,3,6,2,9,4,
GCF_008728895.fna.gz,mgallisepticum#1,10,8,6,10,19,12,14,9,
GCF_008728915.fna.gz,mgallisepticum#1,19,4,24,2,1,3,17,6,
GCF_008728935.fna.gz,mgallisepticum#1,65,5,35,27,40,11,23,10,
GCF_017654545.fna.gz,mgallisepticum#1,new_alleles,8,24,~28,24,21,~18,~1,
GCF_900476085.fna.gz,mgallisepticum#1,23,2,25,2,26,1,10,1,
