Genome,Scheme,ST,yphC,trpC,efp,ppa,mutY,ureI,atpA
GCF_003059485.fna.gz,hpylori,-,2561,677,,,,,
GCF_001185045.fna.gz,hpylori,-,,,33,,,,
GCF_002357315.fna.gz,hpylori,-,,2516,1772,2292,2451,,
GCF_002357495.fna.gz,hpylori,-,,,2329,,,2411,
GCF_002012475.fna.gz,hpylori,3107,2737,2708,2468,2512,2651,426,2630
GCF_002534535.fna.gz,hpylori,-,251,2676,2450,1478,2624,2689,2602
GCF_002831845.fna.gz,hpylori,-,,,,,,,
GCF_003058705.fna.gz,hpylori,-,,,,,,,
GCF_003058885.fna.gz,hpylori,-,,,,,,,
GCF_002832505.fna.gz,hpylori,-,,,504,337,,,
GCF_000258845.fna.gz,hpylori,415,220,30,68,30,30,30,30
GCF_002532975.fna.gz,hpylori,3106,2736,1546,2467,2511,2650,2718,423
GCF_002533095.fna.gz,hpylori,3142,2697,2736,2485,2531,421,2679,2654
GCF_002026455.fna.gz,hpylori,3527,2937,2893,2617,2672,2833,2890,2795
GCF_002026625.fna.gz,hpylori,3532,2942,2898,2621,2677,290,2895,2800
GCF_001542505.fna.gz,hpylori,-,,,,,,,
GCF_002533755.fna.gz,hpylori,3103,2733,2707,2445,2509,728,2716,2628
GCF_002533855.fna.gz,hpylori,3094,2726,2698,2461,2499,2642,2711,2622
GCF_003059505.fna.gz,hpylori,2861,2347,361,2338,1977,2491,2565,357
GCF_003059715.fna.gz,hpylori,-,,,,,,,
GCF_001185095.fna.gz,hpylori,-,,,,,,,
GCF_002357355.fna.gz,hpylori,-,,,,,,,
GCF_002357515.fna.gz,hpylori,-,,,,,,,
GCF_002534545.fna.gz,hpylori,3055,2697,2668,2443,722,2614,2679,2593
GCF_002831875.fna.gz,hpylori,-,184,184,185,,,184,
GCF_003058715.fna.gz,hpylori,-,,,518,,,,
GCF_003058905.fna.gz,hpylori,-,,,,,,,
GCF_000685705.fna.gz,hpylori,-,,,,582,,,
GCF_002012485.fna.gz,hpylori,3110,2740,2712,1448,2514,2655,2720,2634
GCF_002012565.fna.gz,hpylori,3117,2746,2718,2443,233,2664,2728,2639
GCF_002026485.fna.gz,hpylori,3530,2940,2896,2620,2675,2836,2893,2798
GCF_002026595.fna.gz,hpylori,3531,2941,2897,292,2676,2837,2894,2799
GCF_001653375.fna.gz,hpylori,-,393,389,373,389,,390,383
GCF_002533765.fna.gz,hpylori,3099,2731,2703,2462,2505,2646,2713,2626
GCF_002533895.fna.gz,hpylori,3093,2725,224,2460,2498,2641,2710,2621
GCF_002532985.fna.gz,hpylori,3104,2734,224,2465,226,2648,2054,2597
GCF_002832525.fna.gz,hpylori,-,,,,,,,
GCF_002832615.fna.gz,hpylori,-,,,,,,,
GCF_003059525.fna.gz,hpylori,-,,,,,,,
GCF_003059845.fna.gz,hpylori,-,,,,,,,
GCF_001189585.fna.gz,hpylori,-,184,184,185,184,188,,184
GCF_002357375.fna.gz,hpylori,-,,,,,,,
GCF_002357535.fna.gz,hpylori,-,,,,1209,,,
GCF_002026505.fna.gz,hpylori,3522,2932,2888,2613,2667,2828,2886,2791
GCF_002026645.fna.gz,hpylori,3534,2944,2900,2390,2679,2839,2897,2802
GCF_001653395.fna.gz,hpylori,45,45,45,45,45,45,45,45
GCF_003058745.fna.gz,hpylori,-,,,,,,,
GCF_003058825.fna.gz,hpylori,-,,,,,,,
GCF_002534555.fna.gz,hpylori,-,2704,,258,252,2621,426,253
GCF_002832545.fna.gz,hpylori,-,,,,,,,
GCF_002832645.fna.gz,hpylori,-,,,,,,,
GCF_002533775.fna.gz,hpylori,3100,219,2704,887,2506,2634,2714,252
GCF_000685745.fna.gz,hpylori,-,,,,,,,
GCF_002532995.fna.gz,hpylori,3081,2716,2687,247,2490,2633,2699,2614
GCF_002533105.fna.gz,hpylori,3144,2767,2738,258,2493,2678,2747,2656
GCF_002012495.fna.gz,hpylori,3094,2726,2698,2461,2499,2642,2711,2622
GCF_003059535.fna.gz,hpylori,-,,,,,,,
GCF_003059605.fna.gz,hpylori,-,,,,,,,
GCF_002357395.fna.gz,hpylori,-,,,909,,,,
GCF_002026515.fna.gz,hpylori,3521,2931,2887,2612,2666,2827,141,2790
GCF_001189655.fna.gz,hpylori,-,,,,1167,,,
GCF_003058755.fna.gz,hpylori,958,731,726,699,704,712,736,714
GCF_003058845.fna.gz,hpylori,-,,,,,,,
GCF_001653415.fna.gz,hpylori,340,340,340,340,340,340,340,340
GCF_002832575.fna.gz,hpylori,-,,,,,,,
GCF_002900175.fna.gz,hpylori,-,,31,31,,31,31,31
GCF_002533815.fna.gz,hpylori,3098,2651,2702,2408,2504,2563,2632,2597
GCF_002534585.fna.gz,hpylori,3053,2695,430,1448,2471,2612,426,2593
GCF_002831855.fna.gz,hpylori,-,,,,,,,
GCF_002533025.fna.gz,hpylori,3105,2735,224,2466,2510,2649,2717,2629
GCF_000688915.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_002012505.fna.gz,hpylori,3103,2733,2707,2445,2509,728,2716,2628
GCF_002012575.fna.gz,hpylori,3134,2758,2729,2408,2504,2563,420,2547
GCF_003059545.fna.gz,hpylori,-,,,,,,,
GCF_003059865.fna.gz,hpylori,-,,,,,,,
GCF_002026545.fna.gz,hpylori,3529,2939,2895,2619,2674,2835,2892,2797
GCF_002026665.fna.gz,hpylori,3535,2945,2901,2623,2459,2840,2898,2803
GCF_001189675.fna.gz,hpylori,-,,,,,,,
GCF_002357435.fna.gz,hpylori,-,,,,2256,,,
GCF_002357555.fna.gz,hpylori,-,2481,,,,,970,
GCF_002832595.fna.gz,hpylori,-,,,,,,,
GCF_002900195.fna.gz,hpylori,-,,31,31,,31,,31
GCF_001653435.fna.gz,hpylori,1047,532,526,522,515,522,530,528
GCF_003058785.fna.gz,hpylori,-,,,92,,,,
GCF_003058865.fna.gz,hpylori,-,,,,,,,
GCF_002534615.fna.gz,hpylori,3141,2765,2735,2484,2530,2676,2746,2653
GCF_002533825.fna.gz,hpylori,3096,2729,2700,2443,2502,2621,2679,2546
GCF_002533055.fna.gz,hpylori,3139,2763,2733,268,219,2660,2744,2651
GCF_000688935.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_000688955.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_002012555.fna.gz,hpylori,3113,2743,2715,1448,2519,2660,2725,2637
GCF_002026555.fna.gz,hpylori,3533,2943,2899,2622,2678,2838,2896,2801
