Genome,Scheme,ST,pyrC,lysA,dtdS,glp,gyrB,mdh,metG,pntA,purM,tnaA
GCF_002073105.fna.gz,vvulnificus,128,13,41,4,12,13,14,13,1,12,11
GCF_002278495.fna.gz,vvulnificus,492,4,19,45,13,95,11,24,20,84,122
GCF_002903465.fna.gz,vvulnificus,500,115,170,62,22,3,22,82,1,26,113
GCF_002224265.fna.gz,vvulnificus,3,4,1,10,2,2,1,2,2,1,9
GCF_000764895.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_002287295.fna.gz,vvulnificus,136,9,12,15,6,6,2,12,7,7,15
GCF_002903505.fna.gz,vvulnificus,140,56,12,22,19,43,46,12,27,40,51
GCF_002265345.fna.gz,vvulnificus,136,9,12,15,6,6,2,12,7,7,15
GCF_000959825.fna.gz,vvulnificus,504,130,12,61,115,15,2,9,20,61,49
GCF_001013325.fna.gz,vvulnificus,468,67,2,37,121,27,22,94,1,20,13
GCF_001653775.fna.gz,vvulnificus,463,122,163,167,119,93,91,93,51,45,102
GCF_000743105.fna.gz,vvulnificus,8,6,7,1,4,5,6,6,6,6,5
GCF_001890585.fna.gz,vvulnificus,478,16,2,29,16,4,24,5,1,15,53
GCF_002903525.fna.gz,vvulnificus,-,5,,65,2,2,2,3,5,3,25
GCF_001890485.fna.gz,vvulnificus,509,67,70,39,5,27,58,25,93,30,61
GCF_001558515.fna.gz,vvulnificus,461,16,44,8,16,4,24,10,1,15,7
GCF_000959745.fna.gz,vvulnificus,481,12,12,103,69,42,2,78,13,10,10
GCF_002150885.fna.gz,vvulnificus,105,51,17,2,33,28,11,2,13,3,25
GCF_002278505.fna.gz,vvulnificus,492,4,19,45,13,95,11,24,20,84,122
GCF_002494385.fna.gz,vvulnificus,513,26,173,177,45,101,116,7,49,87,87
GCF_002863725.fna.gz,vvulnificus,444,5,17,164,45,38,13,2,70,3,118
GCF_002903325.fna.gz,vvulnificus,483,43,2,7,5,3,18,14,17,14,17
GCF_003047125.fna.gz,vvulnificus,462,121,162,166,17,26,2,23,5,8,119
GCF_002073135.fna.gz,vvulnificus,117,53,62,2,33,2,2,2,5,3,40
GCF_001890525.fna.gz,vvulnificus,16,4,19,5,15,16,17,15,2,1,2
GCF_000959835.fna.gz,vvulnificus,471,12,135,135,26,23,10,24,13,75,8
GCF_001890625.fna.gz,vvulnificus,487,67,166,173,127,97,3,69,103,83,7
GCF_002278415.fna.gz,vvulnificus,136,9,12,15,6,6,2,12,7,7,15
GCF_002892625.fna.gz,vvulnificus,-,5,,65,2,2,2,3,5,3,25
GCF_002903825.fna.gz,vvulnificus,139,9,22,19,6,31,2,24,27,7,29
GCF_001433435.fna.gz,vvulnificus,463,122,163,167,119,93,91,93,51,45,102
GCF_001591065.fna.gz,vvulnificus,3,4,1,10,2,2,1,2,2,1,9
GCF_002903585.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_000743115.fna.gz,vvulnificus,8,6,7,1,4,5,6,6,6,6,5
GCF_002204915.fna.gz,vvulnificus,464,99,32,168,19,11,2,9,88,7,120
GCF_002278535.fna.gz,vvulnificus,492,4,19,45,13,95,11,24,20,84,122
GCF_002850455.fna.gz,vvulnificus,442,42,115,39,5,3,32,86,4,21,75
GCF_002891685.fna.gz,vvulnificus,140,56,12,22,19,43,46,12,27,40,51
GCF_002903365.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_003071965.fna.gz,vvulnificus,-,44,34,52,16,35,51,35,36,1,70
GCF_002073185.fna.gz,vvulnificus,118,35,41,63,4,13,14,29,32,25,46
GCF_000959845.fna.gz,vvulnificus,503,39,32,29,5,34,18,5,88,23,7
GCF_001675245.fna.gz,vvulnificus,294,75,32,104,5,27,23,1,83,1,90
GCF_001890645.fna.gz,vvulnificus,509,67,70,39,5,27,58,25,93,30,61
GCF_002073055.fna.gz,vvulnificus,132,5,57,22,49,40,44,7,15,8,50
GCF_002903845.fna.gz,vvulnificus,-,5,,65,2,2,,3,5,,25
GCF_001890545.fna.gz,vvulnificus,514,19,110,38,30,14,15,21,21,21,9
GCF_001471305.fna.gz,vvulnificus,467,123,17,169,120,9,21,2,20,16,16
GCF_000743155.fna.gz,vvulnificus,59,26,23,43,37,23,26,27,27,3,6
GCF_002278435.fna.gz,vvulnificus,136,9,12,15,6,6,2,12,7,7,15
GCF_002903605.fna.gz,vvulnificus,9,5,1,2,10,10,27,7,12,9,25
GCF_000959755.fna.gz,vvulnificus,480,43,119,171,1,3,4,5,102,45,7
GCF_002215135.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_002903625.fna.gz,vvulnificus,122,12,63,22,48,11,43,24,13,8,42
GCF_001889185.fna.gz,vvulnificus,-,43,2,7,5,3,18,14,,14,17
GCF_002278545.fna.gz,vvulnificus,492,4,19,45,13,95,11,24,20,84,122
GCF_002903645.fna.gz,vvulnificus,487,67,166,173,127,97,3,69,103,83,7
GCF_001890565.fna.gz,vvulnificus,21,3,29,37,22,21,22,19,1,20,13
GCF_002891755.fna.gz,vvulnificus,444,5,17,164,45,38,13,2,70,3,118
GCF_002903695.fna.gz,vvulnificus,135,13,41,27,34,13,14,13,29,25,11
GCF_002073095.fna.gz,vvulnificus,113,5,33,22,50,8,10,7,9,9,30
GCF_000960125.fna.gz,vvulnificus,507,106,143,111,104,42,115,18,25,22,7
GCF_002073145.fna.gz,vvulnificus,118,35,41,63,4,13,14,29,32,25,46
GCF_002903725.fna.gz,vvulnificus,511,4,11,44,23,14,17,17,21,8,9
GCF_000743165.fna.gz,vvulnificus,-,11,4,33,6,11,12,12,13,10,21
GCF_001471415.fna.gz,vvulnificus,466,22,2,7,5,3,18,14,10,14,13
GCF_002278445.fna.gz,vvulnificus,492,4,19,45,13,95,11,24,20,84,122
GCF_002903205.fna.gz,vvulnificus,517,17,175,179,13,14,11,2,16,16,16
