Genome,Scheme,ST,ddl,pyrE,thrS,glnA,tpi,pheS,mutS2,gki,proS,mutS
GCF_014041875.fna.gz,sbovisequinus_complex_sbsec,-,16,67,40,10,9,43,,,,
GCF_016906125.fna.gz,sbovisequinus_complex_sbsec,-,,,,20,,,,,,
GCF_900099885.fna.gz,sbovisequinus_complex_sbsec,192,53,77,45,10,9,11,63,43,58,61
GCF_900100035.fna.gz,sbovisequinus_complex_sbsec,186,52,75,15,10,9,45,61,40,56,57
GCF_900100215.fna.gz,sbovisequinus_complex_sbsec,193,51,73,42,10,28,43,59,41,54,59
GCF_900101445.fna.gz,sbovisequinus_complex_sbsec,194,64,79,46,30,30,48,65,44,60,63
GCF_900102715.fna.gz,sbovisequinus_complex_sbsec,195,49,72,15,10,26,11,58,42,52,57
GCF_004525775.fna.gz,sbovisequinus_complex_sbsec,-,,,,,9,,,,,
GCF_009758075.fna.gz,sbovisequinus_complex_sbsec,-,,,,10,9,11,,,,
GCF_009758095.fna.gz,sbovisequinus_complex_sbsec,-,,,,10,,26,,,,
GCF_900101715.fna.gz,sbovisequinus_complex_sbsec,187,62,84,51,35,31,55,73,23,67,70
GCF_900103355.fna.gz,sbovisequinus_complex_sbsec,196,63,85,41,10,9,43,56,49,68,71
GCF_900104225.fna.gz,sbovisequinus_complex_sbsec,188,65,86,54,36,35,56,74,55,69,72
GCF_900106895.fna.gz,sbovisequinus_complex_sbsec,189,60,80,51,20,33,53,71,53,65,24
GCF_900109105.fna.gz,sbovisequinus_complex_sbsec,190,45,70,38,29,25,40,55,45,50,54
GCF_900109395.fna.gz,sbovisequinus_complex_sbsec,197,48,71,40,10,26,41,57,47,17,56
GCF_900109415.fna.gz,sbovisequinus_complex_sbsec,198,11,74,43,10,29,44,60,46,55,60
GCF_900110365.fna.gz,sbovisequinus_complex_sbsec,192,53,77,45,10,9,11,63,43,58,61
GCF_900110845.fna.gz,sbovisequinus_complex_sbsec,191,59,82,46,33,31,3,70,52,65,24
GCF_900110935.fna.gz,sbovisequinus_complex_sbsec,193,51,73,42,10,28,43,59,41,54,59
GCF_900112385.fna.gz,sbovisequinus_complex_sbsec,199,61,83,52,34,34,54,72,54,66,69
GCF_900113235.fna.gz,sbovisequinus_complex_sbsec,200,50,15,41,10,27,42,56,48,53,58
GCF_900114525.fna.gz,sbovisequinus_complex_sbsec,59,24,32,28,20,9,24,29,23,23,24
GCF_900115895.fna.gz,sbovisequinus_complex_sbsec,201,47,70,39,10,9,11,56,49,51,55
GCF_900115995.fna.gz,sbovisequinus_complex_sbsec,202,55,80,47,31,31,49,66,23,61,64
GCF_900199575.fna.gz,sbovisequinus_complex_sbsec,-,44,,,10,9,,,,,
GCF_900321175.fna.gz,sbovisequinus_complex_sbsec,-,,,40,10,9,27,,,,
GCF_900459295.fna.gz,sbovisequinus_complex_sbsec,29,14,19,3,10,11,15,16,14,16,14
GCF_900459945.fna.gz,sbovisequinus_complex_sbsec,-,,,3,,,,,14,,
GCF_900636465.fna.gz,sbovisequinus_complex_sbsec,-,27,35,15,10,9,27,,26,26,
GCF_900636565.fna.gz,sbovisequinus_complex_sbsec,-,,,,10,,15,,,,
GCF_901543475.fna.gz,sbovisequinus_complex_sbsec,-,27,35,15,10,9,27,,26,26,
GCF_902373735.fna.gz,sbovisequinus_complex_sbsec,1,1,1,1,1,1,1,1,1,1,1
GCF_902374225.fna.gz,sbovisequinus_complex_sbsec,29,14,19,3,10,11,15,16,14,16,14
GCF_000747195.fna.gz,sbovisequinus_complex_sbsec,58,23,31,27,10,9,23,28,22,22,23
GCF_000747205.fna.gz,sbovisequinus_complex_sbsec,59,24,32,28,20,9,24,29,23,23,24
GCF_000964315.fna.gz,sbovisequinus_complex_sbsec,184,44,67,37,10,9,39,53,39,48,53
GCF_001481485.fna.gz,sbovisequinus_complex_sbsec,181,12,26,11,13,10,4,14,38,47,3
GCF_002073515.fna.gz,sbovisequinus_complex_sbsec,-,,,,,,,,,,
GCF_006538945.fna.gz,sbovisequinus_complex_sbsec,-,,,,10,,,,46,,
GCF_000146405.fna.gz,sbovisequinus_complex_sbsec,14,7,12,10,6,6,7,8,6,6,7
GCF_000187265.fna.gz,sbovisequinus_complex_sbsec,29,14,19,3,10,11,15,16,14,16,14
GCF_000421425.fna.gz,sbovisequinus_complex_sbsec,33,18,15,20,10,9,17,18,18,18,16
GCF_000424045.fna.gz,sbovisequinus_complex_sbsec,19,11,15,15,10,9,11,12,11,10,12
GCF_000702105.fna.gz,sbovisequinus_complex_sbsec,31,16,21,19,10,12,16,17,16,17,15
GCF_000731085.fna.gz,sbovisequinus_complex_sbsec,61,26,34,30,10,9,26,31,25,25,26
