Genome,Scheme,ST,efp,recA,nagC,gmk,ppa,atpG,adk
GCF_000008245.fna.gz,msynoviae,1,1,1,1,1,1,1,1
GCF_000385095.fna.gz,msynoviae,44,2,3,3,3,2,3,2
GCF_000969765.fna.gz,msynoviae,44,2,3,3,3,2,3,2
GCF_002009055.fna.gz,msynoviae,43,2,2,2,2,1,2,4
GCF_003147565.fna.gz,msynoviae,43,2,2,2,2,1,2,4
GCF_003586085.fna.gz,msynoviae,43,2,2,2,2,1,2,4
GCF_009671165.fna.gz,msynoviae,93,19,17,46,1,19,38,28
GCF_013393745.fna.gz,msynoviae,43,2,2,2,2,1,2,4
GCF_014805575.fna.gz,msynoviae,-,4,,,,,,34
GCF_900475235.fna.gz,msynoviae,44,2,3,3,3,2,3,2
