Genome,Scheme,ST,dnaA,fusA,gyrB,leuS,pyrG,rplB,rpoB,clonal_complex
GCF_000025565.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_000235765.fna.gz,ecloacae,736,240,92,167,217,105,22,99,
GCF_000496775.fna.gz,ecloacae,-,-,-,-,-,-,~186,-,
GCF_000564975.fna.gz,ecloacae,738,241,98,170,287,237,68,109,
GCF_000686165.fna.gz,ecloacae,719,234,149,250,278,232,96,156,
GCF_000686185.fna.gz,ecloacae,719,234,149,250,278,232,96,156,
GCF_000692275.fna.gz,ecloacae,414,136,99,153,160,140,12,92,
GCF_000755525.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_000770155.fna.gz,ecloacae,432,141,44,158,168,145,1,1,
GCF_000783675.fna.gz,ecloacae,252,22,15,102,104,101,11,10,
GCF_000812505.fna.gz,ecloacae,717,192,148,61,168,1,95,1,
GCF_000818625.fna.gz,ecloacae,673,1,51,156,250,153,22,1,
GCF_000953895.fna.gz,ecloacae,413,135,98,152,159,139,68,91,
GCF_000958205.fna.gz,ecloacae,608,211,48,61,186,198,77,1,
GCF_000966095.fna.gz,ecloacae,712,1,126,245,73,228,33,1,
GCF_001006635.fna.gz,ecloacae,680,220,136,232,255,215,107,136,
GCF_001006645.fna.gz,ecloacae,674,150,92,109,251,211,22,157,
GCF_001011715.fna.gz,ecloacae,690,192,44,236,264,222,22,1,
GCF_001022575.fna.gz,ecloacae,700,150,92,240,269,154,22,99,
GCF_001022695.fna.gz,ecloacae,608,211,48,61,186,198,77,1,
GCF_001052195.fna.gz,ecloacae,658,244,27,260,291,204,104,27,
GCF_001052295.fna.gz,ecloacae,658,244,27,260,291,204,104,27,
GCF_001052595.fna.gz,ecloacae,-,-,~118,-,-,-,~182,-,
GCF_001053955.fna.gz,ecloacae,658,244,27,260,291,204,104,27,
GCF_001055075.fna.gz,ecloacae,-,144,106,309|165,237,150,12,129,
GCF_001055365.fna.gz,ecloacae,373,131,48,61,146,1,22,1,
GCF_001056585.fna.gz,ecloacae,-,144,106,309|165,237,150,12,129,
GCF_001057255.fna.gz,ecloacae,373,131,48,61,146,1,22,1,
GCF_001057315.fna.gz,ecloacae,373,131,48,61,146,1,22,1,
GCF_001057675.fna.gz,ecloacae,669,217,159,264,294,210,106,156,
GCF_001077015.fna.gz,ecloacae,669,217,159,264,294,210,106,156,
GCF_001190095.fna.gz,ecloacae,721,150,92,195,280,154,97,64,
GCF_001299075.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_001317435.fna.gz,ecloacae,436,1,105,158,177,149,22,1,
GCF_001472135.fna.gz,ecloacae,513,171,1,190,168,1,22,113,
GCF_001472555.fna.gz,ecloacae,519,1,107,158,1,168,36,1,
GCF_001472845.fna.gz,ecloacae,524,1,107,188,1,172,36,1,
GCF_001472895.fna.gz,ecloacae,525,169,44,189,186,36,1,1,
GCF_001472955.fna.gz,ecloacae,137,73,48,65,66,36,22,1,
GCF_001473135.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_001473155.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_001525175.fna.gz,ecloacae,462,1,107,158,1,153,36,1,
GCF_001525285.fna.gz,ecloacae,609,198,126,158,225,1,1,1,
GCF_001562175.fna.gz,ecloacae,new_alleles,~396,202,~420,~495,377,~184,~266,
GCF_001631195.fna.gz,ecloacae,765,156,92,169,218,105,22,99,
GCF_001631365.fna.gz,ecloacae,1512,150,92,411,481,154,22,259,
GCF_001641445.fna.gz,ecloacae,new_alleles,308,113,~333,~195,358,6,55,
GCF_001641585.fna.gz,ecloacae,new_alleles,308,113,~333,~195,358,6,55,
GCF_001662855.fna.gz,ecloacae,new_alleles,308,113,~333,~195,358,6,55,
GCF_001708345.fna.gz,ecloacae,432,141,44,158,168,145,1,1,
GCF_001997105.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
