Genome,Scheme,ST,gyrB,pyc,pgm,leuS,glnA,dalR,pgI,clonal_complex
GCF_000014505.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1,
GCF_000285875.fna.gz,ppentosaceus,2,1,2,2,1,1,2,1,
GCF_000496265.fna.gz,ppentosaceus,new_alleles,~6,4,~2,~7,~2,~1,6,
GCF_000708635.fna.gz,ppentosaceus,new_alleles,~6,~4,2,~1,1,2,1,
GCF_001411765.fna.gz,ppentosaceus,new_alleles,1,~2,5,8,~2,3,8,
GCF_001437285.fna.gz,ppentosaceus,2,1,2,2,1,1,2,1,
GCF_001748065.fna.gz,ppentosaceus,new_alleles,1,~4,8,~5,2,10,8,
GCF_002202155.fna.gz,ppentosaceus,new_ST,1,2,5,8,2,3,8,
GCF_002724015.fna.gz,ppentosaceus,new_ST,2,6,3,2,2,3,2,
GCF_002982155.fna.gz,ppentosaceus,new_ST,1,6,2,8,2,3,8,
GCF_003429405.fna.gz,ppentosaceus,new_ST,3,6,2,5,4,5,4,
GCF_004115445.fna.gz,ppentosaceus,new_alleles,~6,4,~2,~7,2,~1,6,
GCF_004353295.fna.gz,ppentosaceus,new_alleles,~6,4,2,~7,~2,~1,6,
GCF_004354495.fna.gz,ppentosaceus,2,1,2,2,1,1,2,1,
GCF_005864405.fna.gz,ppentosaceus,new_alleles,1,9,2,~2,2,4,6,
GCF_006770865.fna.gz,ppentosaceus,new_ST,1,4,7,3,2,4,3,
GCF_007923185.fna.gz,ppentosaceus,new_alleles,1,4,2,~1,2,4,~3,
GCF_007992275.fna.gz,ppentosaceus,2,1,2,2,1,1,2,1,
GCF_009791435.fna.gz,ppentosaceus,new_alleles,~1,~4,3,8,~2,~8,8,
GCF_009808085.fna.gz,ppentosaceus,new_alleles,~1,4,2,8,2,~4,3,
GCF_009808645.fna.gz,ppentosaceus,new_alleles,~6,4,2,~7,~2,~1,6,
GCF_009808655.fna.gz,ppentosaceus,new_ST,3,6,2,5,4,5,4,
GCF_009808815.fna.gz,ppentosaceus,new_alleles,~6,~1,2,~10,~2,~8,~8,
GCF_009808845.fna.gz,ppentosaceus,new_alleles,~1,4,7,3,2,~4,3,
