Genome,Scheme,ST,murI,mutS,atoB,gki,recP,xpt,gtr
GCF_011379825.fna.gz,sdysgalactiae_equisimilis,128,1,1,11,3,4,1,2
GCF_013004125.fna.gz,sdysgalactiae_equisimilis,128,1,1,11,3,4,1,2
GCF_016888375.fna.gz,sdysgalactiae_equisimilis,44,4,2,1,2,3,7,2
GCF_009650255.fna.gz,sdysgalactiae_equisimilis,-,1,2,1,2,3,7,
GCF_011379655.fna.gz,sdysgalactiae_equisimilis,473,1,2,2,4,17,84,4
GCF_019265245.fna.gz,sdysgalactiae_equisimilis,-,,31,,,42,,6
GCF_001682735.fna.gz,sdysgalactiae_equisimilis,3,4,1,1,5,6,2,3
GCF_011379605.fna.gz,sdysgalactiae_equisimilis,8,1,1,4,1,1,1,1
GCF_011379715.fna.gz,sdysgalactiae_equisimilis,319,2,8,2,3,9,6,3
GCF_011379725.fna.gz,sdysgalactiae_equisimilis,12,5,2,2,4,17,6,4
GCF_011379765.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_016888365.fna.gz,sdysgalactiae_equisimilis,323,4,2,1,2,3,7,3
GCF_008121785.fna.gz,sdysgalactiae_equisimilis,20,2,8,6,3,9,6,3
GCF_009847535.fna.gz,sdysgalactiae_equisimilis,20,2,8,6,3,9,6,3
GCF_009848215.fna.gz,sdysgalactiae_equisimilis,20,2,8,6,3,9,6,3
GCF_011327345.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_008693725.fna.gz,sdysgalactiae_equisimilis,25,1,5,3,3,7,4,2
GCF_011379845.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_012844385.fna.gz,sdysgalactiae_equisimilis,471,1,1,11,3,4,8,2
GCF_014192895.fna.gz,sdysgalactiae_equisimilis,25,1,5,3,3,7,4,2
GCF_008121765.fna.gz,sdysgalactiae_equisimilis,12,5,2,2,4,17,6,4
GCF_011379625.fna.gz,sdysgalactiae_equisimilis,474,4,1,2,3,4,85,20
GCF_011379665.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_014893835.fna.gz,sdysgalactiae_equisimilis,530,48,30,33,30,12,56,13
GCF_009847065.fna.gz,sdysgalactiae_equisimilis,473,1,2,2,4,17,84,4
GCF_009847585.fna.gz,sdysgalactiae_equisimilis,20,2,8,6,3,9,6,3
GCF_011379545.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_011379645.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_011379535.fna.gz,sdysgalactiae_equisimilis,23,4,1,1,3,3,1,3
GCF_008121795.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_011379805.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_901542365.fna.gz,sdysgalactiae_equisimilis,554,4,2,10,3,30,102,2
GCF_009380195.fna.gz,sdysgalactiae_equisimilis,360,2,1,2,3,9,8,3
GCF_011379705.fna.gz,sdysgalactiae_equisimilis,55,4,2,3,3,20,1,2
GCF_012844405.fna.gz,sdysgalactiae_equisimilis,128,1,1,11,3,4,1,2
GCF_016128095.fna.gz,sdysgalactiae_equisimilis,61,4,1,2,3,4,16,3
GCF_009847965.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_011379815.fna.gz,sdysgalactiae_equisimilis,8,1,1,4,1,1,1,1
GCF_901542425.fna.gz,sdysgalactiae_equisimilis,1,6,6,8,10,12,13,6
GCF_011379745.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_014192695.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_901542475.fna.gz,sdysgalactiae_equisimilis,1,6,6,8,10,12,13,6
GCF_009389575.fna.gz,sdysgalactiae_equisimilis,127,1,5,3,3,7,33,2
GCF_008121775.fna.gz,sdysgalactiae_equisimilis,20,2,8,6,3,9,6,3
GCF_011379555.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_901543405.fna.gz,sdysgalactiae_equisimilis,1,6,6,8,10,12,13,6
GCF_009847485.fna.gz,sdysgalactiae_equisimilis,474,4,1,2,3,4,85,20
GCF_011379515.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_901543655.fna.gz,sdysgalactiae_equisimilis,369,4,1,2,3,11,1,3
GCF_008121855.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_016128135.fna.gz,sdysgalactiae_equisimilis,264,1,32,3,3,44,1,2
GCF_016888305.fna.gz,sdysgalactiae_equisimilis,49,3,1,2,3,5,5,2
GCF_016888325.fna.gz,sdysgalactiae_equisimilis,44,4,2,1,2,3,7,2
GCF_019265305.fna.gz,sdysgalactiae_equisimilis,-,6,30,8,31,12,13,13
GCF_900459065.fna.gz,sdysgalactiae_equisimilis,298,35,33,39,39,47,64,43
GCF_900460145.fna.gz,sdysgalactiae_equisimilis,61,4,1,2,3,4,16,3
GCF_900460375.fna.gz,sdysgalactiae_equisimilis,-,4,1,2,4,,1,2
GCF_900474785.fna.gz,sdysgalactiae_equisimilis,3,4,1,1,5,6,2,3
GCF_900475145.fna.gz,sdysgalactiae_equisimilis,49,3,1,2,3,5,5,2
GCF_900635345.fna.gz,sdysgalactiae_equisimilis,300,35,35,8,40,49,67,43
GCF_009650295.fna.gz,sdysgalactiae_equisimilis,-,30,7,35,,41,55,
GCF_901544215.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_901544225.fna.gz,sdysgalactiae_equisimilis,-,1,1,4,1,4,9,1
GCF_001038445.fna.gz,sdysgalactiae_equisimilis,44,4,2,1,2,3,7,2
GCF_001682825.fna.gz,sdysgalactiae_equisimilis,40,1,4,4,1,1,1,1
GCF_003202195.fna.gz,sdysgalactiae_equisimilis,-,4,1,2,2,1,1,
GCF_001682755.fna.gz,sdysgalactiae_equisimilis,3,4,1,1,5,6,2,3
GCF_001704515.fna.gz,sdysgalactiae_equisimilis,8,1,1,4,1,1,1,1
GCF_003967135.fna.gz,sdysgalactiae_equisimilis,246,30,7,35,34,41,55,36
GCF_016724885.fna.gz,sdysgalactiae_equisimilis,298,35,33,39,39,47,64,43
GCF_019265265.fna.gz,sdysgalactiae_equisimilis,341,31,31,32,35,42,54,37
GCF_019265285.fna.gz,sdysgalactiae_equisimilis,-,6,27,29,32,39,48,33
GCF_019265325.fna.gz,sdysgalactiae_equisimilis,-,6,27,29,32,39,48,33
GCF_900459095.fna.gz,sdysgalactiae_equisimilis,264,1,32,3,3,44,1,2
GCF_900475185.fna.gz,sdysgalactiae_equisimilis,553,55,23,8,65,65,41,25
GCF_901543725.fna.gz,sdysgalactiae_equisimilis,254,6,30,30,30,12,13,13
GCF_009730735.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_901543615.fna.gz,sdysgalactiae_equisimilis,275,4,2,1,3,30,52,3
GCF_901544365.fna.gz,sdysgalactiae_equisimilis,42,4,1,4,1,1,1,1
GCF_900636815.fna.gz,sdysgalactiae_equisimilis,553,55,23,8,65,65,41,25
GCF_001072165.fna.gz,sdysgalactiae_equisimilis,296,1,1,4,1,1,63,1
GCF_001704435.fna.gz,sdysgalactiae_equisimilis,186,4,1,5,9,2,3,2
GCF_009389595.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_001682765.fna.gz,sdysgalactiae_equisimilis,314,4,10,2,2,8,70,2
GCF_001704525.fna.gz,sdysgalactiae_equisimilis,69,1,1,11,3,4,1,9
GCF_009497975.fna.gz,sdysgalactiae_equisimilis,44,4,2,1,2,3,7,2
GCF_016766775.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_019273775.fna.gz,sdysgalactiae_equisimilis,-,,31,,,42,,6
GCF_900459135.fna.gz,sdysgalactiae_equisimilis,298,35,33,39,39,47,64,43
GCF_900459205.fna.gz,sdysgalactiae_equisimilis,299,35,34,40,40,48,66,43
GCF_900459225.fna.gz,sdysgalactiae_equisimilis,-,35,33,39,,47,64,43
GCF_900475255.fna.gz,sdysgalactiae_equisimilis,49,3,1,2,3,5,5,2
GCF_901875505.fna.gz,sdysgalactiae_equisimilis,317,4,2,2,3,9,17,3
GCF_009650275.fna.gz,sdysgalactiae_equisimilis,-,31,31,,,42,54,37
GCF_900475725.fna.gz,sdysgalactiae_equisimilis,183,2,8,2,3,9,8,3
GCF_901543995.fna.gz,sdysgalactiae_equisimilis,25,1,5,3,3,7,4,2
GCF_901544045.fna.gz,sdysgalactiae_equisimilis,42,4,1,4,1,1,1,1
GCF_000971005.fna.gz,sdysgalactiae_equisimilis,51,4,1,2,3,11,1,2
GCF_001682745.fna.gz,sdysgalactiae_equisimilis,84,9,1,2,6,8,3,3
GCF_001682815.fna.gz,sdysgalactiae_equisimilis,29,4,2,3,3,7,1,2
GCF_001704445.fna.gz,sdysgalactiae_equisimilis,38,1,1,1,1,1,1,1
GCF_001704455.fna.gz,sdysgalactiae_equisimilis,78,4,1,1,8,6,2,3
GCF_002094215.fna.gz,sdysgalactiae_equisimilis,20,2,8,6,3,9,6,3
GCF_009730755.fna.gz,sdysgalactiae_equisimilis,127,1,5,3,3,7,33,2
GCF_000010705.fna.gz,sdysgalactiae_equisimilis,67,4,2,7,3,9,22,3
GCF_000307185.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_000317855.fna.gz,sdysgalactiae_equisimilis,128,1,1,11,3,4,1,2
GCF_000970985.fna.gz,sdysgalactiae_equisimilis,53,4,2,1,3,3,7,2
GCF_009730775.fna.gz,sdysgalactiae_equisimilis,127,1,5,3,3,7,33,2
GCF_009730795.fna.gz,sdysgalactiae_equisimilis,151,2,2,2,3,28,8,3
GCF_009730815.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_009730835.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_009730855.fna.gz,sdysgalactiae_equisimilis,520,1,2,2,4,17,6,10
GCF_009730875.fna.gz,sdysgalactiae_equisimilis,17,1,2,2,4,17,6,4
GCF_009730895.fna.gz,sdysgalactiae_equisimilis,148,1,17,3,3,7,4,2
GCF_009846995.fna.gz,sdysgalactiae_equisimilis,12,5,2,2,4,17,6,4
