Genome,Scheme,ST,leuA,petC,malF,cysG,holC,nuoL,gltT,clonal_complex
GCF_000006725.fna.gz,xfastidiosa,13,7,6,7,9,10,7,8,
GCF_000007245.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_000019325.fna.gz,xfastidiosa,7,3,3,3,7,3,3,3,
GCF_000019765.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_000166835.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_000166855.fna.gz,xfastidiosa,5,2,2,2,2,2,2,2,
GCF_000219235.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_000428665.fna.gz,xfastidiosa,41,3,3,5,18,9,3,3,
GCF_000506405.fna.gz,xfastidiosa,16,7,6,8,10,11,8,8,
GCF_000506905.fna.gz,xfastidiosa,14,8,8,8,11,12,9,9,
GCF_000567985.fna.gz,xfastidiosa,29,4,3,6,18,5,4,3,
GCF_000698805.fna.gz,xfastidiosa,5,2,2,2,2,2,2,2,
GCF_000698825.fna.gz,xfastidiosa,30,4,5,6,8,5,4,3,
GCF_000732705.fna.gz,xfastidiosa,8,3,3,5,5,4,3,7,
GCF_000767565.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_000811965.fna.gz,xfastidiosa,53,7,6,16,24,10,16,14,
GCF_001417925.fna.gz,xfastidiosa,72,12,12,15,26,24,18,1,
GCF_001456195.fna.gz,xfastidiosa,16,7,6,8,10,11,8,8,
GCF_001456275.fna.gz,xfastidiosa,13,7,6,7,9,10,7,8,
GCF_001456295.fna.gz,xfastidiosa,14,8,8,8,11,12,9,9,
GCF_001456315.fna.gz,xfastidiosa,70,14,7,8,11,22,9,8,
GCF_001469345.fna.gz,xfastidiosa,74,7,6,8,28,25,16,8,
GCF_001469395.fna.gz,xfastidiosa,75,9,1,10,29,1,19,1,
GCF_001549735.fna.gz,xfastidiosa,53,7,6,16,24,10,16,14,
GCF_001549745.fna.gz,xfastidiosa,11,7,7,7,9,10,8,8,
GCF_001549755.fna.gz,xfastidiosa,53,7,6,16,24,10,16,14,
GCF_001549765.fna.gz,xfastidiosa,11,7,7,7,9,10,8,8,
GCF_001549815.fna.gz,xfastidiosa,14,8,8,8,11,12,9,9,
GCF_001549825.fna.gz,xfastidiosa,53,7,6,16,24,10,16,14,
GCF_001572105.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_001684415.fna.gz,xfastidiosa,11,7,7,7,9,10,8,8,
GCF_001886315.fna.gz,xfastidiosa,42,6,3,5,12,4,3,3,
GCF_001971465.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_001971505.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_002117875.fna.gz,xfastidiosa,53,7,6,16,24,10,16,14,
GCF_003515915.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_003973695.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_003973705.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_004016275.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_004016295.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_004016315.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_004016365.fna.gz,xfastidiosa,51,3,3,5,3,4,15,3,
GCF_004016375.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_004016405.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_004016415.fna.gz,xfastidiosa,76,12,13,15,26,24,18,1,
GCF_004023385.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_004023395.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_006369895.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_006369905.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_006369915.fna.gz,xfastidiosa,42,6,3,5,12,4,3,3,
GCF_006369995.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_006370035.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_006370045.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_006370055.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_006370085.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_006370115.fna.gz,xfastidiosa,4,1,1,1,4,1,1,1,
GCF_006370155.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_006370175.fna.gz,xfastidiosa,73,7,6,8,27,10,16,8,
GCF_006370185.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_006370215.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_006370235.fna.gz,xfastidiosa,-,7,6,-,24,10,16,14,
GCF_007713905.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_007713945.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_007713995.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_007845655.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_007845705.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_009664125.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_009669335.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_009669365.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_009669375.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_009669405.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_009669425.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_009669445.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_009669455.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_009669465.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3,
GCF_009669505.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_009669515.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_009695485.fna.gz,xfastidiosa,7,3,3,3,7,3,3,3,
GCF_009695495.fna.gz,xfastidiosa,26,5,3,3,3,6,3,5,
GCF_009910885.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_011801475.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_012952075.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_012952085.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_012952095.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_012974105.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_012974125.fna.gz,xfastidiosa,7,3,3,3,7,3,3,3,
GCF_012974145.fna.gz,xfastidiosa,7,3,3,3,7,3,3,3,
GCF_013283685.fna.gz,xfastidiosa,11,7,7,7,9,10,8,8,
GCF_013283695.fna.gz,xfastidiosa,11,7,7,7,9,10,8,8,
GCF_014249995.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
GCF_014856645.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856675.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_014856685.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856695.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856735.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856745.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856775.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856785.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856795.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856835.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856845.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856865.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_014856895.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_014856905.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_014856935.fna.gz,xfastidiosa,81,3,3,3,32,3,3,3,
GCF_015102005.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_015475935.fna.gz,xfastidiosa,7,3,3,3,7,3,3,3,
GCF_015475955.fna.gz,xfastidiosa,34,3,3,3,3,3,3,6,
GCF_015475975.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_015475995.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_015476015.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_015476035.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1,
GCF_018069645.fna.gz,xfastidiosa,42,6,3,5,12,4,3,3,
GCF_018069665.fna.gz,xfastidiosa,43,3,3,5,18,4,3,7,
GCF_018449095.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_018449105.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_018449135.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_018449155.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_018449175.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_018449235.fna.gz,xfastidiosa,87,5,3,5,3,3,21,3,
GCF_900129695.fna.gz,xfastidiosa,2,1,1,4,1,1,1,1,
