Genome,Scheme,ST,atpA,dnaE,dnaK,fusA,leuA,odhA,rpoB,clonal_complex
GCF_000195815.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_000241875.fna.gz,cdiphtheriae,584,2,2,124,3,3,2,3,
GCF_000241895.fna.gz,cdiphtheriae,175,2,1,37,19,24,3,4,
GCF_000241915.fna.gz,cdiphtheriae,173,3,4,8,1,7,2,9,
GCF_000241935.fna.gz,cdiphtheriae,172,3,2,2,4,3,32,6,
GCF_000242775.fna.gz,cdiphtheriae,171,2,2,36,19,3,3,6,
GCF_000255155.fna.gz,cdiphtheriae,176,2,4,17,4,7,5,2,
GCF_000255175.fna.gz,cdiphtheriae,26,8,2,16,1,3,3,12,
GCF_000255195.fna.gz,cdiphtheriae,128,2,1,47,19,13,3,6,
GCF_000255215.fna.gz,cdiphtheriae,50,2,2,4,1,3,3,2,
GCF_000255235.fna.gz,cdiphtheriae,175,2,1,37,19,24,3,4,
GCF_000255255.fna.gz,cdiphtheriae,80,2,1,32,19,13,3,6,
GCF_000255275.fna.gz,cdiphtheriae,44,14,2,23,4,2,14,2,
GCF_000257885.fna.gz,cdiphtheriae,452,2,4,70,6,7,16,9,
GCF_000263415.fna.gz,cdiphtheriae,143,2,10,29,1,12,2,13,
GCF_000455805.fna.gz,cdiphtheriae,32,3,1,18,4,13,3,5,
GCF_000953975.fna.gz,cdiphtheriae,171,2,2,36,19,3,3,6,
GCF_000968865.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_001026805.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_001026845.fna.gz,cdiphtheriae,32,3,1,18,4,13,3,5,
GCF_001188005.fna.gz,cdiphtheriae,32,3,1,18,4,13,3,5,
GCF_001457455.fna.gz,cdiphtheriae,26,8,2,16,1,3,3,12,
GCF_001832925.fna.gz,cdiphtheriae,457,8,3,8,2,7,3,3,
GCF_001832935.fna.gz,cdiphtheriae,141,3,4,3,6,3,3,3,
GCF_001832945.fna.gz,cdiphtheriae,459,3,4,9,1,3,5,13,
GCF_001832975.fna.gz,cdiphtheriae,451,3,1,45,1,12,3,9,
GCF_001833005.fna.gz,cdiphtheriae,141,3,4,3,6,3,3,3,
GCF_001833025.fna.gz,cdiphtheriae,451,3,1,45,1,12,3,9,
GCF_001833035.fna.gz,cdiphtheriae,141,3,4,3,6,3,3,3,
GCF_001875805.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875815.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875845.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875855.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875875.fna.gz,cdiphtheriae,395,4,1,20,4,3,16,2,
GCF_001875905.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875925.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875945.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875965.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001875975.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876035.fna.gz,cdiphtheriae,395,4,1,20,4,3,16,2,
GCF_001876085.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876095.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876115.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876145.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876165.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876175.fna.gz,cdiphtheriae,395,4,1,20,4,3,16,2,
GCF_001876195.fna.gz,cdiphtheriae,743,4,10,151,1,3,16,6,
GCF_001876215.fna.gz,cdiphtheriae,391,3,1,20,4,14,16,9,
GCF_001876245.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876255.fna.gz,cdiphtheriae,395,4,1,20,4,3,16,2,
GCF_001876285.fna.gz,cdiphtheriae,402,5,4,4,2,3,3,2,
GCF_001876295.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001876335.fna.gz,cdiphtheriae,378,3,8,4,7,3,4,3,
GCF_001889765.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
