Genome,Scheme,ST,tuf,ack,fdh,purA,sar,cpn60,pta
GCF_002119805.fna.gz,mcanis,1,1,1,1,1,1,1,1
GCF_004359605.fna.gz,mcanis,-,,,,17,17,21,18
GCF_004359625.fna.gz,mcanis,77,13,30,27,17,17,21,18
GCF_004359635.fna.gz,mcanis,-,13,,,17,17,21,18
GCF_004359705.fna.gz,mcanis,-,13,30,,17,17,21,18
GCF_004359805.fna.gz,mcanis,-,13,30,,5,17,21,18
GCF_004359835.fna.gz,mcanis,-,13,30,,17,17,21,18
GCF_004359875.fna.gz,mcanis,-,,30,,17,17,21,18
GCF_005706215.fna.gz,mcanis,12,4,6,6,5,2,5,5
GCF_011064785.fna.gz,mcanis,-,5,16,15,2,3,,5
GCF_011065325.fna.gz,mcanis,2,3,11,11,2,2,12,9
GCF_014524485.fna.gz,mcanis,5,3,4,4,4,2,3,3
GCF_017893605.fna.gz,mcanis,71,2,29,8,8,2,7,5
GCF_018278985.fna.gz,mcanis,75,5,28,10,16,4,7,13
