Genome,Scheme,ST,abcZ,adk,efp,fumC,glyBeta,mutY,ppa,trpE
GCF_000092265.fna.gz,mcatarrhalis,128,8,30,2,7,32,3,3,2
GCF_000192905.fna.gz,mcatarrhalis,82,3,18,3,4,3,9,3,2
GCF_000192925.fna.gz,mcatarrhalis,187,8,26,2,3,2,22,41,2
GCF_000192945.fna.gz,mcatarrhalis,930,3,20,2,7,83,15,8,2
GCF_000192985.fna.gz,mcatarrhalis,216,25,18,3,4,6,9,3,2
GCF_000193005.fna.gz,mcatarrhalis,217,8,18,12,3,29,3,3,2
GCF_000193025.fna.gz,mcatarrhalis,162,2,2,12,7,20,6,3,2
GCF_000193045.fna.gz,mcatarrhalis,199,8,8,2,3,2,3,9,2
GCF_000193065.fna.gz,mcatarrhalis,218,8,26,2,3,2,3,25,2
GCF_000193085.fna.gz,mcatarrhalis,146,2,6,2,4,57,22,8,2
GCF_000302495.fna.gz,mcatarrhalis,new_alleles,~2,6,3,2,20,9,3,2
GCF_000740455.fna.gz,mcatarrhalis,172,34,3,6,3,6,3,8,2
GCF_000766665.fna.gz,mcatarrhalis,399,8,3,2,2,17,9,17,2
GCF_001062815.fna.gz,mcatarrhalis,374,22,22,2,18,29,31,3,2
GCF_001062845.fna.gz,mcatarrhalis,374,22,22,2,18,29,31,3,2
GCF_001063475.fna.gz,mcatarrhalis,371,8,6,3,2,77,26,3,2
GCF_001064655.fna.gz,mcatarrhalis,372,3,8,6,3,14,28,3,2
GCF_001064665.fna.gz,mcatarrhalis,372,3,8,6,3,14,28,3,2
GCF_001065625.fna.gz,mcatarrhalis,370,22,9,2,18,29,69,3,2
GCF_001065675.fna.gz,mcatarrhalis,205,22,9,2,18,29,31,3,2
GCF_001632285.fna.gz,mcatarrhalis,54,8,24,3,7,30,3,23,2
GCF_001656095.fna.gz,mcatarrhalis,170,45,37,15,5,60,49,4,12
GCF_001656105.fna.gz,mcatarrhalis,219,10,10,1,12,11,11,10,6
GCF_001656115.fna.gz,mcatarrhalis,new_alleles,38,41,9,~85,64,~99,~93,1
GCF_001656125.fna.gz,mcatarrhalis,46,21,4,7,12,25,24,20,11
GCF_001656175.fna.gz,mcatarrhalis,1,1,1,1,1,1,1,1,1
GCF_001656195.fna.gz,mcatarrhalis,169,38,4,27,5,59,25,40,1
GCF_001656205.fna.gz,mcatarrhalis,new_alleles,30,1,1,1,1,~46,1,1
GCF_001656215.fna.gz,mcatarrhalis,48,23,4,15,5,26,25,4,12
GCF_001656255.fna.gz,mcatarrhalis,52,15,4,11,5,28,16,22,1
GCF_001656275.fna.gz,mcatarrhalis,new_alleles,45,~71,15,5,60,49,4,12
GCF_001656285.fna.gz,mcatarrhalis,new_alleles,23,41,11,5,~40,24,58,37
GCF_001656295.fna.gz,mcatarrhalis,new_alleles,37,~29,21,26,51,42,32,15
GCF_001656335.fna.gz,mcatarrhalis,116,33,29,19,22,45,38,30,14
GCF_001656355.fna.gz,mcatarrhalis,116,33,29,19,22,45,38,30,14
GCF_001656375.fna.gz,mcatarrhalis,116,33,29,19,22,45,38,30,14
GCF_001656385.fna.gz,mcatarrhalis,1,1,1,1,1,1,1,1,1
GCF_001656415.fna.gz,mcatarrhalis,393,11,10,8,12,11,75,11,1
GCF_001656425.fna.gz,mcatarrhalis,45,20,21,14,19,12,23,19,10
GCF_001656455.fna.gz,mcatarrhalis,22,15,4,11,5,16,16,15,3
GCF_001656475.fna.gz,mcatarrhalis,37,19,15,13,17,23,20,18,3
GCF_001656495.fna.gz,mcatarrhalis,23,16,15,1,15,12,17,16,9
GCF_001656505.fna.gz,mcatarrhalis,23,16,15,1,15,12,17,16,9
GCF_001679075.fna.gz,mcatarrhalis,140,38,15,24,15,12,44,16,3
GCF_001679105.fna.gz,mcatarrhalis,84,2,9,2,2,20,3,3,2
GCF_001679345.fna.gz,mcatarrhalis,916,36,6,12,2,50,26,3,2
GCF_001997265.fna.gz,mcatarrhalis,98,24,25,12,7,20,6,3,2
GCF_002073215.fna.gz,mcatarrhalis,54,8,24,3,7,30,3,23,2
GCF_002080125.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_002984125.fna.gz,mcatarrhalis,172,34,3,6,3,6,3,8,2
GCF_003443915.fna.gz,mcatarrhalis,216,25,18,3,4,6,9,3,2
GCF_003443935.fna.gz,mcatarrhalis,new_alleles,8,8,2,7,~20,~104,3,2
GCF_003443955.fna.gz,mcatarrhalis,215,2,2,2,9,2,18,17,2
GCF_003443975.fna.gz,mcatarrhalis,473,53,3,2,3,115,3,3,2
GCF_003625535.fna.gz,mcatarrhalis,200,22,22,2,18,29,31,8,2
GCF_003625545.fna.gz,mcatarrhalis,41,2,8,2,18,20,22,2,2
GCF_003625555.fna.gz,mcatarrhalis,41,2,8,2,18,20,22,2,2
GCF_003625595.fna.gz,mcatarrhalis,224,53,3,2,3,57,3,3,2
GCF_003625605.fna.gz,mcatarrhalis,64,2,17,12,2,3,3,3,2
GCF_003625615.fna.gz,mcatarrhalis,64,2,17,12,2,3,3,3,2
GCF_003625655.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_003625665.fna.gz,mcatarrhalis,440,2,17,3,2,15,15,8,2
GCF_003625675.fna.gz,mcatarrhalis,435,8,25,6,4,57,22,23,2
GCF_003625715.fna.gz,mcatarrhalis,435,8,25,6,4,57,22,23,2
GCF_003625725.fna.gz,mcatarrhalis,435,8,25,6,4,57,22,23,2
GCF_003625735.fna.gz,mcatarrhalis,435,8,25,6,4,57,22,23,2
GCF_003625775.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_003625785.fna.gz,mcatarrhalis,227,3,3,2,9,57,3,3,2
GCF_003625805.fna.gz,mcatarrhalis,434,2,20,3,2,15,15,8,2
GCF_003625835.fna.gz,mcatarrhalis,41,2,8,2,18,20,22,2,2
GCF_003625855.fna.gz,mcatarrhalis,41,2,8,2,18,20,22,2,2
GCF_003625865.fna.gz,mcatarrhalis,41,2,8,2,18,20,22,2,2
GCF_003625895.fna.gz,mcatarrhalis,436,27,18,2,2,10,9,9,2
GCF_003625915.fna.gz,mcatarrhalis,38,3,18,2,3,6,18,2,2
GCF_003625925.fna.gz,mcatarrhalis,221,3,2,6,2,15,15,8,2
GCF_003625935.fna.gz,mcatarrhalis,443,2,2,2,53,2,31,3,2
GCF_003625975.fna.gz,mcatarrhalis,371,8,6,3,2,77,26,3,2
GCF_003625985.fna.gz,mcatarrhalis,46,21,4,7,12,25,24,20,11
GCF_003626005.fna.gz,mcatarrhalis,46,21,4,7,12,25,24,20,11
GCF_003626035.fna.gz,mcatarrhalis,445,31,22,6,7,29,3,3,2
GCF_003626045.fna.gz,mcatarrhalis,442,3,3,3,3,109,15,17,2
GCF_003626055.fna.gz,mcatarrhalis,442,3,3,3,3,109,15,17,2
GCF_003626095.fna.gz,mcatarrhalis,41,2,8,2,18,20,22,2,2
GCF_003626105.fna.gz,mcatarrhalis,203,9,6,12,20,32,3,3,2
GCF_003626115.fna.gz,mcatarrhalis,46,21,4,7,12,25,24,20,11
GCF_003626155.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_003626185.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_003626215.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_003626235.fna.gz,mcatarrhalis,440,2,17,3,2,15,15,8,2
GCF_003626245.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_003626255.fna.gz,mcatarrhalis,59,17,3,12,3,24,26,3,2
GCF_003626295.fna.gz,mcatarrhalis,444,9,6,3,7,20,9,2,2
GCF_003626305.fna.gz,mcatarrhalis,444,9,6,3,7,20,9,2,2
GCF_003626335.fna.gz,mcatarrhalis,441,23,41,15,5,26,25,4,12
GCF_003626355.fna.gz,mcatarrhalis,184,8,25,6,4,57,22,2,2
GCF_003626375.fna.gz,mcatarrhalis,184,8,25,6,4,57,22,2,2
GCF_003626385.fna.gz,mcatarrhalis,184,8,25,6,4,57,22,2,2
GCF_003626415.fna.gz,mcatarrhalis,184,8,25,6,4,57,22,2,2
GCF_003626425.fna.gz,mcatarrhalis,438,71,1,49,52,108,90,77,35
GCF_003626455.fna.gz,mcatarrhalis,437,2,17,2,4,107,89,3,2
GCF_003626475.fna.gz,mcatarrhalis,439,8,3,3,3,14,36,3,2
GCF_003971285.fna.gz,mcatarrhalis,371,8,6,3,2,77,26,3,2
GCF_003971305.fna.gz,mcatarrhalis,224,53,3,2,3,57,3,3,2
GCF_003971325.fna.gz,mcatarrhalis,156,22,22,2,18,29,47,3,2
GCF_003971345.fna.gz,mcatarrhalis,371,8,6,3,2,77,26,3,2
GCF_003971365.fna.gz,mcatarrhalis,544,22,2,3,18,29,3,3,2
GCF_003985305.fna.gz,mcatarrhalis,new_alleles,2,22,2,~3,2,2,2,2
GCF_003985315.fna.gz,mcatarrhalis,544,22,2,3,18,29,3,3,2
GCF_003985335.fna.gz,mcatarrhalis,new_alleles,2,22,2,~3,2,2,2,2
GCF_009378035.fna.gz,mcatarrhalis,new_alleles,51,5,1,6,~20,5,100,~40
GCF_009378055.fna.gz,mcatarrhalis,new_alleles,30,~35,~11,~76,~89,~24,~67,37
GCF_009378075.fna.gz,mcatarrhalis,188,3,3,6,9,3,22,8,2
GCF_009378085.fna.gz,mcatarrhalis,946,3,3,3,4,57,125,3,2
GCF_009378105.fna.gz,mcatarrhalis,new_alleles,8,34,~2,3,20,6,2,2
GCF_009378135.fna.gz,mcatarrhalis,191,52,8,2,2,46,15,42,2
GCF_009378155.fna.gz,mcatarrhalis,40,9,20,2,7,10,9,3,2
GCF_009378165.fna.gz,mcatarrhalis,new_alleles,2,18,2,3,~6,18,17,2
GCF_009378185.fna.gz,mcatarrhalis,131,34,25,3,7,6,3,3,2
GCF_009378215.fna.gz,mcatarrhalis,977,85,2,12,2,32,2,2,2
GCF_009378225.fna.gz,mcatarrhalis,128,8,30,2,7,32,3,3,2
GCF_009378245.fna.gz,mcatarrhalis,977,85,2,12,2,32,2,2,2
GCF_009378265.fna.gz,mcatarrhalis,3,2,2,2,3,2,2,2,2
GCF_009378275.fna.gz,mcatarrhalis,25,3,3,3,4,18,3,3,2
GCF_009378315.fna.gz,mcatarrhalis,new_alleles,3,18,~12,2,~113,9,3,2
GCF_009378325.fna.gz,mcatarrhalis,new_alleles,42,17,3,7,~6,9,28,2
GCF_009378355.fna.gz,mcatarrhalis,950,2,20,3,2,15,15,3,2
GCF_009378375.fna.gz,mcatarrhalis,new_alleles,42,17,3,7,~6,9,28,2
GCF_009378395.fna.gz,mcatarrhalis,951,2,3,2,3,14,9,3,2
GCF_009378405.fna.gz,mcatarrhalis,new_alleles,~8,2,2,9,21,9,3,2
