Genome,Scheme,ST,adk,rpoB,tpiA,clonal_complex
GCF_000008205.fna.gz,mhyopneumoniae,28,5,16,16,
GCF_000008225.fna.gz,mhyopneumoniae,15,13,17,19,
GCF_000008405.fna.gz,mhyopneumoniae,27,11,15,15,
GCF_000183185.fna.gz,mhyopneumoniae,61,16,15,34,
GCF_000400855.fna.gz,mhyopneumoniae,61,16,15,34,
GCF_000427215.fna.gz,mhyopneumoniae,-,13,22,-,
GCF_002193015.fna.gz,mhyopneumoniae,27,11,15,15,
GCF_002213485.fna.gz,mhyopneumoniae,61,16,15,34,
GCF_004768725.fna.gz,mhyopneumoniae,new_ST,5,59,58,
GCF_007923985.fna.gz,mhyopneumoniae,31,14,18,20,
GCF_009831855.fna.gz,mhyopneumoniae,116,10,18,54,
GCF_009831895.fna.gz,mhyopneumoniae,113,10,15,51,
GCF_009831905.fna.gz,mhyopneumoniae,115,37,18,53,
GCF_009831945.fna.gz,mhyopneumoniae,110,10,1,7,
GCF_009832035.fna.gz,mhyopneumoniae,117,23,18,20,
GCF_009832075.fna.gz,mhyopneumoniae,117,23,18,20,
GCF_009832085.fna.gz,mhyopneumoniae,114,36,18,52,
GCF_009832125.fna.gz,mhyopneumoniae,112,35,11,1,
GCF_009832175.fna.gz,mhyopneumoniae,109,16,54,50,
GCF_013402755.fna.gz,mhyopneumoniae,new_alleles,23,~67,57,
GCF_013412725.fna.gz,mhyopneumoniae,new_alleles,6,65,~59,
GCF_900660565.fna.gz,mhyopneumoniae,27,11,15,15,
