Genome,Scheme,ST,dnaE,pntA,pyrC,recA,tnaA,gyrB,dtdS
GCF_000706845.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001695935.fna.gz,vparahaemolyticus,52,30,2,13,23,11,32,20
GCF_001696055.fna.gz,vparahaemolyticus,19,15,1,3,30,9,11,10
GCF_001608735.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001270905.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001727735.fna.gz,vparahaemolyticus,1143,10,14,160,296,2,323,15
GCF_001727845.fna.gz,vparahaemolyticus,809,215,48,232,144,26,344,76
GCF_001609525.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001726415.fna.gz,vparahaemolyticus,23,17,15,31,13,26,16,36
GCF_001726515.fna.gz,vparahaemolyticus,32,20,7,11,15,4,25,6
GCF_000878645.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001728405.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001728505.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727065.fna.gz,vparahaemolyticus,1152,3,206,335,192,2,16,363
GCF_000707505.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001006185.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_001011015.fna.gz,vparahaemolyticus,1,5,17,25,27,10,52,13
GCF_001695945.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001696135.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001608755.fna.gz,vparahaemolyticus,15,12,19,12,25,26,34,32
GCF_000878665.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727745.fna.gz,vparahaemolyticus,636,223,45,171,31,165,106,221
GCF_001727885.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001270975.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001728415.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001728545.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001726435.fna.gz,vparahaemolyticus,28,17,24,16,13,20,16,7
GCF_001727105.fna.gz,vparahaemolyticus,1146,36,26,227,292,26,285,250
GCF_001727205.fna.gz,vparahaemolyticus,775,31,33,11,13,19,16,36
GCF_001006195.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001609555.fna.gz,vparahaemolyticus,629,71,69,127,192,24,50,132
GCF_001609655.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_000707525.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000706865.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001695955.fna.gz,vparahaemolyticus,17,13,28,27,19,21,10,27
GCF_001696065.fna.gz,vparahaemolyticus,12,9,4,10,15,26,21,13
GCF_001608765.fna.gz,vparahaemolyticus,324,20,7,3,15,5,25,13
GCF_001273555.fna.gz,vparahaemolyticus,1663,1,26,379,344,225,472,27
GCF_001006205.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001727775.fna.gz,vparahaemolyticus,1150,56,33,59,237,20,16,362
GCF_001727895.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001728425.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001728625.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001609575.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_000878675.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707545.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001726445.fna.gz,vparahaemolyticus,1142,26,33,32,13,155,118,321
GCF_001726535.fna.gz,vparahaemolyticus,676,60,66,62,31,65,106,72
GCF_001727115.fna.gz,vparahaemolyticus,1153,49,33,31,13,2,16,364
GCF_001727265.fna.gz,vparahaemolyticus,743,17,94,11,137,51,64,60
GCF_000706885.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001695995.fna.gz,vparahaemolyticus,17,13,28,27,19,21,10,27
GCF_001696085.fna.gz,vparahaemolyticus,61,37,14,34,14,26,14,9
GCF_001608785.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001727805.fna.gz,vparahaemolyticus,636,223,45,171,31,165,106,221
GCF_001727915.fna.gz,vparahaemolyticus,-,291,18,175,418,26,177,125
GCF_001273575.fna.gz,vparahaemolyticus,1518,2,18,62,86,51,108,82
GCF_001728465.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001728565.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_001007525.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_000707565.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001609595.fna.gz,vparahaemolyticus,-,3,,4,19,22,4,4
GCF_001609675.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000878705.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727125.fna.gz,vparahaemolyticus,1141,51,45,78,75,231,57,353
GCF_001727245.fna.gz,vparahaemolyticus,1149,59,14,32,95,232,417,361
GCF_000706905.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001726485.fna.gz,vparahaemolyticus,1155,17,171,29,6,155,323,23
GCF_001726565.fna.gz,vparahaemolyticus,735,4,18,46,11,23,13,38
GCF_001696005.fna.gz,vparahaemolyticus,-,24,18,11,18,8,22,
GCF_001608815.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_001273635.fna.gz,vparahaemolyticus,102,17,33,24,13,20,19,36
GCF_001007535.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727815.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001727925.fna.gz,vparahaemolyticus,674,83,4,77,73,58,82,83
GCF_001609615.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001728485.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001728575.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_000707585.fna.gz,vparahaemolyticus,59,36,23,21,1,16,15,25
GCF_000878725.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000878755.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727155.fna.gz,vparahaemolyticus,741,26,31,32,41,23,16,224
GCF_001727275.fna.gz,vparahaemolyticus,1149,59,14,32,95,232,417,361
GCF_001726495.fna.gz,vparahaemolyticus,61,37,14,34,14,26,14,9
GCF_000706925.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001696015.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001696115.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_001608835.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001280635.fna.gz,vparahaemolyticus,1631,27,33,287,13,2,16,157
GCF_001727825.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001727965.fna.gz,vparahaemolyticus,1156,294,106,11,300,26,39,167
GCF_001007545.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001728495.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_001728585.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707645.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_001609635.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001609695.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000878735.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000706945.fna.gz,vparahaemolyticus,113,63,4,56,25,45,62,54
GCF_001727185.fna.gz,vparahaemolyticus,775,31,33,11,13,19,16,36
GCF_001727195.fna.gz,vparahaemolyticus,775,31,33,11,13,19,16,36
GCF_001727295.fna.gz,vparahaemolyticus,1149,59,14,32,95,232,417,361
GCF_001726645.fna.gz,vparahaemolyticus,1148,293,24,16,13,20,16,57
GCF_001700835.fna.gz,vparahaemolyticus,395,169,26,46,151,94,104,73
GCF_001608855.fna.gz,vparahaemolyticus,635,48,140,7,41,108,5,261
GCF_001280645.fna.gz,vparahaemolyticus,1632,340,26,375,71,251,462,403
GCF_001727975.fna.gz,vparahaemolyticus,-,291,18,175,418,26,177,125
GCF_001728065.fna.gz,vparahaemolyticus,79,35,31,35,38,37,43,21
GCF_000878785.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707665.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_001013435.fna.gz,vparahaemolyticus,-,6,23,37,384,,414,27
GCF_001188135.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_001728745.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001887055.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_001610595.fna.gz,vparahaemolyticus,630,19,24,23,21,24,17,260
GCF_001727305.fna.gz,vparahaemolyticus,313,142,4,24,10,20,29,7
GCF_001727415.fna.gz,vparahaemolyticus,674,83,4,77,73,58,82,83
GCF_000706965.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001726575.fna.gz,vparahaemolyticus,735,4,18,46,11,23,13,38
GCF_001726685.fna.gz,vparahaemolyticus,113,63,4,56,25,45,62,54
GCF_001704915.fna.gz,vparahaemolyticus,1556,26,95,287,13,2,460,398
GCF_001608865.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001280655.fna.gz,vparahaemolyticus,324,20,7,3,15,5,25,13
GCF_001728645.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001728755.fna.gz,vparahaemolyticus,65,39,3,37,27,30,9,39
GCF_001728045.fna.gz,vparahaemolyticus,79,35,31,35,38,37,43,21
GCF_000878805.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001609715.fna.gz,vparahaemolyticus,636,223,45,171,31,165,106,221
GCF_001633905.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
