Genome,Scheme,ST,rnpB,bvrR,rpoB,flaA,ftsZ,ribC,groEL
GCF_000015445.fna.gz,bbacilliformis,1,1,1,1,1,1,1,1
GCF_000311905.fna.gz,bbacilliformis,1,1,1,1,1,1,1,1
GCF_000607205.fna.gz,bbacilliformis,1,1,1,1,1,1,1,1
GCF_000607225.fna.gz,bbacilliformis,4,3,3,1,2,1,2,2
GCF_000607245.fna.gz,bbacilliformis,5,1,4,1,1,3,1,1
GCF_000709735.fna.gz,bbacilliformis,4,3,3,1,2,1,2,2
GCF_000709755.fna.gz,bbacilliformis,5,1,4,1,1,3,1,1
GCF_000709775.fna.gz,bbacilliformis,2,2,1,2,3,2,2,1
GCF_000709795.fna.gz,bbacilliformis,-,,6,3,,5,3,3
GCF_000709815.fna.gz,bbacilliformis,14,1,4,1,3,6,1,1
GCF_000709835.fna.gz,bbacilliformis,11,3,3,1,2,1,1,2
GCF_000709855.fna.gz,bbacilliformis,13,1,4,4,1,3,4,1
GCF_000709875.fna.gz,bbacilliformis,4,3,3,1,2,1,2,2
GCF_001559035.fna.gz,bbacilliformis,1,1,1,1,1,1,1,1
GCF_001624625.fna.gz,bbacilliformis,7,4,4,1,1,3,1,1
GCF_001625425.fna.gz,bbacilliformis,1,1,1,1,1,1,1,1
GCF_009498695.fna.gz,bbacilliformis,1,1,1,1,1,1,1,1
