Genome,Scheme,ST,arcC,glpK,gtr,pta,tpiA,tuf,clonal_complex
GCF_000174735.fna.gz,shominis,3,8,2,1,3,2,4,
GCF_000183685.fna.gz,shominis,new_alleles,~7,2,~16,~3,~8,4,
GCF_000247085.fna.gz,shominis,new_alleles,~7,2,14,1,2,4,
GCF_000269685.fna.gz,shominis,1,6,5,7,6,6,3,
GCF_001051895.fna.gz,shominis,new_ST,18,5,7,1,3,6,
GCF_001051905.fna.gz,shominis,new_ST,18,5,7,1,3,6,
GCF_001051915.fna.gz,shominis,new_ST,18,5,7,1,3,6,
GCF_001068715.fna.gz,shominis,1,6,5,7,6,6,3,
GCF_001068725.fna.gz,shominis,new_alleles,19,~2,1,3,8,4,
GCF_001069485.fna.gz,shominis,new_alleles,6,~2,~1,3,3,2,
GCF_001070775.fna.gz,shominis,47,6,5,7,4,6,3,
GCF_001070895.fna.gz,shominis,new_alleles,8,2,~14,3,8,4,
GCF_001071235.fna.gz,shominis,new_alleles,~7,5,7,1,3,1,
GCF_001071725.fna.gz,shominis,new_alleles,2,5,~16,1,3,3,
GCF_001072955.fna.gz,shominis,47,6,5,7,4,6,3,
GCF_001072965.fna.gz,shominis,47,6,5,7,4,6,3,
GCF_001073185.fna.gz,shominis,new_alleles,~25,5,7,1,7,3,
GCF_001073815.fna.gz,shominis,47,6,5,7,4,6,3,
GCF_001073975.fna.gz,shominis,new_ST,23,2,7,1,5,6,
GCF_001074645.fna.gz,shominis,new_alleles,~18,5,13,1,5,3,
GCF_001077055.fna.gz,shominis,new_alleles,~22,2,14,3,~8,4,
GCF_001077185.fna.gz,shominis,new_ST,18,1,1,1,3,3,
GCF_001297105.fna.gz,shominis,65,2,5,6,1,6,3,
GCF_001650655.fna.gz,shominis,new_alleles,24,2,1,2,8,~3,
GCF_001658765.fna.gz,shominis,2,1,1,7,1,1,1,
GCF_001691635.fna.gz,shominis,new_alleles,24,2,1,3,8,~3,
GCF_001743355.fna.gz,shominis,new_alleles,~25,5,13,4,7,3,
GCF_001876405.fna.gz,shominis,new_alleles,~10,5,~3,1,6,3,
GCF_001876445.fna.gz,shominis,new_alleles,~10,5,~3,1,6,3,
GCF_001876465.fna.gz,shominis,new_alleles,~10,5,~3,1,6,3,
GCF_001886335.fna.gz,shominis,new_alleles,10,8,16,~3,12,7,
GCF_002026385.fna.gz,shominis,29,2,2,7,1,6,3,
GCF_002156675.fna.gz,shominis,new_alleles,~10,~8,9,3,~3,~3,
GCF_002276845.fna.gz,shominis,new_alleles,~2,1,1,1,3,3,
GCF_002799365.fna.gz,shominis,2,1,1,7,1,1,1,
GCF_002799525.fna.gz,shominis,2,1,1,7,1,1,1,
GCF_002850375.fna.gz,shominis,new_alleles,~10,~8,9,3,~3,~3,
GCF_002860985.fna.gz,shominis,67,14,2,7,1,6,3,
GCF_002901845.fna.gz,shominis,new_alleles,~12,8,1,3,8,4,
GCF_002902465.fna.gz,shominis,2,1,1,7,1,1,1,
GCF_002954105.fna.gz,shominis,18,6,5,7,1,6,3,
GCF_003042305.fna.gz,shominis,-,~6,~2,~1,~3,~3,-,
GCF_003042335.fna.gz,shominis,-,~20,~2,~1,~3,~3,-,
GCF_003042345.fna.gz,shominis,-,~6,~2,~1,~3,~3,-,
GCF_003042375.fna.gz,shominis,new_alleles,~22,~2,14,~3,8,4,
GCF_003042385.fna.gz,shominis,-,~12,~2,~1,~3,~3,-,
GCF_003042465.fna.gz,shominis,-,~6,~2,~1,~3,~3,-,
GCF_003043055.fna.gz,shominis,-,~6,~2,~1,~3,~3,-,
GCF_003579515.fna.gz,shominis,-,~12,~2,~16,~3,~3,-,
GCF_003579635.fna.gz,shominis,new_alleles,~12,~2,~1,~3,~3,4,
GCF_003579665.fna.gz,shominis,-,~20,~2,~1,~3,~3,-,
GCF_003580605.fna.gz,shominis,-,~6,~2,~1,~3,~3,-,
GCF_003716315.fna.gz,shominis,new_ST,18,5,7,1,3,6,
GCF_003812505.fna.gz,shominis,new_alleles,~12,8,1,3,8,4,
GCF_004329075.fna.gz,shominis,new_ST,2,2,7,4,6,3,
GCF_007004175.fna.gz,shominis,new_ST,23,2,7,1,3,3,
GCF_007004245.fna.gz,shominis,new_alleles,~7,2,14,3,8,4,
GCF_007004385.fna.gz,shominis,new_alleles,22,2,1,3,8,~3,
GCF_007004605.fna.gz,shominis,new_alleles,~19,4,~2,~2,~4,2,
GCF_007671745.fna.gz,shominis,18,6,5,7,1,6,3,
GCF_007671825.fna.gz,shominis,new_ST,6,1,1,4,6,3,
GCF_007671855.fna.gz,shominis,new_ST,18,1,1,1,3,3,
GCF_007672005.fna.gz,shominis,new_alleles,~5,5,1,1,5,3,
GCF_007672065.fna.gz,shominis,new_ST,8,1,7,1,5,3,
GCF_007672085.fna.gz,shominis,new_ST,6,5,7,1,3,6,
GCF_007672105.fna.gz,shominis,new_ST,22,8,10,13,2,4,
GCF_007672115.fna.gz,shominis,new_alleles,~5,5,1,1,5,3,
GCF_007672165.fna.gz,shominis,new_ST,1,3,7,1,6,3,
GCF_007672225.fna.gz,shominis,new_alleles,~5,1,12,1,6,3,
GCF_007672245.fna.gz,shominis,65,2,5,6,1,6,3,
GCF_007672435.fna.gz,shominis,8,2,5,7,1,6,3,
GCF_007672535.fna.gz,shominis,new_alleles,~5,6,12,1,3,3,
GCF_007676475.fna.gz,shominis,new_ST,23,2,7,4,6,6,
GCF_007676505.fna.gz,shominis,new_ST,23,2,7,4,6,6,
GCF_007676535.fna.gz,shominis,18,6,5,7,1,6,3,
GCF_007676545.fna.gz,shominis,new_alleles,~2,1,7,12,5,3,
GCF_007676585.fna.gz,shominis,new_ST,24,2,14,3,8,4,
GCF_007678465.fna.gz,shominis,new_alleles,~5,6,12,1,3,3,
GCF_007681325.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_007681385.fna.gz,shominis,42,2,5,13,4,6,3,
GCF_007681475.fna.gz,shominis,42,2,5,13,4,6,3,
GCF_007681485.fna.gz,shominis,new_ST,1,3,7,1,6,3,
GCF_007681535.fna.gz,shominis,new_alleles,25,12,~11,1,5,3,
GCF_007681585.fna.gz,shominis,new_alleles,~7,2,14,1,2,4,
GCF_007681605.fna.gz,shominis,new_alleles,~7,2,8,3,8,4,
GCF_007681635.fna.gz,shominis,new_alleles,~7,2,14,3,8,4,
GCF_007681695.fna.gz,shominis,new_alleles,~7,5,7,1,1,1,
GCF_007681755.fna.gz,shominis,new_alleles,~5,5,3,1,11,3,
GCF_007681775.fna.gz,shominis,new_alleles,~7,2,14,1,2,4,
GCF_007681815.fna.gz,shominis,new_alleles,~7,2,14,~1,2,4,
GCF_007681825.fna.gz,shominis,new_alleles,~5,5,1,1,5,3,
GCF_007681865.fna.gz,shominis,new_ST,6,1,1,1,3,3,
GCF_007681935.fna.gz,shominis,new_ST,22,2,10,9,2,4,
GCF_007681955.fna.gz,shominis,new_ST,2,5,1,1,6,3,
GCF_007814725.fna.gz,shominis,new_alleles,~5,6,12,1,3,3,
GCF_009663945.fna.gz,shominis,new_alleles,22,2,~18,~3,8,4,
GCF_009730115.fna.gz,shominis,new_alleles,24,2,1,3,8,~3,
GCF_009730135.fna.gz,shominis,new_alleles,11,~10,16,8,12,~3,
GCF_009897275.fna.gz,shominis,1,6,5,7,6,6,3,
GCF_010093095.fna.gz,shominis,new_alleles,~10,5,~3,1,6,3,
GCF_012102295.fna.gz,shominis,new_alleles,~5,5,1,4,3,3,
GCF_012273435.fna.gz,shominis,new_alleles,~5,6,~7,4,5,3,
GCF_012843365.fna.gz,shominis,new_alleles,25,2,~11,1,6,3,
GCF_013267575.fna.gz,shominis,3,8,2,1,3,2,4,
GCF_013364435.fna.gz,shominis,new_alleles,24,2,1,2,8,~3,
GCF_014204615.fna.gz,shominis,new_alleles,~9,4,~2,~2,~4,2,
GCF_014264985.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014264995.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265005.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265015.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265025.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265085.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265095.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265115.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265125.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265215.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014265735.fna.gz,shominis,new_alleles,~5,6,12,1,3,3,
GCF_014266385.fna.gz,shominis,new_alleles,~2,3,7,1,~6,3,
GCF_014266505.fna.gz,shominis,new_ST,23,2,7,1,5,6,
GCF_014266525.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014266705.fna.gz,shominis,new_alleles,~25,5,13,4,7,3,
GCF_014266895.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014266935.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_014267295.fna.gz,shominis,new_ST,23,2,7,1,5,6,
GCF_015274535.fna.gz,shominis,new_ST,1,3,7,1,6,3,
GCF_015274585.fna.gz,shominis,new_ST,1,3,7,1,6,3,
GCF_015274655.fna.gz,shominis,new_ST,1,3,7,1,6,3,
GCF_015274675.fna.gz,shominis,new_alleles,6,5,7,~4,6,3,
GCF_016428605.fna.gz,shominis,new_ST,24,8,1,3,8,4,
GCF_016623665.fna.gz,shominis,2,1,1,7,1,1,1,
GCF_017315625.fna.gz,shominis,73,24,5,7,1,6,3,
GCF_017315645.fna.gz,shominis,new_alleles,~2,1,1,1,6,3,
GCF_017742685.fna.gz,shominis,1,6,5,7,6,6,3,
GCF_018408065.fna.gz,shominis,67,14,2,7,1,6,3,
GCF_018456105.fna.gz,shominis,new_alleles,~8,5,7,1,6,3,
GCF_018919365.fna.gz,shominis,new_alleles,~5,6,12,1,3,3,
GCF_019149255.fna.gz,shominis,new_alleles,~7,5,16,8,3,1,
GCF_900006665.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900006675.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900006735.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900006745.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900006845.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900006855.fna.gz,shominis,68,22,2,18,13,2,4,
GCF_900006865.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900006945.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900109865.fna.gz,shominis,new_ST,6,2,7,2,11,1,
GCF_900119525.fna.gz,shominis,new_ST,1,3,15,1,6,3,
GCF_900240155.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900240185.fna.gz,shominis,new_alleles,22,2,~16,13,2,4,
GCF_900458635.fna.gz,shominis,new_alleles,~12,8,1,3,8,4,
GCF_900458745.fna.gz,shominis,-,-,~10,16,~8,12,4,
GCF_902386755.fna.gz,shominis,65,2,5,6,1,6,3,
