Genome,Scheme,ST,adk,atpG,frdB,fucK,mdh,pgi,recA,clonal_complex
GCF_000012185.fna.gz,hinfluenzae,33,1,10,1,1,1,6,5,
GCF_000165525.fna.gz,hinfluenzae,99,5,33,7,1,22,41,29,
GCF_000165575.fna.gz,hinfluenzae,1622,11,2,15,8,74,61,3,
GCF_000169775.fna.gz,hinfluenzae,411,14,7,13,30,1,21,1,
GCF_000169795.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_000169835.fna.gz,hinfluenzae,187,5,33,7,32,26,41,29,
GCF_000173315.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_000173335.fna.gz,hinfluenzae,349,28,14,13,1,62,13,1,
GCF_000175435.fna.gz,hinfluenzae,260,11,8,29,7,90,57,35,
GCF_000175455.fna.gz,hinfluenzae,47,5,15,7,9,7,5,11,
GCF_000197875.fna.gz,hinfluenzae,65,24,26,24,21,36,33,21,
GCF_000200475.fna.gz,hinfluenzae,70,25,20,24,24,38,34,25,
GCF_000210875.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_000465255.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_000636035.fna.gz,hinfluenzae,2419,26,1,46,15,79,64,29,
GCF_000636055.fna.gz,hinfluenzae,2419,26,1,46,15,79,64,29,
GCF_000636075.fna.gz,hinfluenzae,2419,26,1,46,15,79,64,29,
GCF_000698365.fna.gz,hinfluenzae,712,63,54,102,1,17,31,10,
GCF_000767075.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_000818925.fna.gz,hinfluenzae,1907,71,84,111,1,290,161,100,
GCF_000833735.fna.gz,hinfluenzae,105,3,9,8,2,14,8,4,
GCF_000833745.fna.gz,hinfluenzae,2445,245,54,65,1,64,78,183,
GCF_000833755.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_000833765.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_000833815.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_000833835.fna.gz,hinfluenzae,105,3,9,8,2,14,8,4,
GCF_000833855.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_000833875.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_000833895.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_000833915.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_000833935.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_000877255.fna.gz,hinfluenzae,13,3,9,8,4,14,8,4,
GCF_000931575.fna.gz,hinfluenzae,1,1,1,1,14,15,1,5,
GCF_000931605.fna.gz,hinfluenzae,244,55,11,16,14,102,2,3,
GCF_000931625.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_000968335.fna.gz,hinfluenzae,321,28,14,1,1,62,13,1,
GCF_001007605.fna.gz,hinfluenzae,321,28,14,1,1,62,13,1,
GCF_001052725.fna.gz,hinfluenzae,396,10,2,15,8,26,61,3,
GCF_001053795.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_001053815.fna.gz,hinfluenzae,396,10,2,15,8,26,61,3,
GCF_001053885.fna.gz,hinfluenzae,367,1,1,1,1,67,1,5,
GCF_001054455.fna.gz,hinfluenzae,-,241,170,222,-,334,337,180,
GCF_001055275.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_001055485.fna.gz,hinfluenzae,140,1,1,1,14,70,1,37,
GCF_001055565.fna.gz,hinfluenzae,-,~240,~170,~86,-,333,-,179,
GCF_001055615.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_001056575.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_001057195.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_001058575.fna.gz,hinfluenzae,-,243,171,223,-,336,338,181,
GCF_001059125.fna.gz,hinfluenzae,-,240,170,222,-,333,337,179,
GCF_001059185.fna.gz,hinfluenzae,-,242,169,218,-,335,331,176,
GCF_001071435.fna.gz,hinfluenzae,436,40,1,1,10,15,1,5,
GCF_001076115.fna.gz,hinfluenzae,367,1,1,1,1,67,1,5,
GCF_001076835.fna.gz,hinfluenzae,1559,60,20,7,7,31,49,31,
GCF_001184435.fna.gz,hinfluenzae,165,44,2,16,37,17,2,3,
GCF_001184445.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_001184475.fna.gz,hinfluenzae,143,1,1,1,38,15,1,5,
GCF_001184485.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_001184515.fna.gz,hinfluenzae,244,55,11,16,14,102,2,3,
GCF_001184535.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_001184545.fna.gz,hinfluenzae,329,1,1,1,1,31,1,5,
