Genome,Scheme,ST,ack,cpn60,fdh,pta,purA,sar,tuf,clonal_complex
GCF_000185885.fna.gz,spseudintermedius,308,2,55,3,42,14,2,1,
GCF_000189495.fna.gz,spseudintermedius,25,3,9,2,1,1,1,1,
GCF_000478385.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_001622945.fna.gz,spseudintermedius,764,5,7,7,2,3,1,1,
GCF_001622965.fna.gz,spseudintermedius,990,1,3,2,20,11,1,1,
GCF_001623005.fna.gz,spseudintermedius,990,1,3,2,20,11,1,1,
GCF_001682335.fna.gz,spseudintermedius,84,2,10,2,1,5,1,2,
GCF_001682435.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_001792775.fna.gz,spseudintermedius,494,3,24,1,1,52,2,1,
GCF_001940385.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002362305.fna.gz,spseudintermedius,429,1,7,4,1,13,1,1,
GCF_002362325.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002366355.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002366365.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002366375.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002366395.fna.gz,spseudintermedius,282,3,2,2,1,2,1,1,
GCF_002366435.fna.gz,spseudintermedius,121,2,9,3,1,1,2,1,
GCF_002366445.fna.gz,spseudintermedius,282,3,2,2,1,2,1,1,
GCF_002369795.fna.gz,spseudintermedius,553,1,37,7,19,47,21,1,
GCF_002766935.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002766945.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002766955.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002766965.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767055.fna.gz,spseudintermedius,261,5,7,4,1,11,2,2,
GCF_002767065.fna.gz,spseudintermedius,265,5,13,4,1,3,1,2,
GCF_002767115.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767125.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767135.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767145.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767245.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002767295.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767355.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
