Genome,Scheme,ST,glp,gmk,ilv,pta,pur,pyc,tpi,clonal_complex
GCF_000003645.fna.gz,bcereus,45,19,14,21,5,19,3,2,ST-205 complex
GCF_000003955.fna.gz,bcereus,932,202,116,223,174,205,171,128,
GCF_000007825.fna.gz,bcereus,921,13,125,8,11,11,12,169,ST-142 complex
GCF_000008005.fna.gz,bcereus,32,5,4,3,4,15,6,16,
GCF_000011625.fna.gz,bcereus,908,115,124,119,116,119,108,88,
GCF_000013065.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_000021205.fna.gz,bcereus,89,14,8,40,19,2,17,17,
GCF_000021225.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_000021305.fna.gz,bcereus,56,15,7,7,2,7,26,13,ST-23 complex
GCF_000021785.fna.gz,bcereus,460,65,1,56,1,1,53,24,
GCF_000022505.fna.gz,bcereus,11,34,1,32,1,33,37,24,ST-365 complex
GCF_000143605.fna.gz,bcereus,935,34,1,83,1,18,29,5,ST-365 complex
GCF_000160895.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_000160915.fna.gz,bcereus,108,38,1,32,16,18,33,24,ST-365 complex
GCF_000160935.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_000161015.fna.gz,bcereus,38,24,12,50,21,23,31,19,
GCF_000161035.fna.gz,bcereus,46,33,8,13,10,8,17,7,
GCF_000161055.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_000161095.fna.gz,bcereus,196,64,10,79,36,56,22,11,ST-196 complex
GCF_000161115.fna.gz,bcereus,4,13,8,8,11,11,12,7,ST-142 complex
GCF_000161135.fna.gz,bcereus,145,65,1,52,1,1,37,24,
GCF_000161155.fna.gz,bcereus,111,43,26,35,42,39,41,30,ST-111 complex
GCF_000161175.fna.gz,bcereus,511,13,8,9,28,9,12,8,ST-142 complex
GCF_000161195.fna.gz,bcereus,471,43,50,35,125,128,41,30,ST-111 complex
GCF_000161215.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_000161235.fna.gz,bcereus,498,100,1,144,136,55,37,24,
GCF_000161255.fna.gz,bcereus,-,142,83,247?,141,-,125,106,
GCF_000161275.fna.gz,bcereus,501,7,8,14,26,138,50,7,
GCF_000161295.fna.gz,bcereus,505,87,26,78,42,39,41,30,ST-111 complex
GCF_000161315.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_000161355.fna.gz,bcereus,142,13,8,8,11,9,12,7,ST-142 complex
GCF_000161375.fna.gz,bcereus,953,59,133,149,229,214,122,179,
GCF_000161395.fna.gz,bcereus,932,202,116,223,174,205,171,128,
GCF_000181615.fna.gz,bcereus,1448,172,71,280,29,24,14,7,
GCF_000239195.fna.gz,bcereus,75,44,1,32,1,18,33,24,ST-365 complex
GCF_000256545.fna.gz,bcereus,975,19,2,21,5,114,3,2,ST-205 complex
GCF_000283675.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_000290655.fna.gz,bcereus,670,18,10,5,15,17,9,11,
GCF_000290675.fna.gz,bcereus,670,18,10,5,15,17,9,11,
GCF_000290715.fna.gz,bcereus,1458,210,8,68,11,245,12,10,
GCF_000290735.fna.gz,bcereus,363,13,8,9,107,9,12,81,ST-142 complex
GCF_000290755.fna.gz,bcereus,962,13,8,8,7,9,12,7,ST-142 complex
GCF_000290775.fna.gz,bcereus,1454,208,8,283,45,58,87,7,
GCF_000290795.fna.gz,bcereus,17,12,8,11,11,9,13,5,
GCF_000290815.fna.gz,bcereus,111,43,26,35,42,39,41,30,ST-111 complex
GCF_000290835.fna.gz,bcereus,1457,212,128,287,222,203,204,65,
GCF_000290855.fna.gz,bcereus,1456,220,118,282,226,210,185,176,
GCF_000290875.fna.gz,bcereus,1443,19,2,234,5,208,18,2,ST-205 complex
GCF_000290915.fna.gz,bcereus,321,23,10,5,15,17,23,11,
GCF_000290935.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_000290955.fna.gz,bcereus,257,15,7,7,2,5,10,13,ST-23 complex
GCF_000290975.fna.gz,bcereus,1444,152,10,5,218,151,136,11,
GCF_000290995.fna.gz,bcereus,164,3,2,63,5,36,3,4,
GCF_000291035.fna.gz,bcereus,928,15,20,145,8,4,8,170,ST-97 complex
GCF_000291055.fna.gz,bcereus,934,213,116,223,223,118,107,128,
GCF_000291075.fna.gz,bcereus,952,64,132,249,228,213,190,178,
GCF_000291115.fna.gz,bcereus,72,43,26,35,40,39,41,30,ST-111 complex
GCF_000291135.fna.gz,bcereus,1453,206,1,285,214,18,29,19,
GCF_000291155.fna.gz,bcereus,1012,26,51,104,120,110,180,79,
GCF_000291175.fna.gz,bcereus,286,64,10,109,66,75,22,11,ST-196 complex
GCF_000291195.fna.gz,bcereus,230,15,7,87,2,96,26,13,ST-23 complex
GCF_000291215.fna.gz,bcereus,22,12,8,8,11,9,12,23,ST-142 complex
GCF_000291235.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_000291255.fna.gz,bcereus,922,208,8,48,219,58,87,7,
GCF_000291275.fna.gz,bcereus,938,217,2,122,5,19,3,91,ST-205 complex
GCF_000291295.fna.gz,bcereus,1450,218,87,104,69,103,202,18,
GCF_000291355.fna.gz,bcereus,1451,221,131,243,227,211,203,177,
GCF_000291395.fna.gz,bcereus,973,43,74,35,40,39,41,30,ST-111 complex
GCF_000291415.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_000291435.fna.gz,bcereus,959,37,9,14,18,20,14,7,ST-18 complex
GCF_000291455.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_000291475.fna.gz,bcereus,1449,215,116,281,170,207,144,172,
GCF_000291515.fna.gz,bcereus,947,219,78,186,169,164,143,103,
GCF_000291535.fna.gz,bcereus,959,37,9,14,18,20,14,7,ST-18 complex
GCF_000291665.fna.gz,bcereus,723,158,78,193,169,164,143,103,
GCF_000292415.fna.gz,bcereus,90,6,4,41,5,43,46,3,
GCF_000293505.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_000293525.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_000293545.fna.gz,bcereus,977,26,21,104,68,27,32,61,ST-336 complex
GCF_000293685.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_000293705.fna.gz,bcereus,914,18,10,5,216,200,136,167,
GCF_000293725.fna.gz,bcereus,968,15,20,23,8,4,64,39,
GCF_000293745.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_000338315.fna.gz,bcereus,120,6,4,3,4,46,6,36,
GCF_000398785.fna.gz,bcereus,257,15,7,7,2,5,10,13,ST-23 complex
GCF_000398945.fna.gz,bcereus,23,15,7,7,2,5,8,13,ST-23 complex
GCF_000398965.fna.gz,bcereus,916,165,103,189,176,202,145,11,
GCF_000398985.fna.gz,bcereus,1452,23,10,5,216,201,205,11,
GCF_000399005.fna.gz,bcereus,783,126,120,228,209,4,114,37,
GCF_000399025.fna.gz,bcereus,960,7,8,15,12,2,16,7,ST-8 complex
GCF_000399065.fna.gz,bcereus,783,126,120,228,209,4,114,37,
GCF_000399085.fna.gz,bcereus,783,126,120,228,209,4,114,37,
GCF_000399105.fna.gz,bcereus,783,126,120,228,209,4,114,37,
GCF_000399125.fna.gz,bcereus,964,14,8,9,81,60,12,7,
GCF_000399145.fna.gz,bcereus,448,64,10,79,66,75,22,18,ST-196 complex
GCF_000399165.fna.gz,bcereus,934,213,116,223,223,118,107,128,
GCF_000399185.fna.gz,bcereus,23,15,7,7,2,5,8,13,ST-23 complex
GCF_000399205.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_000399225.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_000399245.fna.gz,bcereus,1012,26,51,104,120,110,180,79,
GCF_000399265.fna.gz,bcereus,783,126,120,228,209,4,114,37,
GCF_000399285.fna.gz,bcereus,746,81,53,117,193,113,93,145,
GCF_000399305.fna.gz,bcereus,197,15,7,7,2,7,8,13,ST-23 complex
GCF_000399325.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_000399345.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_000399365.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_000399385.fna.gz,bcereus,278,83,26,35,42,39,71,30,ST-111 complex
GCF_000399405.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_000399425.fna.gz,bcereus,1445,64,10,22,36,57,23,168,
GCF_000399445.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_000399465.fna.gz,bcereus,1447,216,129,223,225,118,171,128,
GCF_000399485.fna.gz,bcereus,-,109,18,120,24,-,30,173,
GCF_000399505.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_000399525.fna.gz,bcereus,664,108,51,79,121,109,92,79,
GCF_000399545.fna.gz,bcereus,1063,22,9,18,220,20,19,7,
GCF_000399565.fna.gz,bcereus,1446,33,126,13,19,29,17,10,
GCF_000399585.fna.gz,bcereus,new_alleles,109,18,120,24,~311,30,173,
GCF_000399605.fna.gz,bcereus,1346,109,18,120,24,31,30,175,
GCF_000399625.fna.gz,bcereus,978,81,53,117,193,113,93,80,
GCF_000399645.fna.gz,bcereus,946,81,53,117,71,209,93,80,
GCF_000412315.fna.gz,bcereus,972,83,26,35,42,39,41,30,ST-111 complex
GCF_000412975.fna.gz,bcereus,2387,15,20,145,8,4,281,21,
GCF_000440035.fna.gz,bcereus,975,19,2,21,5,114,3,2,ST-205 complex
GCF_000440055.fna.gz,bcereus,975,19,2,21,5,114,3,2,ST-205 complex
GCF_000518025.fna.gz,bcereus,1099,227,8,241,11,9,12,10,ST-142 complex
GCF_000520915.fna.gz,bcereus,new_alleles,~241,8,8,10,8,17,17,
GCF_000635895.fna.gz,bcereus,1001,46,9,14,12,206,14,7,ST-18 complex
GCF_000688755.fna.gz,bcereus,78,24,22,33,37,34,38,5,
GCF_000743195.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_000743815.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_000743865.fna.gz,bcereus,164,3,2,63,5,36,3,4,
GCF_000746865.fna.gz,bcereus,38,24,12,50,21,23,31,19,
GCF_000773635.fna.gz,bcereus,787,172,71,14,29,24,14,7,
GCF_000789315.fna.gz,bcereus,78,24,22,33,37,34,38,5,
GCF_000832385.fna.gz,bcereus,1263,34,1,124,16,18,33,89,ST-365 complex
GCF_000832405.fna.gz,bcereus,11,34,1,32,1,33,37,24,ST-365 complex
GCF_000832525.fna.gz,bcereus,2001,24,200,33,37,34,38,5,
GCF_000832765.fna.gz,bcereus,145,65,1,52,1,1,37,24,
GCF_000832805.fna.gz,bcereus,78,24,22,33,37,34,38,5,
GCF_000832845.fna.gz,bcereus,38,24,12,50,21,23,31,19,
GCF_000832865.fna.gz,bcereus,62,38,1,32,1,18,33,24,ST-365 complex
GCF_000833045.fna.gz,bcereus,908,115,124,119,116,119,108,88,
GCF_000835185.fna.gz,bcereus,145,65,1,52,1,1,37,24,
GCF_000935235.fna.gz,bcereus,2080,14,8,146,343,2,17,7,
GCF_000948345.fna.gz,bcereus,750,22,9,211,18,20,19,7,
GCF_000978375.fna.gz,bcereus,998,33,8,13,11,8,17,7,
GCF_000987785.fna.gz,bcereus,32,5,4,3,4,15,6,16,
GCF_001008565.fna.gz,bcereus,2066,59,35,345,49,42,20,26,
GCF_001008575.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001008585.fna.gz,bcereus,144,67,2,63,5,36,3,4,
GCF_001008595.fna.gz,bcereus,2074,93,208,48,45,58,87,7,
GCF_001008645.fna.gz,bcereus,1050,65,1,93,214,51,37,166,
GCF_001008665.fna.gz,bcereus,15,9,8,16,13,2,16,9,ST-8 complex
GCF_001008695.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001043655.fna.gz,bcereus,1481,13,8,9,11,9,12,8,ST-142 complex
GCF_001044475.fna.gz,bcereus,185,51,14,21,5,19,3,2,ST-205 complex
GCF_001044485.fna.gz,bcereus,1150,33,8,13,19,2,17,7,
GCF_001044555.fna.gz,bcereus,32,5,4,3,4,15,6,16,
GCF_001044565.fna.gz,bcereus,2051,319,31,354,43,45,53,159,
GCF_001044585.fna.gz,bcereus,1050,65,1,93,214,51,37,166,
GCF_001044635.fna.gz,bcereus,1989,324,2,122,5,19,3,91,ST-205 complex
GCF_001044645.fna.gz,bcereus,2111,11,8,14,11,292,36,7,
GCF_001044655.fna.gz,bcereus,1979,33,8,13,19,2,120,17,
GCF_001044665.fna.gz,bcereus,142,13,8,8,11,9,12,7,ST-142 complex
GCF_001044715.fna.gz,bcereus,395,13,8,8,11,4,12,53,ST-142 complex
GCF_001044735.fna.gz,bcereus,164,3,2,63,5,36,3,4,
GCF_001044795.fna.gz,bcereus,1989,324,2,122,5,19,3,91,ST-205 complex
GCF_001044815.fna.gz,bcereus,2038,330,41,66,48,42,61,280,
GCF_001044825.fna.gz,bcereus,26,3,2,31,5,16,3,4,
