Genome,Scheme,ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,clonal_complex
GCF_000247855.fna.gz,koxytoca,30,1,2,2,14,19,9,2,
GCF_000247875.fna.gz,koxytoca,31,1,13,1,15,4,1,1,
GCF_000252915.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_000269585.fna.gz,koxytoca,53,1,7,2,14,19,9,2,
GCF_000492815.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_000492955.fna.gz,koxytoca,18,1,2,2,3,2,1,2,2.0
GCF_000507385.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_000527215.fna.gz,koxytoca,30,1,2,2,14,19,9,2,
GCF_000527235.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_000607265.fna.gz,koxytoca,19,1,2,2,1,16,1,2,2.0
GCF_000714655.fna.gz,koxytoca,202,3,5,21,13,74,6,12,
GCF_001022115.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001022195.fna.gz,koxytoca,317,3,8,22,9,20,33,23,
GCF_001022295.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001030705.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001030775.fna.gz,koxytoca,323,1,3,2,14,4,1,2,
GCF_001052235.fna.gz,koxytoca,186,21,6,14,10,62,7,9,
GCF_001053715.fna.gz,koxytoca,19,1,2,2,1,16,1,2,2.0
GCF_001054575.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001054935.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001055635.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001057405.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_001063775.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_001065715.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_001078175.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_001078195.fna.gz,koxytoca,258,2,7,2,15,2,1,1,
GCF_001078235.fna.gz,koxytoca,53,1,7,2,14,19,9,2,
GCF_001078255.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_001548355.fna.gz,koxytoca,263,6,6,26,10,46,24,33,
GCF_001594375.fna.gz,koxytoca,145,1,3,2,34,16,34,1,
GCF_001598695.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001870185.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_001970835.fna.gz,koxytoca,144,3,5,21,20,24,6,20,
GCF_002072655.fna.gz,koxytoca,180,3,8,22,42,20,33,23,
GCF_002080105.fna.gz,koxytoca,236,27,6,14,11,46,5,9,
GCF_002111445.fna.gz,koxytoca,new_alleles,3,5,~40,13,24,6,50,
GCF_002265085.fna.gz,koxytoca,145,1,3,2,34,16,34,1,
GCF_002508265.fna.gz,koxytoca,new_alleles,1,2,2,1,~2,1,2,
GCF_002588345.fna.gz,koxytoca,34,2,2,2,17,2,1,2,
GCF_002853195.fna.gz,koxytoca,145,1,3,2,34,16,34,1,
GCF_002853215.fna.gz,koxytoca,145,1,3,2,34,16,34,1,
GCF_002906395.fna.gz,koxytoca,202,3,5,21,13,74,6,12,
GCF_002906415.fna.gz,koxytoca,143,3,8,43,7,20,33,23,
GCF_002906435.fna.gz,koxytoca,85,3,5,21,13,24,6,19,
GCF_002918635.fna.gz,koxytoca,202,3,5,21,13,74,6,12,
