Genome,Scheme,ST,rpoD,rpoB,recA,ileS,ppsA,gyrB,nuoC,argS
GCF_001941965.fna.gz,pputida,-,,,,,,,,
GCF_002736045.fna.gz,pputida,-,55,7,,,,,,
GCF_003290365.fna.gz,pputida,-,,35,54,,,,,
GCF_000708715.fna.gz,pputida,-,19,11,22,27,19,,,
GCF_001183585.fna.gz,pputida,69,1,1,1,3,1,44,45,37
GCF_002165695.fna.gz,pputida,-,,1,74,91,2,60,57,49
GCF_002906715.fna.gz,pputida,-,,,,,,,,
GCF_013376675.fna.gz,pputida,-,,1,,,,,,
GCF_001006135.fna.gz,pputida,-,72,30,,78,67,,,
GCF_002094785.fna.gz,pputida,-,92,10,21,30,,,65,60
GCF_003938945.fna.gz,pputida,-,,35,,84,,,,
GCF_001306515.fna.gz,pputida,94,15,5,42,19,29,66,64,55
GCF_001630725.fna.gz,pputida,-,22,10,19,32,16,,54,
GCF_001653615.fna.gz,pputida,-,5,2,2,4,,,,
GCF_001700665.fna.gz,pputida,-,68,25,53,69,52,,,
GCF_013386405.fna.gz,pputida,-,,17,,,,,71,30
GCF_000802565.fna.gz,pputida,-,47,18,,43,,,,
GCF_001700705.fna.gz,pputida,-,68,25,53,70,52,,,
GCF_002736125.fna.gz,pputida,-,,7,,,,,,
GCF_002906755.fna.gz,pputida,-,,3,,,,88,59,51
GCF_013387005.fna.gz,pputida,2,21,10,20,29,17,15,5,3
GCF_001976065.fna.gz,pputida,-,,,,,,,,
GCF_002356095.fna.gz,pputida,-,24,12,,102,13,10,7,16
GCF_004519745.fna.gz,pputida,-,,1,4,6,8,12,3,12
GCF_000787655.fna.gz,pputida,43,6,1,12,8,4,14,4,31
GCF_001282125.fna.gz,pputida,136,2,1,4,6,8,89,3,70
GCF_004614155.fna.gz,pputida,-,,1,,6,8,12,3,
GCF_001027965.fna.gz,pputida,-,31,7,35,21,22,51,50,42
GCF_002094795.fna.gz,pputida,-,105,45,,,,,83,69
GCF_007833495.fna.gz,pputida,-,24,12,101,118,103,72,82,16
GCF_000875995.fna.gz,pputida,-,20,10,21,30,18,16,6,3
GCF_001700655.fna.gz,pputida,-,68,25,53,69,52,,,
GCF_008605605.fna.gz,pputida,6,34,13,57,48,34,2,24,5
GCF_001467305.fna.gz,pputida,-,70,28,,65,66,,,
GCF_001750465.fna.gz,pputida,-,13,4,14,15,11,48,75,39
GCF_009746605.fna.gz,pputida,-,92,10,21,102,,71,65,60
GCF_001636055.fna.gz,pputida,68,67,26,54,68,53,53,52,44
GCF_002554535.fna.gz,pputida,-,,1,73,88,2,60,4,50
GCF_009883635.fna.gz,pputida,-,,21,,,,,,
GCF_002025705.fna.gz,pputida,-,,21,,,,,,
GCF_001293025.fna.gz,pputida,-,11,3,13,14,10,88,59,51
GCF_000799625.fna.gz,pputida,-,10,1,10,11,6,,,47
GCF_001066335.fna.gz,pputida,-,20,10,105,31,18,16,62,3
GCF_002157515.fna.gz,pputida,-,,,,,,,,
GCF_002906795.fna.gz,pputida,-,,3,75,14,,88,59,51
GCF_013425825.fna.gz,pputida,-,,1,73,,,,,
GCF_000878325.fna.gz,pputida,-,69,28,,65,66,,,
GCF_002741075.fna.gz,pputida,137,106,46,104,122,105,90,84,71
GCF_011750675.fna.gz,pputida,69,1,1,1,3,1,44,45,37
GCF_001700695.fna.gz,pputida,-,68,25,53,69,52,,,
GCF_001515585.fna.gz,pputida,67,61,23,45,60,44,52,51,43
GCF_001767335.fna.gz,pputida,-,3,1,6,7,8,46,60,12
GCF_013337385.fna.gz,pputida,-,21,10,,,,,62,3
GCF_001644955.fna.gz,pputida,-,,29,,66,63,,,
GCF_002094775.fna.gz,pputida,-,11,3,75,14,10,88,59,51
GCF_002588485.fna.gz,pputida,-,,,,,,,,
