Genome,Scheme,ST,Bhy_adh,Bhy_gdh,Bhy_glpK,Bhy_est,Bhy_thi,Bhy_alp,Bhy_pgm
GCF_001012945.fna.gz,bhyodysenteriae,54,1,4,2,3,6,16,3
GCF_001013005.fna.gz,bhyodysenteriae,56,2,10,5,1,11,2,1
GCF_001013045.fna.gz,bhyodysenteriae,117,2,6,4,14,26,22,2
GCF_001013085.fna.gz,bhyodysenteriae,11,2,14,3,10,3,11,2
GCF_001013115.fna.gz,bhyodysenteriae,-,2,19,19,5,3,,3
GCF_001013125.fna.gz,bhyodysenteriae,30,2,15,1,10,3,11,2
GCF_001013165.fna.gz,bhyodysenteriae,53,2,2,4,7,7,6,2
GCF_001013205.fna.gz,bhyodysenteriae,127,2,5,6,8,11,11,2
GCF_007595415.fna.gz,bhyodysenteriae,92,2,5,26,17,3,6,3
GCF_007595445.fna.gz,bhyodysenteriae,96,2,4,7,19,13,25,3
GCF_007595505.fna.gz,bhyodysenteriae,107,2,10,6,8,11,11,2
GCF_007595625.fna.gz,bhyodysenteriae,94,2,10,26,1,11,2,1
GCF_007595685.fna.gz,bhyodysenteriae,95,2,4,27,19,3,2,3
GCF_001013245.fna.gz,bhyodysenteriae,129,2,1,6,8,11,11,2
GCF_001676785.fna.gz,bhyodysenteriae,56,2,10,5,1,11,2,1
GCF_001013075.fna.gz,bhyodysenteriae,15,2,11,6,3,3,8,2
GCF_001013195.fna.gz,bhyodysenteriae,35,2,15,13,10,15,11,2
GCF_001013155.fna.gz,bhyodysenteriae,24,2,4,8,3,3,12,2
GCF_001013235.fna.gz,bhyodysenteriae,114,2,10,9,5,3,11,2
GCF_001013275.fna.gz,bhyodysenteriae,4,2,1,4,3,16,3,3
GCF_002100745.fna.gz,bhyodysenteriae,132,2,4,12,3,7,6,2
GCF_002117505.fna.gz,bhyodysenteriae,132,2,4,12,3,7,6,2
GCF_002117515.fna.gz,bhyodysenteriae,132,2,4,12,3,7,6,2
GCF_002850235.fna.gz,bhyodysenteriae,83,2,5,12,3,6,11,2
GCF_007595465.fna.gz,bhyodysenteriae,105,2,24,26,20,13,16,3
GCF_007595475.fna.gz,bhyodysenteriae,104,2,4,28,5,24,26,2
GCF_007595485.fna.gz,bhyodysenteriae,106,2,4,6,19,25,2,2
GCF_007595545.fna.gz,bhyodysenteriae,108,2,24,6,8,11,11,2
GCF_007595565.fna.gz,bhyodysenteriae,110,2,5,6,3,11,2,2
GCF_007595575.fna.gz,bhyodysenteriae,54,1,4,2,3,6,16,3
GCF_007595605.fna.gz,bhyodysenteriae,54,1,4,2,3,6,16,3
GCF_007595615.fna.gz,bhyodysenteriae,93,2,24,26,14,13,16,3
GCF_007595645.fna.gz,bhyodysenteriae,94,2,10,26,1,11,2,1
GCF_017751165.fna.gz,bhyodysenteriae,6,2,1,12,3,3,7,1
GCF_017751185.fna.gz,bhyodysenteriae,197,2,1,12,3,3,12,2
GCF_017751205.fna.gz,bhyodysenteriae,66,1,10,10,3,6,11,2
GCF_018704105.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704145.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704225.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_017751225.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704035.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704155.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704165.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704205.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704235.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704245.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704255.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704305.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704325.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704345.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_018704355.fna.gz,bhyodysenteriae,196,2,6,9,5,3,33,2
GCF_000022105.fna.gz,bhyodysenteriae,36,2,15,13,10,1,11,2
GCF_000383255.fna.gz,bhyodysenteriae,56,2,10,5,1,11,2,1
GCF_001012915.fna.gz,bhyodysenteriae,4,2,1,4,3,16,3,3
GCF_001012925.fna.gz,bhyodysenteriae,-,2,1,4,7,7,6,2
GCF_001012935.fna.gz,bhyodysenteriae,-,2,6,13,3,29,11,2
GCF_001012995.fna.gz,bhyodysenteriae,26,2,4,6,5,3,16,3
GCF_001013035.fna.gz,bhyodysenteriae,8,2,12,11,3,3,2,1
