Genome,Scheme,ST,p20,aroE,uvrA,tkt,trpD,glgB,nifS
GCF_900112565.fna.gz,sgallolyticus,27,15,12,14,9,8,2,13
GCF_900459545.fna.gz,sgallolyticus,-,,,,,,,
GCF_900475715.fna.gz,sgallolyticus,1,1,1,1,1,1,1,1
GCF_000027185.fna.gz,sgallolyticus,41,5,4,17,5,4,4,3
GCF_000146525.fna.gz,sgallolyticus,-,4,4,,3,1,2,4
GCF_000203195.fna.gz,sgallolyticus,6,6,5,5,5,5,5,4
GCF_000270145.fna.gz,sgallolyticus,12,6,4,4,5,5,4,3
GCF_000723985.fna.gz,sgallolyticus,28,16,4,4,12,7,12,14
GCF_000949245.fna.gz,sgallolyticus,91,5,4,4,5,4,4,9
GCF_001477575.fna.gz,sgallolyticus,-,,,,,,,
GCF_001481475.fna.gz,sgallolyticus,-,,,,,,,
GCF_001578695.fna.gz,sgallolyticus,-,,,18,20,,,
GCF_001579135.fna.gz,sgallolyticus,-,,,18,20,,,
GCF_001658075.fna.gz,sgallolyticus,109,32,5,4,5,26,4,4
GCF_001703415.fna.gz,sgallolyticus,109,32,5,4,5,26,4,4
GCF_002000985.fna.gz,sgallolyticus,1,1,1,1,1,1,1,1
GCF_003337175.fna.gz,sgallolyticus,-,,,,,,,
GCF_003433685.fna.gz,sgallolyticus,-,,,,,,,
GCF_003434265.fna.gz,sgallolyticus,-,,,,,,,
GCF_012273095.fna.gz,sgallolyticus,-,,,,,,,
GCF_013267695.fna.gz,sgallolyticus,-,4,4,,3,1,2,4
GCF_016908075.fna.gz,sgallolyticus,-,,,,,,,
GCF_019021805.fna.gz,sgallolyticus,-,4,4,,3,1,2,4
GCF_900101135.fna.gz,sgallolyticus,-,,17,,19,19,16,
GCF_900103105.fna.gz,sgallolyticus,-,,17,,19,19,16,
GCF_900107905.fna.gz,sgallolyticus,-,,,,6,,22,
GCF_900109835.fna.gz,sgallolyticus,-,,,,6,,22,
GCF_900111215.fna.gz,sgallolyticus,-,,,,,,,
GCF_900116655.fna.gz,sgallolyticus,27,15,12,14,9,8,2,13
