Genome,Scheme,ST,Bpi_adh,Bpi_alp,Bpi_est,Bpi_gdh,Bpi_glpK,Bpi_pgm,Bpi_thi,clonal_complex
GCF_000143725.fna.gz,bpilosicoli,138,5,71,39,34,64,93,72,
GCF_000296575.fna.gz,bpilosicoli,new_alleles,~15,~95,~4,69,~89,~18,~48,
GCF_000319185.fna.gz,bpilosicoli,145,9,56,54,16,44,123,51,
GCF_000325665.fna.gz,bpilosicoli,new_ST,53,98,121,52,28,99,101,
GCF_002865865.fna.gz,bpilosicoli,new_alleles,9,~62,~98,~34,~16,64,~51,
GCF_008016535.fna.gz,bpilosicoli,-,-,-,-,-,-,~134,-,
GCF_009755855.fna.gz,bpilosicoli,new_ST,3,110,12,25,90,129,114,
GCF_009755865.fna.gz,bpilosicoli,new_ST,3,110,12,25,90,129,114,
GCF_009755875.fna.gz,bpilosicoli,new_ST,3,3,115,69,91,86,115,
GCF_009755915.fna.gz,bpilosicoli,new_ST,55,109,114,68,89,82,113,
GCF_009755925.fna.gz,bpilosicoli,new_ST,3,108,113,22,88,133,112,
GCF_009755955.fna.gz,bpilosicoli,134,5,37,105,27,18,49,35,
GCF_009755975.fna.gz,bpilosicoli,134,5,37,105,27,18,49,35,
GCF_009756005.fna.gz,bpilosicoli,134,5,37,105,27,18,49,35,
GCF_009756015.fna.gz,bpilosicoli,134,5,37,105,27,18,49,35,
GCF_009756025.fna.gz,bpilosicoli,new_ST,4,107,102,69,3,102,103,
GCF_009756045.fna.gz,bpilosicoli,new_ST,5,111,116,12,87,131,111,
GCF_009756085.fna.gz,bpilosicoli,new_ST,55,109,114,68,89,82,113,
GCF_900445955.fna.gz,bpilosicoli,new_alleles,15,~104,~133,~53,~64,~143,132,
GCF_900445975.fna.gz,bpilosicoli,new_alleles,5,~28,32,~75,~40,23,141,
