Genome,Scheme,ST,fusA,atpA,dnaE,dnaK,odhA,rpoB,leuA
GCF_000968865.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002201215.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002202495.fna.gz,cdiphtheriae,40,2,8,3,19,3,3,7
GCF_002073375.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002115155.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_002115305.fna.gz,cdiphtheriae,67,6,3,2,3,3,2,3
GCF_002200995.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202845.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_001889825.fna.gz,cdiphtheriae,462,11,3,4,98,3,9,3
GCF_002201085.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202515.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_001876285.fna.gz,cdiphtheriae,402,2,5,4,4,3,2,3
GCF_001875975.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001876165.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_002202525.fna.gz,cdiphtheriae,740,5,58,5,6,3,6,3
GCF_001875855.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001833005.fna.gz,cdiphtheriae,141,6,3,4,3,3,3,3
GCF_002202335.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202585.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002115325.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_002115335.fna.gz,cdiphtheriae,460,1,3,4,8,5,13,3
GCF_002202595.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_001876035.fna.gz,cdiphtheriae,395,4,4,1,20,16,2,3
GCF_001913265.fna.gz,cdiphtheriae,26,1,8,2,16,3,12,3
GCF_002202605.fna.gz,cdiphtheriae,28,13,2,9,3,3,3,3
GCF_001889835.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_001876295.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001875875.fna.gz,cdiphtheriae,395,4,4,1,20,16,2,3
GCF_001876175.fna.gz,cdiphtheriae,395,4,4,1,20,16,2,3
GCF_002202665.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_001833025.fna.gz,cdiphtheriae,451,1,3,1,45,3,9,12
GCF_002201145.fna.gz,cdiphtheriae,40,2,8,3,19,3,3,7
GCF_002202675.fna.gz,cdiphtheriae,123,1,2,1,45,3,9,5
GCF_001026805.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002115215.fna.gz,cdiphtheriae,451,1,3,1,45,3,9,12
GCF_002202685.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002213115.fna.gz,cdiphtheriae,461,1,49,4,8,5,13,3
GCF_003003395.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002201005.fna.gz,cdiphtheriae,728,1,2,9,4,3,5,3
GCF_002115085.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_001876085.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001876335.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001889845.fna.gz,cdiphtheriae,248,1,19,3,8,3,13,3
GCF_001889855.fna.gz,cdiphtheriae,122,1,4,1,8,3,6,11
GCF_002201135.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202445.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202985.fna.gz,cdiphtheriae,-,5,3,5,6,3,6,
GCF_001875905.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001832925.fna.gz,cdiphtheriae,457,2,8,3,8,3,3,7
GCF_001833035.fna.gz,cdiphtheriae,141,6,3,4,3,3,3,3
GCF_001876195.fna.gz,cdiphtheriae,743,1,4,10,151,16,6,3
GCF_001876255.fna.gz,cdiphtheriae,395,4,4,1,20,16,2,3
GCF_002115095.fna.gz,cdiphtheriae,465,11,3,4,98,3,3,3
GCF_002115265.fna.gz,cdiphtheriae,10,1,5,2,7,5,8,3
GCF_002202995.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_001876095.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_002201175.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202735.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_001889765.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_001875925.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_002115225.fna.gz,cdiphtheriae,463,28,4,1,33,2,3,11
GCF_002202745.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_001832935.fna.gz,cdiphtheriae,141,6,3,4,3,3,3,3
GCF_002200985.fna.gz,cdiphtheriae,-,1,2,10,29,2,13,
GCF_002202755.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002213145.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_003003435.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_001889905.fna.gz,cdiphtheriae,452,6,2,4,70,16,9,7
GCF_001875805.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001876215.fna.gz,cdiphtheriae,391,4,3,1,20,16,9,14
GCF_002115125.fna.gz,cdiphtheriae,406,2,2,3,3,3,3,7
GCF_002115185.fna.gz,cdiphtheriae,248,1,19,3,8,3,13,3
GCF_002202895.fna.gz,cdiphtheriae,76,1,2,9,1,3,2,13
GCF_001876115.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001889775.fna.gz,cdiphtheriae,458,4,2,2,90,53,2,18
GCF_002201165.fna.gz,cdiphtheriae,40,2,8,3,19,3,3,7
GCF_002202355.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202905.fna.gz,cdiphtheriae,-,6,5,6,7,3,8,
GCF_001875945.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001832945.fna.gz,cdiphtheriae,459,1,3,4,9,5,13,3
GCF_002201055.fna.gz,cdiphtheriae,76,1,2,9,1,3,2,13
GCF_002201065.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202415.fna.gz,cdiphtheriae,41,13,2,9,22,3,3,3
GCF_002202915.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002843135.fna.gz,cdiphtheriae,26,1,8,2,16,3,12,3
GCF_003003455.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_001902275.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_001875815.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_001876245.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_002202765.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_001876145.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_002115145.fna.gz,cdiphtheriae,464,25,2,2,9,3,49,3
GCF_002202815.fna.gz,cdiphtheriae,76,1,2,9,1,3,2,13
GCF_001889785.fna.gz,cdiphtheriae,453,2,22,3,94,3,3,3
GCF_001875965.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_002202345.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002202825.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_001832975.fna.gz,cdiphtheriae,451,1,3,1,45,3,9,12
GCF_002115285.fna.gz,cdiphtheriae,141,6,3,4,3,3,3,3
GCF_002201075.fna.gz,cdiphtheriae,76,1,2,9,1,3,2,13
GCF_002202435.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002202925.fna.gz,cdiphtheriae,40,2,8,3,19,3,3,7
GCF_003003405.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_003004395.fna.gz,cdiphtheriae,82,28,2,1,33,2,2,11
GCF_001913255.fna.gz,cdiphtheriae,44,4,14,2,23,14,2,2
GCF_001875845.fna.gz,cdiphtheriae,378,7,3,8,4,4,3,3
GCF_002202835.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203015.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_003004415.fna.gz,cdiphtheriae,195,19,3,1,49,16,25,3
GCF_003641005.fna.gz,cdiphtheriae,408,1,8,2,3,3,13,18
GCF_004329625.fna.gz,cdiphtheriae,634,4,3,2,131,2,4,3
GCF_014826095.fna.gz,cdiphtheriae,445,30,3,2,60,3,2,3
GCF_015830105.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015830285.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_903986055.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986125.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986225.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986295.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986305.fna.gz,cdiphtheriae,83,16,2,1,20,3,5,3
GCF_903986355.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986405.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986415.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986475.fna.gz,cdiphtheriae,725,2,2,9,96,3,4,3
GCF_903986535.fna.gz,cdiphtheriae,100,31,2,2,42,3,4,11
GCF_903986545.fna.gz,cdiphtheriae,100,31,2,2,42,3,4,11
GCF_000257885.fna.gz,cdiphtheriae,452,6,2,4,70,16,9,7
GCF_003046845.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_003666645.fna.gz,cdiphtheriae,295,19,2,1,20,3,14,3
GCF_004758745.fna.gz,cdiphtheriae,377,4,2,43,87,3,6,59
GCF_015830215.fna.gz,cdiphtheriae,661,5,4,1,136,1,6,11
GCF_015830505.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015830585.fna.gz,cdiphtheriae,656,19,1,9,46,3,22,3
GCF_903986065.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986245.fna.gz,cdiphtheriae,724,7,3,1,20,54,2,13
GCF_903986155.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986365.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986385.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986425.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986485.fna.gz,cdiphtheriae,292,1,2,12,4,3,2,3
GCF_903986515.fna.gz,cdiphtheriae,725,2,2,9,96,3,4,3
GCF_000255235.fna.gz,cdiphtheriae,175,19,2,1,37,3,4,24
GCF_003194045.fna.gz,cdiphtheriae,125,1,19,4,8,3,13,3
GCF_015831105.fna.gz,cdiphtheriae,244,19,2,1,20,16,13,42
GCF_015831145.fna.gz,cdiphtheriae,439,6,3,46,3,3,2,30
GCF_004916755.fna.gz,cdiphtheriae,44,4,14,2,23,14,2,2
GCF_903986075.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986255.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986315.fna.gz,cdiphtheriae,447,1,4,46,4,3,2,3
GCF_903986165.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986375.fna.gz,cdiphtheriae,724,7,3,1,20,54,2,13
GCF_903986395.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986435.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986495.fna.gz,cdiphtheriae,100,31,2,2,42,3,4,11
GCF_903986525.fna.gz,cdiphtheriae,447,1,4,46,4,3,2,3
GCF_000241915.fna.gz,cdiphtheriae,173,1,3,4,8,2,9,7
GCF_004916775.fna.gz,cdiphtheriae,44,4,14,2,23,14,2,2
GCF_903986085.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_015830115.fna.gz,cdiphtheriae,503,4,4,1,102,5,35,5
GCF_900461215.fna.gz,cdiphtheriae,44,4,14,2,23,14,2,2
GCF_900638705.fna.gz,cdiphtheriae,452,6,2,4,70,16,9,7
GCF_903986175.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986265.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986325.fna.gz,cdiphtheriae,83,16,2,1,20,3,5,3
GCF_903986445.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_000255255.fna.gz,cdiphtheriae,80,19,2,1,32,3,6,13
GCF_000241875.fna.gz,cdiphtheriae,584,3,2,2,124,2,3,3
GCF_015830145.fna.gz,cdiphtheriae,469,1,4,10,3,3,13,7
GCF_903986105.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_900638715.fna.gz,cdiphtheriae,10,1,5,2,7,5,8,3
GCF_015830155.fna.gz,cdiphtheriae,319,4,38,1,77,3,9,5
GCF_903986185.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986275.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986335.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986345.fna.gz,cdiphtheriae,447,1,4,46,4,3,2,3
GCF_903986455.fna.gz,cdiphtheriae,447,1,4,46,4,3,2,3
GCF_000255175.fna.gz,cdiphtheriae,26,1,8,2,16,3,12,3
GCF_000241895.fna.gz,cdiphtheriae,175,19,2,1,37,3,4,24
GCF_015830165.fna.gz,cdiphtheriae,259,1,3,1,12,16,31,42
GCF_903986115.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_015830205.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_903986205.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_902497465.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986285.fna.gz,cdiphtheriae,384,2,3,1,20,54,2,13
GCF_903986465.fna.gz,cdiphtheriae,447,1,4,46,4,3,2,3
GCF_903986505.fna.gz,cdiphtheriae,292,1,2,12,4,3,2,3
GCF_000255155.fna.gz,cdiphtheriae,176,4,2,4,17,5,2,7
GCF_000255195.fna.gz,cdiphtheriae,128,19,2,1,47,3,6,13
GCF_000255215.fna.gz,cdiphtheriae,50,1,2,2,4,3,2,3
GCF_000953975.fna.gz,cdiphtheriae,171,19,2,2,36,3,6,3
GCF_002203055.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203075.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203135.fna.gz,cdiphtheriae,742,4,3,1,18,87,5,13
GCF_002203225.fna.gz,cdiphtheriae,-,1,2,4,4,3,5,
GCF_002203235.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203315.fna.gz,cdiphtheriae,53,1,2,10,24,3,2,3
GCF_002203495.fna.gz,cdiphtheriae,25,6,5,6,7,3,8,6
GCF_002203595.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203785.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002213075.fna.gz,cdiphtheriae,141,6,3,4,3,3,3,3
GCF_015830385.fna.gz,cdiphtheriae,417,1,3,9,4,3,5,3
GCF_015830665.fna.gz,cdiphtheriae,655,1,33,2,4,3,2,3
GCF_015830695.fna.gz,cdiphtheriae,469,1,4,10,3,3,13,7
GCF_015830985.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_000255275.fna.gz,cdiphtheriae,44,4,14,2,23,14,2,2
GCF_015831025.fna.gz,cdiphtheriae,308,1,4,12,4,3,13,18
GCF_002203275.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203295.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203465.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203515.fna.gz,cdiphtheriae,-,1,2,4,4,3,5,
GCF_002203695.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203895.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_015830305.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_015830425.fna.gz,cdiphtheriae,417,1,3,9,4,3,5,3
GCF_015830735.fna.gz,cdiphtheriae,623,29,2,1,35,3,2,3
GCF_015830765.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015831045.fna.gz,cdiphtheriae,295,19,2,1,20,3,14,3
GCF_000241935.fna.gz,cdiphtheriae,172,4,3,2,2,32,6,3
GCF_001026845.fna.gz,cdiphtheriae,32,4,3,1,18,3,5,13
GCF_002203145.fna.gz,cdiphtheriae,41,13,2,9,22,3,3,3
GCF_002203325.fna.gz,cdiphtheriae,741,1,2,4,4,3,5,94
GCF_002203335.fna.gz,cdiphtheriae,40,2,8,3,19,3,3,7
GCF_002203535.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203545.fna.gz,cdiphtheriae,32,4,3,1,18,3,5,13
GCF_002203705.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203905.fna.gz,cdiphtheriae,-,5,3,5,6,3,6,
GCF_015830325.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015830435.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015830835.fna.gz,cdiphtheriae,657,64,2,3,38,3,2,7
GCF_015831055.fna.gz,cdiphtheriae,653,71,3,2,131,2,4,7
GCF_015831085.fna.gz,cdiphtheriae,244,19,2,1,20,16,13,42
GCF_000242775.fna.gz,cdiphtheriae,171,19,2,2,36,3,6,3
GCF_001188005.fna.gz,cdiphtheriae,32,4,3,1,18,3,5,13
GCF_002203155.fna.gz,cdiphtheriae,25,6,5,6,7,3,8,6
GCF_002203375.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203395.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203615.fna.gz,cdiphtheriae,76,1,2,9,1,3,2,13
GCF_002203735.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203775.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203935.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_015830365.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015830475.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015831095.fna.gz,cdiphtheriae,100,31,2,2,42,3,4,11
GCF_015831185.fna.gz,cdiphtheriae,439,6,3,46,3,3,2,30
GCF_015831205.fna.gz,cdiphtheriae,32,4,3,1,18,3,5,13
GCF_000263415.fna.gz,cdiphtheriae,143,1,2,10,29,2,13,12
GCF_001457455.fna.gz,cdiphtheriae,26,1,8,2,16,3,12,3
GCF_002203415.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203435.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203455.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203815.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203865.fna.gz,cdiphtheriae,-,5,3,5,6,3,6,
GCF_002203945.fna.gz,cdiphtheriae,185,40,3,5,6,3,6,3
GCF_002203965.fna.gz,cdiphtheriae,25,6,5,6,7,3,8,6
GCF_015830375.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_015830605.fna.gz,cdiphtheriae,257,19,2,1,35,24,13,13
GCF_015831155.fna.gz,cdiphtheriae,439,6,3,46,3,3,2,30
GCF_015831195.fna.gz,cdiphtheriae,439,6,3,46,3,3,2,30
GCF_017149595.fna.gz,cdiphtheriae,677,38,3,65,13,33,4,14
GCF_000455805.fna.gz,cdiphtheriae,32,4,3,1,18,3,5,13
GCF_002203065.fna.gz,cdiphtheriae,-,1,2,4,4,3,5,
GCF_002203105.fna.gz,cdiphtheriae,-,5,3,5,6,3,6,
GCF_002203215.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_002203575.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_015830785.fna.gz,cdiphtheriae,625,19,2,4,6,3,6,13
GCF_018682715.fna.gz,cdiphtheriae,703,5,1,1,87,2,6,11
GCF_002203855.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_015830615.fna.gz,cdiphtheriae,140,1,33,15,4,3,2,3
GCF_015830645.fna.gz,cdiphtheriae,246,46,2,1,45,16,9,5
GCF_015830705.fna.gz,cdiphtheriae,654,1,3,1,45,3,9,5
GCF_015831245.fna.gz,cdiphtheriae,658,2,2,3,92,3,3,3
GCF_015831255.fna.gz,cdiphtheriae,32,4,3,1,18,3,5,13
GCF_015831285.fna.gz,cdiphtheriae,317,19,2,1,76,24,13,13
GCF_017149575.fna.gz,cdiphtheriae,174,38,3,2,13,33,4,14
GCF_002203625.fna.gz,cdiphtheriae,5,1,2,4,4,3,5,3
GCF_002203665.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
GCF_015830335.fna.gz,cdiphtheriae,652,19,3,1,107,3,48,13
GCF_015830465.fna.gz,cdiphtheriae,130,1,2,10,9,27,2,3
GCF_015830865.fna.gz,cdiphtheriae,662,81,2,4,137,3,6,13
GCF_000195815.fna.gz,cdiphtheriae,8,5,3,5,6,3,6,3
