Genome,Scheme,ST,tpi,yqiL,spi,nrdE,tdk,proS,arcC
GCF_011316915.fna.gz,szooepidemicus,407,34,46,45,19,1,15,27
GCF_011317005.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_018139965.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_011316755.fna.gz,szooepidemicus,404,48,16,5,3,3,3,5
GCF_011316785.fna.gz,szooepidemicus,-,22,,14,3,1,2,2
GCF_011316835.fna.gz,szooepidemicus,70,14,16,5,3,3,5,5
GCF_011316885.fna.gz,szooepidemicus,406,14,16,40,3,50,38,9
GCF_011317015.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_012976265.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_011316715.fna.gz,szooepidemicus,403,13,10,25,4,1,11,13
GCF_011316805.fna.gz,szooepidemicus,405,7,9,6,61,7,5,3
GCF_011316855.fna.gz,szooepidemicus,71,1,1,1,19,1,1,1
GCF_011317085.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_011316925.fna.gz,szooepidemicus,407,34,46,45,19,1,15,27
GCF_011316985.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_011317035.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_011317105.fna.gz,szooepidemicus,329,15,29,45,3,1,36,1
GCF_011316905.fna.gz,szooepidemicus,407,34,46,45,19,1,15,27
GCF_011316745.fna.gz,szooepidemicus,222,14,16,40,3,1,38,9
GCF_011317045.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_011316825.fna.gz,szooepidemicus,40,5,16,6,3,1,1,3
GCF_013178995.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_015689415.fna.gz,szooepidemicus,3,3,3,3,3,2,1,3
GCF_015767555.fna.gz,szooepidemicus,61,16,3,6,11,17,20,18
GCF_015689375.fna.gz,szooepidemicus,98,5,1,45,3,1,1,8
GCF_015689455.fna.gz,szooepidemicus,442,7,41,2,6,9,6,11
GCF_018140065.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_018140535.fna.gz,szooepidemicus,-,22,,14,3,1,2,8
GCF_900459475.fna.gz,szooepidemicus,214,5,16,45,3,1,4,3
GCF_900460185.fna.gz,szooepidemicus,219,16,3,4,11,24,20,1
GCF_900474805.fna.gz,szooepidemicus,219,16,3,4,11,24,20,1
GCF_900475125.fna.gz,szooepidemicus,72,7,9,6,10,7,5,3
GCF_900636805.fna.gz,szooepidemicus,398,47,70,6,18,1,64,9
GCF_015689355.fna.gz,szooepidemicus,-,22,,14,52,1,2,8
GCF_015689435.fna.gz,szooepidemicus,97,2,5,6,11,1,5,22
GCF_015689395.fna.gz,szooepidemicus,218,3,22,6,3,30,43,8
GCF_018140015.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_900474875.fna.gz,szooepidemicus,5,5,5,5,3,3,3,5
GCF_900475295.fna.gz,szooepidemicus,391,5,28,19,2,14,5,3
GCF_000876355.fna.gz,szooepidemicus,303,7,2,45,22,1,54,18
GCF_011316705.fna.gz,szooepidemicus,8,7,7,4,6,5,6,6
GCF_000876305.fna.gz,szooepidemicus,279,9,6,26,11,7,16,2
GCF_009676685.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_009848275.fna.gz,szooepidemicus,364,5,16,6,56,1,4,3
GCF_000876365.fna.gz,szooepidemicus,203,5,43,7,4,4,4,2
GCF_000876375.fna.gz,szooepidemicus,96,14,16,4,6,4,14,2
GCF_009676645.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_009676725.fna.gz,szooepidemicus,340,10,6,20,14,1,22,10
GCF_010994195.fna.gz,szooepidemicus,384,18,30,7,3,10,15,3
GCF_000876285.fna.gz,szooepidemicus,-,16,16,6,11,14,15,
GCF_000876295.fna.gz,szooepidemicus,156,19,26,2,3,1,6,4
GCF_000020765.fna.gz,szooepidemicus,72,7,9,6,10,7,5,3
GCF_000026605.fna.gz,szooepidemicus,1,1,1,1,1,1,1,1
GCF_000208725.fna.gz,szooepidemicus,123,45,15,29,3,1,12,21
GCF_000219765.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_000445225.fna.gz,szooepidemicus,279,9,6,26,11,7,16,2
GCF_000696505.fna.gz,szooepidemicus,194,34,46,45,3,1,1,27
GCF_000876275.fna.gz,szooepidemicus,65,19,26,2,3,1,5,4
