Genome,Scheme,ST,guaA,CAMP2,atpD,gmk,tly,lepA,sodA,aroE
GCF_001661015.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000730485.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003384625.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_004167045.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_001750605.fna.gz,pacnes,20,3,1,1,1,1,1,1,5
GCF_003425775.fna.gz,pacnes,142,3,43,1,17,1,1,1,1
GCF_005773775.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_002861085.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_001660875.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_001469615.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003384485.fna.gz,pacnes,6,4,10,4,2,10,2,3,17
GCF_005773805.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_003384395.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_003384225.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_002775655.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000735055.fna.gz,pacnes,7,4,10,4,2,10,2,3,15
GCF_001661025.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002572575.fna.gz,pacnes,129,21,1,1,1,1,1,1,1
GCF_003384665.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_005774105.fna.gz,pacnes,141,8,6,17,4,14,6,8,24
GCF_003030305.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002556485.fna.gz,pacnes,-,4,10,9,2,32,2,3,17
GCF_003425855.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_005773825.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_003384495.fna.gz,pacnes,6,4,10,4,2,10,2,3,17
GCF_003384535.fna.gz,pacnes,65,4,19,4,2,10,2,3,17
GCF_005773835.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_001469635.fna.gz,pacnes,20,3,1,1,1,1,1,1,5
