Genome,Scheme,ST,mdh,atpA,dnaN,fumC,pheS,glyA,sucA
GCF_000013125.fna.gz,aphagocytophilum,161,18,26,28,28,42,32,82
GCF_000439755.fna.gz,aphagocytophilum,161,18,26,28,28,42,32,82
GCF_000439775.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_000439795.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_000478425.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_000478445.fna.gz,aphagocytophilum,216,53,1,77,71,104,78,95
GCF_000689615.fna.gz,aphagocytophilum,217,53,1,77,70,104,78,95
GCF_000689635.fna.gz,aphagocytophilum,82,3,4,2,29,3,33,2
GCF_000689655.fna.gz,aphagocytophilum,215,4,60,28,28,103,77,94
GCF_000964685.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_000964725.fna.gz,aphagocytophilum,161,18,26,28,28,42,32,82
GCF_000964745.fna.gz,aphagocytophilum,55,3,7,27,6,27,15,2
GCF_000964915.fna.gz,aphagocytophilum,218,54,59,77,70,104,78,95
GCF_000964935.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_000964945.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_000964985.fna.gz,aphagocytophilum,-,18,26,28,28,,32,82
GCF_000965125.fna.gz,aphagocytophilum,-,18,26,28,28,42,32,
GCF_000968455.fna.gz,aphagocytophilum,-,,26,28,28,42,32,40
GCF_000968465.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_002849375.fna.gz,aphagocytophilum,64,18,26,28,28,42,32,40
GCF_013487825.fna.gz,aphagocytophilum,-,3,76,,7,30,1,88
GCF_900000025.fna.gz,aphagocytophilum,219,8,1,2,72,21,14,63
GCF_900078505.fna.gz,aphagocytophilum,-,8,,7,,,2,
GCF_900088605.fna.gz,aphagocytophilum,-,8,1,7,,101,2,
GCF_900088615.fna.gz,aphagocytophilum,-,8,1,7,,101,2,
GCF_900088625.fna.gz,aphagocytophilum,-,8,1,7,,101,2,
GCF_900088645.fna.gz,aphagocytophilum,-,13,10,65,18,101,2,77
GCF_900088665.fna.gz,aphagocytophilum,-,8,1,7,,101,2,
