Scheme	Genome	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
aactinomycetemcomitans	GCF_000163615.fna	2308962	1	2308962	2308962	2308962	5	5	2308962	1	2308962	1	2308962	1
aactinomycetemcomitans	GCF_000226715.fna	2200508	102	21573.61	159785	316	1385	51	66745	11	43633	19	19487	34
aactinomycetemcomitans	GCF_000226735.fna	2222263	134	16584.05	121113	302	24857	8	37968	20	25753	35	13314	57
aactinomycetemcomitans	GCF_000226755.fna	2137435	54	39582.13	484709	305	0	0	94974	5	54380	12	33421	21
aactinomycetemcomitans	GCF_000226775.fna	2254042	106	21264.55	151968	300	2956	64	47997	13	30277	25	12228	47
aactinomycetemcomitans	GCF_000226795.fna	2266108	114	19878.14	171566	313	9551	2	49870	14	33694	25	12252	44
aactinomycetemcomitans	GCF_000226815.fna	2042853	34	60083.91	220380	329	1094	23	105697	6	77171	11	40872	18
aactinomycetemcomitans	GCF_000226835.fna	2112113	30	70403.77	326577	464	6215	26	177086	5	105826	8	63369	13
aactinomycetemcomitans	GCF_000226855.fna	2034590	26	78253.46	367722	428	545	16	148981	5	102535	9	63626	14
aactinomycetemcomitans	GCF_000240985.fna	2284348	123	18571.93	144729	300	415	17	59838	14	38281	23	13975	42
aactinomycetemcomitans	GCF_000241005.fna	2187951	51	42901	253428	452	22493	13	100244	8	78371	13	23650	24
aactinomycetemcomitans	GCF_000259915.fna	2233070	11	203006.36	547537	16861	23	10	380197	3	332293	4	89300	7
aactinomycetemcomitans	GCF_000318155.fna	2186501	87	25132.2	160178	512	680	34	63707	13	42537	22	19190	38
aactinomycetemcomitans	GCF_000332895.fna	2126064	28	75930.86	243527	460	89272	20	157962	6	102703	9	76454	14
aactinomycetemcomitans	GCF_000332915.fna	2256834	118	19125.71	132953	303	13212	38	52608	15	28146	26	12064	49
aactinomycetemcomitans	GCF_000332935.fna	2099572	31	67728.13	363807	355	60912	21	125567	6	90052	10	64265	15
