Genome,Scheme,ST,pheS,glyA,fumC,mdh,sucA,dnaN,atpA,clonal_complex
GCF_000013125.fna.gz,aphagocytophilum,161,42,32,28,18,82,28,26,5.0
GCF_000439755.fna.gz,aphagocytophilum,161,42,32,28,18,82,28,26,5.0
GCF_000439775.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_000439795.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_000478425.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_000478445.fna.gz,aphagocytophilum,216,104,78,71,53,95,77,1,12.0
GCF_000689615.fna.gz,aphagocytophilum,217,104,78,70,53,95,77,1,12.0
GCF_000689635.fna.gz,aphagocytophilum,82,3,33,29,3,2,2,4,
GCF_000689655.fna.gz,aphagocytophilum,215,103,77,28,4,94,28,60,
GCF_000964685.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_000964725.fna.gz,aphagocytophilum,161,42,32,28,18,82,28,26,5.0
GCF_000964745.fna.gz,aphagocytophilum,55,27,15,6,3,2,27,7,1.0
GCF_000964915.fna.gz,aphagocytophilum,218,104,78,70,54,95,77,59,12.0
GCF_000964935.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_000964945.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_000964985.fna.gz,aphagocytophilum,-,-,32,28,18,82,28,26,
GCF_000965125.fna.gz,aphagocytophilum,-,42,32,28,18,-,28,26,
GCF_000968455.fna.gz,aphagocytophilum,-,42,32,28,-,40,28,26,
GCF_000968465.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_002849375.fna.gz,aphagocytophilum,64,42,32,28,18,40,28,26,5.0
GCF_013487825.fna.gz,aphagocytophilum,new_alleles,30,1,7,3,88,~66,76,
GCF_900000025.fna.gz,aphagocytophilum,219,21,14,72,8,63,2,1,
GCF_900078505.fna.gz,aphagocytophilum,new_alleles,~47,2,~3,8,~63,7,~1,
GCF_900088605.fna.gz,aphagocytophilum,new_alleles,101,2,~69,8,~63,7,1,
GCF_900088615.fna.gz,aphagocytophilum,new_alleles,101,2,~69,8,~63,7,1,
GCF_900088625.fna.gz,aphagocytophilum,new_alleles,101,2,~69,8,~63,7,1,
GCF_900088645.fna.gz,aphagocytophilum,-,101,2|20,18,13,77,65,10,
GCF_900088665.fna.gz,aphagocytophilum,new_alleles,101,2,~69,8,~63,7,1,
