Genome,Scheme,ST,holC,petC,cysG,gltT,nuoL,leuA,malF
GCF_006370235.fna.gz,xfastidiosa,-,10,6,24,14,16,7,
GCF_014249995.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_014856685.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_006370155.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_006370055.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_000767565.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_001549745.fna.gz,xfastidiosa,11,10,7,9,8,8,7,7
GCF_001684415.fna.gz,xfastidiosa,11,10,7,9,8,8,7,7
GCF_001456195.fna.gz,xfastidiosa,16,11,6,10,8,8,7,8
GCF_012952095.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_012974125.fna.gz,xfastidiosa,7,3,3,7,3,3,3,3
GCF_006369995.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_001456315.fna.gz,xfastidiosa,70,22,7,11,8,9,14,8
GCF_001971465.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_006369895.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_001549815.fna.gz,xfastidiosa,14,12,8,11,9,9,8,8
GCF_007713995.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_012974105.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_006370175.fna.gz,xfastidiosa,73,10,6,27,8,16,7,8
GCF_001456275.fna.gz,xfastidiosa,13,10,6,9,8,7,7,7
GCF_006370085.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_006369905.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_006370035.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_006370185.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_001469345.fna.gz,xfastidiosa,74,25,6,28,8,16,7,8
GCF_001549825.fna.gz,xfastidiosa,53,10,6,24,14,16,7,16
GCF_001886315.fna.gz,xfastidiosa,42,4,3,12,3,3,6,5
GCF_001549755.fna.gz,xfastidiosa,53,10,6,24,14,16,7,16
GCF_007845655.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_012952075.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_000811965.fna.gz,xfastidiosa,53,10,6,24,14,16,7,16
GCF_013283695.fna.gz,xfastidiosa,11,10,7,9,8,8,7,7
GCF_018449135.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_006370215.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_006370115.fna.gz,xfastidiosa,4,1,1,4,1,1,1,1
GCF_001456295.fna.gz,xfastidiosa,14,12,8,11,9,9,8,8
GCF_000166855.fna.gz,xfastidiosa,5,2,2,2,2,2,2,2
GCF_001572105.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_001971505.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_001417925.fna.gz,xfastidiosa,72,24,12,26,1,18,12,15
GCF_001549735.fna.gz,xfastidiosa,53,10,6,24,14,16,7,16
GCF_003515915.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_006369915.fna.gz,xfastidiosa,42,4,3,12,3,3,6,5
GCF_007713905.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_001549765.fna.gz,xfastidiosa,11,10,7,9,8,8,7,7
GCF_009669405.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_012952085.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_006370045.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_000219235.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_000019325.fna.gz,xfastidiosa,7,3,3,7,3,3,3,3
GCF_004016275.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_004016365.fna.gz,xfastidiosa,51,4,3,3,3,15,3,5
GCF_004016375.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_007713945.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_007845705.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_009669425.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_002117875.fna.gz,xfastidiosa,53,10,6,24,14,16,7,16
GCF_011801475.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_012974145.fna.gz,xfastidiosa,7,3,3,7,3,3,3,3
GCF_014856695.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856775.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856835.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856905.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_015102005.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_015475995.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_015476015.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_018069665.fna.gz,xfastidiosa,43,4,3,18,7,3,3,5
GCF_018449155.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_000698825.fna.gz,xfastidiosa,30,5,5,8,3,4,4,6
GCF_000019765.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_004016405.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_004023395.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
