Genome,Scheme,ST,ack,pta1,glpK,aroE,tpiA,ftsZ,gmk
GCF_001684285.fna.gz,msciuri,51,7,9,19,15,10,12,11
GCF_001476575.fna.gz,msciuri,33,8,10,14,9,10,13,6
GCF_003041855.fna.gz,msciuri,31,1,2,5,1,1,1,2
GCF_900474615.fna.gz,msciuri,30,9,5,10,10,10,8,6
GCF_001477335.fna.gz,msciuri,33,8,10,14,9,10,13,6
GCF_003579425.fna.gz,msciuri,73,1,1,1,2,7,1,8
GCF_003043615.fna.gz,msciuri,34,2,2,5,2,1,1,8
GCF_003580365.fna.gz,msciuri,62,9,5,15,10,10,8,6
GCF_003041935.fna.gz,msciuri,30,9,5,10,10,10,8,6
GCF_002902225.fna.gz,msciuri,40,2,2,5,1,12,10,9
GCF_017368535.fna.gz,msciuri,96,9,5,10,14,10,8,6
GCF_003006205.fna.gz,msciuri,59,8,13,14,12,10,13,6
GCF_001046995.fna.gz,msciuri,30,9,5,10,10,10,8,6
GCF_003041875.fna.gz,msciuri,42,2,3,11,2,1,5,2
GCF_003579375.fna.gz,msciuri,35,1,3,5,2,1,2,2
GCF_017971705.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_001051265.fna.gz,msciuri,69,13,22,23,24,17,17,14
GCF_001476585.fna.gz,msciuri,33,8,10,14,9,10,13,6
GCF_001766775.fna.gz,msciuri,49,7,9,19,8,18,12,11
GCF_002091355.fna.gz,msciuri,66,11,17,14,9,10,13,6
GCF_001477395.fna.gz,msciuri,33,8,10,14,9,10,13,6
GCF_002209165.fna.gz,msciuri,56,8,16,14,9,10,14,6
GCF_003042855.fna.gz,msciuri,70,14,23,24,25,12,18,15
GCF_003579445.fna.gz,msciuri,39,2,3,5,1,1,9,4
GCF_003579575.fna.gz,msciuri,41,2,3,5,2,7,2,2
GCF_018967705.fna.gz,msciuri,-,7,9,27,33,10,12,11
GCF_003041945.fna.gz,msciuri,32,1,7,1,1,7,5,2
GCF_003042135.fna.gz,msciuri,65,10,12,14,9,10,13,6
GCF_003041895.fna.gz,msciuri,57,8,11,14,11,10,13,6
GCF_003041915.fna.gz,msciuri,36,1,1,1,2,7,5,4
GCF_003579395.fna.gz,msciuri,-,1,25,,1,20,1,17
GCF_017368565.fna.gz,msciuri,97,7,21,13,33,10,12,11
GCF_001476555.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_001476955.fna.gz,msciuri,33,8,10,14,9,10,13,6
GCF_001766785.fna.gz,msciuri,52,7,9,19,16,10,12,11
GCF_002901825.fna.gz,msciuri,30,9,5,10,10,10,8,6
GCF_003043075.fna.gz,msciuri,58,8,15,16,11,10,13,6
GCF_019149065.fna.gz,msciuri,-,8,16,14,36,,13,6
GCF_001477405.fna.gz,msciuri,33,8,10,14,9,10,13,6
GCF_002407445.fna.gz,msciuri,67,12,21,22,22,10,7,11
GCF_003579465.fna.gz,msciuri,46,5,3,7,2,4,2,2
GCF_017368765.fna.gz,msciuri,96,9,5,10,14,10,8,6
GCF_003041975.fna.gz,msciuri,30,9,5,10,10,10,8,6
GCF_003042145.fna.gz,msciuri,43,2,2,5,17,1,6,4
GCF_003042195.fna.gz,msciuri,30,9,5,10,10,10,8,6
GCF_003579565.fna.gz,msciuri,44,2,3,5,18,1,6,5
GCF_003579605.fna.gz,msciuri,37,1,19,1,19,1,5,2
GCF_003580425.fna.gz,msciuri,36,1,1,1,2,7,5,4
GCF_003580435.fna.gz,msciuri,60,8,16,14,13,10,13,6
GCF_003580695.fna.gz,msciuri,46,5,3,7,2,4,2,2
GCF_009259665.fna.gz,msciuri,64,9,5,18,14,16,8,6
GCF_009830405.fna.gz,msciuri,50,7,9,19,16,18,12,11
GCF_009830425.fna.gz,msciuri,71,15,24,25,26,19,10,16
GCF_014217745.fna.gz,msciuri,63,9,5,18,14,10,8,6
GCF_015831675.fna.gz,msciuri,74,12,26,13,16,21,15,18
GCF_016067395.fna.gz,msciuri,76,2,2,26,2,22,1,1
GCF_016887545.fna.gz,msciuri,90,1,2,28,2,7,19,3
GCF_016891605.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016891785.fna.gz,msciuri,91,7,21,27,32,10,12,11
GCF_016891845.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016892285.fna.gz,msciuri,93,7,9,19,34,10,12,11
GCF_016892465.fna.gz,msciuri,88,7,9,34,16,18,15,11
GCF_016892865.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016893105.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016893445.fna.gz,msciuri,89,7,9,32,16,18,20,11
GCF_017028955.fna.gz,msciuri,-,7,,20,,10,12,11
GCF_019272915.fna.gz,msciuri,-,12,26,13,29,10,15,
GCF_003580375.fna.gz,msciuri,61,9,5,10,10,13,8,6
GCF_003580685.fna.gz,msciuri,38,1,1,1,20,1,1,2
GCF_003968855.fna.gz,msciuri,-,15,,,,,19,16
GCF_009830435.fna.gz,msciuri,47,6,8,12,7,14,11,10
GCF_013415315.fna.gz,msciuri,50,7,9,19,16,18,12,11
GCF_013602285.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_015234835.fna.gz,msciuri,50,7,9,19,16,18,12,11
GCF_015831685.fna.gz,msciuri,52,7,9,19,16,10,12,11
GCF_016128315.fna.gz,msciuri,78,1,27,28,27,12,1,2
GCF_016891325.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016891645.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016891805.fna.gz,msciuri,77,7,9,27,8,18,12,11
GCF_016892065.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016892355.fna.gz,msciuri,92,7,9,19,33,10,12,11
GCF_016892745.fna.gz,msciuri,94,7,9,33,34,10,12,11
GCF_016892975.fna.gz,msciuri,87,7,28,19,35,10,12,11
GCF_016893185.fna.gz,msciuri,86,7,9,19,8,10,12,11
GCF_017028865.fna.gz,msciuri,-,7,,,,18,12,11
GCF_017277335.fna.gz,msciuri,82,7,9,30,28,10,12,11
GCF_900117375.fna.gz,msciuri,30,9,5,10,10,10,8,6
GCF_003580395.fna.gz,msciuri,54,8,13,16,9,15,13,6
GCF_004569525.fna.gz,msciuri,53,7,18,20,16,10,15,11
GCF_009648145.fna.gz,msciuri,55,8,14,17,9,10,13,6
GCF_011065455.fna.gz,msciuri,68,13,6,23,23,17,17,13
GCF_012102515.fna.gz,msciuri,50,7,9,19,16,18,12,11
GCF_015235165.fna.gz,msciuri,53,7,18,20,16,10,15,11
GCF_016067215.fna.gz,msciuri,77,7,9,27,8,18,12,11
GCF_016653675.fna.gz,msciuri,75,7,9,20,16,10,12,11
GCF_016891585.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016891705.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016891825.fna.gz,msciuri,84,7,30,13,8,10,12,11
GCF_016892085.fna.gz,msciuri,52,7,9,19,16,10,12,11
GCF_016892405.fna.gz,msciuri,49,7,9,19,8,18,12,11
GCF_016892785.fna.gz,msciuri,85,7,21,27,8,10,12,11
GCF_016893065.fna.gz,msciuri,48,7,9,13,8,10,12,11
GCF_016893305.fna.gz,msciuri,81,7,28,20,16,10,12,11
GCF_017028935.fna.gz,msciuri,95,16,29,28,31,5,21,3
GCF_017583155.fna.gz,msciuri,98,8,31,35,36,10,13,6
GCF_000612145.fna.gz,msciuri,45,2,20,21,21,8,16,12
