Genome,Scheme,ST,sodA,plc,colA,groEL,gyrB,pgk,nadA,sigK
GCF_002355795.fna.gz,cperfringens,-,58,53,45,35,29,23,58,
GCF_001949635.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_001304735.fna.gz,cperfringens,76,1,33,6,5,24,7,39,4
GCF_001949515.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_001949625.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_004116145.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_008086935.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_003181655.fna.gz,cperfringens,118,1,4,65,19,3,1,1,5
GCF_001949805.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_001949375.fna.gz,cperfringens,78,3,4,4,19,3,20,1,5
GCF_003181475.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_004329605.fna.gz,cperfringens,158,1,8,7,48,32,5,60,6
GCF_001949215.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_003203455.fna.gz,cperfringens,103,1,46,4,1,3,4,1,5
GCF_003350945.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_003850125.fna.gz,cperfringens,143,1,5,19,5,1,3,1,2
GCF_009259705.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_003075475.fna.gz,cperfringens,105,47,47,46,36,30,12,42,5
GCF_001406415.fna.gz,cperfringens,75,43,44,40,19,2,1,13,18
GCF_001949695.fna.gz,cperfringens,97,3,4,42,19,3,20,1,5
GCF_001949795.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_003990265.fna.gz,cperfringens,146,60,67,63,46,38,8,59,40
GCF_010994425.fna.gz,cperfringens,-,1,4,105,1,3,1,1,
GCF_001949385.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_002012325.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_002312985.fna.gz,cperfringens,104,3,4,4,4,3,1,1,2
GCF_003181495.fna.gz,cperfringens,111,49,3,48,5,24,7,1,4
GCF_011062465.fna.gz,cperfringens,183,43,3,3,4,1,3,1,3
GCF_001949535.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_004115725.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_004329615.fna.gz,cperfringens,159,15,59,4,49,1,3,48,34
GCF_003181795.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_001949235.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_003181815.fna.gz,cperfringens,124,46,52,7,40,3,1,13,2
GCF_004329675.fna.gz,cperfringens,157,61,37,31,2,2,28,56,7
GCF_003181355.fna.gz,cperfringens,106,1,48,39,19,3,1,1,5
GCF_001949715.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_001414595.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_003475625.fna.gz,cperfringens,-,1,3,19,4,34,3,1,
GCF_004793785.fna.gz,cperfringens,161,53,36,57,44,28,26,50,36
GCF_002018235.fna.gz,cperfringens,102,12,17,44,17,12,10,15,13
GCF_003181505.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_004116045.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_004116155.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_011062475.fna.gz,cperfringens,287,76,85,86,7,2,12,8,19
GCF_001949395.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_001949245.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_001949545.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_003181455.fna.gz,cperfringens,109,48,49,47,37,31,24,30,28
GCF_003181675.fna.gz,cperfringens,119,1,46,3,24,3,4,1,2
GCF_003181835.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_004116255.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_011062585.fna.gz,cperfringens,-,20,1,4,1,3,4,8,
GCF_003181395.fna.gz,cperfringens,-,1,3,48,5,24,,1,4
GCF_001579765.fna.gz,cperfringens,78,3,4,4,19,3,20,1,5
GCF_001949725.fna.gz,cperfringens,97,3,4,42,19,3,20,1,5
GCF_003628405.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_004116165.fna.gz,cperfringens,153,29,20,23,47,18,27,20,17
GCF_011062485.fna.gz,cperfringens,-,99,99,99,82,58,35,79,59
GCF_002160285.fna.gz,cperfringens,100,46,45,43,4,2,22,41,27
GCF_001949295.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_003181695.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_003181875.fna.gz,cperfringens,111,49,3,48,5,24,7,1,4
GCF_003181995.fna.gz,cperfringens,129,1,3,48,5,24,7,1,4
GCF_011062525.fna.gz,cperfringens,264,40,21,76,4,6,3,19,4
GCF_001949565.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_003181535.fna.gz,cperfringens,113,3,50,49,38,32,20,1,29
GCF_005844105.fna.gz,cperfringens,166,14,10,4,3,3,1,13,2
GCF_001949405.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_004116125.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_005844665.fna.gz,cperfringens,162,18,20,23,12,16,13,20,17
GCF_003181405.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_001579785.fna.gz,cperfringens,79,44,65,41,55,23,21,40,26
GCF_002161405.fna.gz,cperfringens,99,45,45,43,4,2,22,41,27
GCF_003849925.fna.gz,cperfringens,144,3,5,19,5,1,3,1,2
GCF_004116225.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_011062545.fna.gz,cperfringens,293,74,80,74,82,49,3,61,57
GCF_001949735.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_003181705.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_006385425.fna.gz,cperfringens,169,64,64,59,52,40,9,1,39
GCF_001949305.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_003181895.fna.gz,cperfringens,127,50,50,53,38,33,12,1,30
GCF_006409095.fna.gz,cperfringens,167,54,63,64,4,2,22,41,27
