Genome,Scheme,ST,gki,gtr,murI,mutS,recP,xpt,atoB,clonal_complex
GCF_000010705.fna.gz,sdysgalactiae_equisimilis,67,3,3,4,2,9,22,7,
GCF_000307185.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_000317855.fna.gz,sdysgalactiae_equisimilis,128,3,2,1,1,4,1,11,
GCF_000970985.fna.gz,sdysgalactiae_equisimilis,53,3,2,4,2,3,7,1,
GCF_000971005.fna.gz,sdysgalactiae_equisimilis,51,3,2,4,1,11,1,2,
GCF_001038445.fna.gz,sdysgalactiae_equisimilis,44,2,2,4,2,3,7,1,
GCF_001072165.fna.gz,sdysgalactiae_equisimilis,296,1,1,1,1,1,63,4,
GCF_001682735.fna.gz,sdysgalactiae_equisimilis,3,5,3,4,1,6,2,1,
GCF_001682745.fna.gz,sdysgalactiae_equisimilis,84,6,3,9,1,8,3,2,
GCF_001682755.fna.gz,sdysgalactiae_equisimilis,3,5,3,4,1,6,2,1,
GCF_001682765.fna.gz,sdysgalactiae_equisimilis,314,2,2,4,10,8,70,2,
GCF_001682815.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
GCF_001682825.fna.gz,sdysgalactiae_equisimilis,40,1,1,1,4,1,1,4,
GCF_001704435.fna.gz,sdysgalactiae_equisimilis,186,9,2,4,1,2,3,5,
GCF_001704445.fna.gz,sdysgalactiae_equisimilis,38,1,1,1,1,1,1,1,
GCF_001704455.fna.gz,sdysgalactiae_equisimilis,78,8,3,4,1,6,2,1,
GCF_001704515.fna.gz,sdysgalactiae_equisimilis,8,1,1,1,1,1,1,4,
GCF_001704525.fna.gz,sdysgalactiae_equisimilis,69,3,9,1,1,4,1,11,
GCF_002094215.fna.gz,sdysgalactiae_equisimilis,20,3,3,2,8,9,6,6,
GCF_003202195.fna.gz,sdysgalactiae_equisimilis,new_alleles,2,~2,4,1,1,1,2,
GCF_003967135.fna.gz,sdysgalactiae_equisimilis,246,34,36,30,7,41,55,35,
GCF_008121765.fna.gz,sdysgalactiae_equisimilis,12,4,4,5,2,17,6,2,
GCF_008121775.fna.gz,sdysgalactiae_equisimilis,20,3,3,2,8,9,6,6,
GCF_008121785.fna.gz,sdysgalactiae_equisimilis,20,3,3,2,8,9,6,6,
GCF_008121795.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_008121855.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
