Genome,Scheme,ST,Chy_aspA,Chy_atpA,Chy_glnA,Chy_gltA,Chy_glyA,Chy_pgm,Chy_tkt,clonal_complex
GCF_001486805.fna.gz,chyointestinalis,new_alleles,~8,1,16,4,15,17,14,
GCF_001486965.fna.gz,chyointestinalis,new_alleles,5,1,~17,21,9,~9,26,
GCF_001643955.fna.gz,chyointestinalis,5,1,2,4,3,4,1,5,
GCF_001643975.fna.gz,chyointestinalis,9,4,5,7,6,6,7,9,
GCF_002927305.fna.gz,chyointestinalis,new_alleles,~22,~15,~17,19,1,1,1,
GCF_002927335.fna.gz,chyointestinalis,new_ST,1,2,3,3,3,3,11,
GCF_002927355.fna.gz,chyointestinalis,new_alleles,6,1,~3,4,8,4,12,
GCF_002927375.fna.gz,chyointestinalis,new_alleles,~5,1,~17,21,9,~9,26,
GCF_002927395.fna.gz,chyointestinalis,new_alleles,~22,~15,~17,19,1,1,1,
GCF_002927415.fna.gz,chyointestinalis,new_alleles,~22,~15,~17,19,1,1,1,
GCF_002927435.fna.gz,chyointestinalis,new_alleles,~22,~15,~17,19,1,1,1,
GCF_002927455.fna.gz,chyointestinalis,new_ST,1,2,3,3,3,3,11,
GCF_002927475.fna.gz,chyointestinalis,new_alleles,1,1,~17,4,10,~9,10,
GCF_002927495.fna.gz,chyointestinalis,new_alleles,1,20,2,4,1,18,~22,
GCF_002927505.fna.gz,chyointestinalis,new_alleles,18,~1,1,4,10,~26,6,
GCF_002927525.fna.gz,chyointestinalis,new_ST,1,2,3,3,3,3,11,
GCF_002927555.fna.gz,chyointestinalis,new_alleles,6,1,~17,4,8,4,12,
GCF_002927575.fna.gz,chyointestinalis,new_ST,19,1,5,4,1,18,6,
GCF_002927595.fna.gz,chyointestinalis,new_alleles,6,1,~17,4,8,4,12,
GCF_002927605.fna.gz,chyointestinalis,new_alleles,5,1,~17,4,8,~9,6,
GCF_003289475.fna.gz,chyointestinalis,8,3,4,6,5,5,6,8,
GCF_003289525.fna.gz,chyointestinalis,20,9,8,9,8,11,10,15,
GCF_003289555.fna.gz,chyointestinalis,23,11,11,11,10,13,12,16,
GCF_003289565.fna.gz,chyointestinalis,24,12,12,12,5,14,13,18,
GCF_003289585.fna.gz,chyointestinalis,37,15,14,14,11,18,19,20,
GCF_003289845.fna.gz,chyointestinalis,21,9,9,9,8,11,10,16,
GCF_003289865.fna.gz,chyointestinalis,97,21,10,19,15,22,25,24,
GCF_003289875.fna.gz,chyointestinalis,22,10,10,10,9,12,11,17,
GCF_003289885.fna.gz,chyointestinalis,22,10,10,10,9,12,11,17,
GCF_005844045.fna.gz,chyointestinalis,new_alleles,1,1,~5,4,1,4,6,
GCF_008000435.fna.gz,chyointestinalis,39,1,7,2,2,19,4,14,
GCF_008000555.fna.gz,chyointestinalis,new_alleles,~9,~21,~14,~8,~6,~27,~23,
GCF_008000635.fna.gz,chyointestinalis,new_alleles,~1,2,4,3,3,3,19,
GCF_008017725.fna.gz,chyointestinalis,27,1,13,4,3,4,15,7,
GCF_008802075.fna.gz,chyointestinalis,8,3,4,6,5,5,6,8,
GCF_013372145.fna.gz,chyointestinalis,27,1,13,4,3,4,15,7,
GCF_013372165.fna.gz,chyointestinalis,8,3,4,6,5,5,6,8,
GCF_018476765.fna.gz,chyointestinalis,114,1,17,4,23,26,24,29,
GCF_900116585.fna.gz,chyointestinalis,27,1,13,4,3,4,15,7,
GCF_900446365.fna.gz,chyointestinalis,7,1,2,4,3,4,1,7,
GCF_900460765.fna.gz,chyointestinalis,27,1,13,4,3,4,15,7,
GCF_902385735.fna.gz,chyointestinalis,5,1,2,4,3,4,1,5,
