Genome,Scheme,ST,glyA,gmk,adk,gyrB,atpA,arcC,pgm,ppa
GCF_002090275.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002095995.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002128005.fna.gz,mpneumoniae,-,,2,5,2,4,1,3,2
GCF_002128085.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_002355695.fna.gz,mpneumoniae,-,2,2,1,2,4,1,3,
GCF_009810755.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009811075.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_001901705.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_001296705.fna.gz,mpneumoniae,20,1,3,1,1,3,1,2,1
GCF_001296885.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810815.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001296785.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_001455735.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002128205.fna.gz,mpneumoniae,-,2,2,2,2,4,1,,2
GCF_009810455.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810955.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001272895.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_001455635.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002096015.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_009810475.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810975.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002090295.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002128105.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_002128265.fna.gz,mpneumoniae,15,4,2,1,2,4,1,3,2
GCF_009810715.fna.gz,mpneumoniae,-,4,2,5,,4,1,3,2
GCF_009810995.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_002090215.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_001296895.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810235.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810835.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001296725.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001455675.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001455745.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001509195.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009811015.fna.gz,mpneumoniae,-,1,1,1,1,3,,2,1
GCF_001296815.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001296505.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002096035.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002127985.fna.gz,mpneumoniae,19,1,1,1,1,3,1,6,1
GCF_002128045.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002128125.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_002128165.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_002563355.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_009810775.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002090235.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_009810395.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810855.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_001455605.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001296735.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001455775.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810875.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_001296825.fna.gz,mpneumoniae,-,,2,2,2,4,1,3,2
GCF_001296585.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001455685.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002128025.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002128065.fna.gz,mpneumoniae,20,1,3,1,1,3,1,2,1
GCF_002128145.fna.gz,mpneumoniae,20,1,3,1,1,3,1,2,1
GCF_002128185.fna.gz,mpneumoniae,16,2,2,2,2,4,1,4,2
GCF_002563365.fna.gz,mpneumoniae,-,2,2,2,2,4,1,,2
GCF_009810795.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002090315.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002128235.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_002128285.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_009810735.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009811035.fna.gz,mpneumoniae,-,4,2,,2,4,,3,2
GCF_001296765.fna.gz,mpneumoniae,-,4,2,5,,4,1,3,2
GCF_001455625.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001455795.fna.gz,mpneumoniae,30,6,1,1,1,3,1,2,1
GCF_001558175.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009811055.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001296855.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_001296615.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_001455695.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002147855.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002355715.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_002563345.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002563415.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002563545.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_009810015.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810055.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810115.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810155.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810195.fna.gz,mpneumoniae,16,2,2,2,2,4,1,4,2
GCF_009810255.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810315.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810335.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810415.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810495.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_009810515.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_009810555.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810575.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810635.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810655.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810695.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810895.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_002563435.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_002563495.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_002563515.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009809995.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810035.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810095.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810135.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009810175.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810275.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810295.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810355.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810375.fna.gz,mpneumoniae,-,2,2,2,2,4,1,,2
GCF_009810535.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_009810595.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810615.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810675.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009810915.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810435.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009810935.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009811095.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009811115.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009811135.fna.gz,mpneumoniae,30,6,1,1,1,3,1,2,1
GCF_009811155.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009811175.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009811195.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009811215.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009811235.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009811255.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009811275.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009811295.fna.gz,mpneumoniae,7,2,2,2,2,4,1,3,2
GCF_009939745.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009939765.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009939785.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009939805.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009939825.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009939845.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009939975.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009940325.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009940965.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009941325.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009941705.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009942155.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009942395.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009942655.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009942915.fna.gz,mpneumoniae,33,4,2,7,2,4,1,3,2
GCF_009943205.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009943505.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009943805.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009944075.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009944335.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009944725.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009945165.fna.gz,mpneumoniae,17,1,1,1,1,3,1,5,1
GCF_009945535.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009945865.fna.gz,mpneumoniae,14,4,2,5,2,4,1,3,2
GCF_009946285.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009946845.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009947205.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_009947575.fna.gz,mpneumoniae,17,1,1,1,1,3,1,5,1
GCF_009947985.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_009948395.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_900660465.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_910574535.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_000027345.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_000283755.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_000319655.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_000319675.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_000331085.fna.gz,mpneumoniae,1,1,1,1,1,3,2,2,1
GCF_000387745.fna.gz,mpneumoniae,-,2,2,2,2,4,1,,2
GCF_000733995.fna.gz,mpneumoniae,3,1,1,1,1,3,1,2,1
GCF_001272715.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
