Genome,Scheme,ST,arcC,pta,menF,dnaJ,glpF,fumC,hutU
GCF_003036185.fna.gz,schromogenes,48,1,5,1,1,3,6,1
GCF_003039495.fna.gz,schromogenes,53,8,5,1,14,3,7,1
GCF_003039515.fna.gz,schromogenes,48,1,5,1,1,3,6,1
GCF_014635745.fna.gz,schromogenes,67,8,2,15,1,21,6,17
GCF_015355395.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_002994225.fna.gz,schromogenes,19,5,2,5,1,6,1,1
GCF_003036285.fna.gz,schromogenes,25,11,4,2,9,11,2,7
GCF_015355305.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_002994065.fna.gz,schromogenes,48,1,5,1,1,3,6,1
GCF_002994285.fna.gz,schromogenes,82,27,1,1,1,1,1,1
GCF_003036345.fna.gz,schromogenes,81,26,4,19,20,11,16,11
GCF_003039435.fna.gz,schromogenes,48,1,5,1,1,3,6,1
GCF_015355435.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003036135.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003036405.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_015355325.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003036085.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003039555.fna.gz,schromogenes,77,1,2,1,3,2,1,19
GCF_015355355.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003036205.fna.gz,schromogenes,48,1,5,1,1,3,6,1
GCF_003036245.fna.gz,schromogenes,25,11,4,2,9,11,2,7
GCF_003039535.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003039575.fna.gz,schromogenes,83,28,2,18,14,3,7,8
GCF_003039595.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003039615.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003039675.fna.gz,schromogenes,25,11,4,2,9,11,2,7
GCF_015355275.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003036105.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003036125.fna.gz,schromogenes,68,1,2,16,3,2,1,1
GCF_003036365.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_015355105.fna.gz,schromogenes,-,,4,2,,14,19,
GCF_015355455.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_002994185.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_002994245.fna.gz,schromogenes,69,1,2,17,3,3,1,1
GCF_002994305.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003036035.fna.gz,schromogenes,75,1,1,1,1,1,18,1
GCF_003036305.fna.gz,schromogenes,79,19,10,2,17,14,19,11
GCF_015355185.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_015355485.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003036215.fna.gz,schromogenes,25,11,4,2,9,11,2,7
GCF_003036155.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003039715.fna.gz,schromogenes,78,4,4,4,25,5,4,4
GCF_015355375.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003036265.fna.gz,schromogenes,48,1,5,1,1,3,6,1
GCF_003036375.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003039655.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_015355155.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_015355465.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003039455.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003039755.fna.gz,schromogenes,74,1,2,1,21,25,7,1
GCF_015355385.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_002994195.fna.gz,schromogenes,69,1,2,17,3,3,1,1
GCF_002994265.fna.gz,schromogenes,80,25,11,10,26,18,15,10
GCF_003036025.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003036065.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003036325.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003039635.fna.gz,schromogenes,77,1,2,1,3,2,1,19
GCF_003039695.fna.gz,schromogenes,18,4,4,4,4,5,4,4
GCF_003039735.fna.gz,schromogenes,52,6,12,11,1,19,12,1
GCF_003039775.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003039795.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040015.fna.gz,schromogenes,77,1,2,1,3,2,1,19
GCF_003040075.fna.gz,schromogenes,75,1,1,1,1,1,18,1
GCF_003040095.fna.gz,schromogenes,85,30,16,1,24,22,7,18
GCF_003040115.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003040135.fna.gz,schromogenes,53,8,5,1,14,3,7,1
GCF_003040155.fna.gz,schromogenes,-,26,4,19,20,26,16,11
GCF_003040195.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040275.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040415.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040435.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040495.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003578175.fna.gz,schromogenes,88,1,1,1,1,1,20,1
GCF_003578225.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003578295.fna.gz,schromogenes,15,3,2,5,1,3,1,1
GCF_003578495.fna.gz,schromogenes,89,31,2,1,1,27,6,1
GCF_005048075.fna.gz,schromogenes,92,1,2,11,3,25,1,17
GCF_015355205.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_015355505.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003040215.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578485.fna.gz,schromogenes,86,19,10,2,17,14,19,9
GCF_003578585.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_015355175.fna.gz,schromogenes,-,,4,2,,14,19,
GCF_015355475.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003039815.fna.gz,schromogenes,15,3,2,5,1,3,1,1
GCF_003040035.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003040055.fna.gz,schromogenes,72,1,5,1,1,23,6,1
GCF_003040175.fna.gz,schromogenes,79,19,10,2,17,14,19,11
GCF_003040335.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003040395.fna.gz,schromogenes,84,29,2,1,3,24,13,1
GCF_003040455.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040475.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003043035.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578215.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_003578285.fna.gz,schromogenes,87,26,17,19,20,11,16,11
GCF_003578465.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578545.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_011466875.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_015355295.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_003040235.fna.gz,schromogenes,50,3,2,5,1,3,1,13
GCF_003040255.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040295.fna.gz,schromogenes,83,28,2,18,14,3,7,8
GCF_003040315.fna.gz,schromogenes,25,11,4,2,9,11,2,7
GCF_003040355.fna.gz,schromogenes,73,1,1,1,3,16,6,1
GCF_003040375.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040515.fna.gz,schromogenes,52,6,12,11,1,19,12,1
GCF_003578185.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578265.fna.gz,schromogenes,20,6,2,1,2,7,6,1
GCF_003578325.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578525.fna.gz,schromogenes,90,1,1,20,1,1,1,1
GCF_007004205.fna.gz,schromogenes,25,11,4,2,9,11,2,7
GCF_015355235.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_015355555.fna.gz,schromogenes,-,,4,2,,14,19,
GCF_003039835.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003578435.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578535.fna.gz,schromogenes,1,1,1,1,1,1,1,1
