Genome,Scheme,ST,Cup_adk,Cup_aspA,Cup_atpA,Cup_glnA,Cup_glyA,Cup_pgi,Cup_tkt,clonal_complex
GCF_000167395.fna.gz,cupsaliensis,5,4,4,5,5,4,5,5,
GCF_000185345.fna.gz,cupsaliensis,new_ST,8,12,1,10,1,12,9,
GCF_000620965.fna.gz,cupsaliensis,203,40,43,23,3,30,42,56,
GCF_013372245.fna.gz,cupsaliensis,20,6,15,1,13,11,1,11,
GCF_014068875.fna.gz,cupsaliensis,new_ST,8,12,1,10,1,12,9,
GCF_016458385.fna.gz,cupsaliensis,new_ST,1,15,1,53,11,1,1,
GCF_016458435.fna.gz,cupsaliensis,207,6,15,1,13,1,1,9,
GCF_018500215.fna.gz,cupsaliensis,210,6,66,1,54,3,55,10,
GCF_018500235.fna.gz,cupsaliensis,211,45,17,1,31,1,12,1,
GCF_018500245.fna.gz,cupsaliensis,new_alleles,8,13,1,~35,1,14,10,
GCF_018500305.fna.gz,cupsaliensis,208,6,15,22,28,20,1,4,
GCF_018500345.fna.gz,cupsaliensis,new_ST,6,3,1,54,39,53,4,
GCF_018500355.fna.gz,cupsaliensis,209,10,77,1,3,13,54,66,
GCF_900446605.fna.gz,cupsaliensis,50,19,26,16,21,23,19,25,ST-50
GCF_900446625.fna.gz,cupsaliensis,44,6,15,1,1,1,13,1,
GCF_900446645.fna.gz,cupsaliensis,new_alleles,1,3,18,29,~25,22,26,
GCF_900637395.fna.gz,cupsaliensis,203,40,43,23,3,30,42,56,
GCF_902374245.fna.gz,cupsaliensis,new_ST,8,12,1,10,1,12,9,
