Genome,Scheme,ST,gyrB,metE,mdh,pntA,adk,purM,pyrC
GCF_002076235.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788755.fna.gz,vcholerae,752,36,22,14,30,24,1,45
GCF_001253235.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001254355.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098885.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002099065.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736775.fna.gz,vcholerae,11,5,33,3,31,12,18,26
GCF_001248195.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_001249315.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259135.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098255.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098445.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002204105.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_001402425.fna.gz,vcholerae,463,5,48,15,17,18,1,45
GCF_001857225.fna.gz,vcholerae,738,5,50,14,28,26,14,45
GCF_001857345.fna.gz,vcholerae,731,15,15,126,24,1,5,14
GCF_002078755.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002097835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788775.fna.gz,vcholerae,-,38,356,,18,19,,280
GCF_001253575.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_001254435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736785.fna.gz,vcholerae,15,23,47,6,11,14,1,36
GCF_002098915.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402435.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_002076245.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076425.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002251495.fna.gz,vcholerae,-,44,64,11,3,,8,43
GCF_002284185.fna.gz,vcholerae,751,78,128,63,61,14,1,163
GCF_002098295.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002078795.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001248465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259235.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857245.fna.gz,vcholerae,75,2,37,4,12,7,1,38
