Genome,Scheme,ST,atpD,infB,mdh,rpoB,6pgd,g3pd,frdB,clonal_complex
GCF_000021885.fna.gz,gparasuis,31,10,1,7,1,19,1,17,
GCF_000444545.fna.gz,gparasuis,-,1,8,-,1,1,1,3,
GCF_000444565.fna.gz,gparasuis,-,-,6,6,4,6,3,6,
GCF_000444585.fna.gz,gparasuis,-,2,4,-,-,9,14,30,
GCF_000444605.fna.gz,gparasuis,-,21,2,4,6,36,-,4,
GCF_000444625.fna.gz,gparasuis,-,-,10,3,1,3,3,2,
GCF_000444665.fna.gz,gparasuis,-,4,5,-,4,5,3,5,
GCF_000478405.fna.gz,gparasuis,321,2,40,6,1,43,1,9,
GCF_000558945.fna.gz,gparasuis,170,5,1,6,19,46,1,1,
GCF_000600995.fna.gz,gparasuis,24,1,8,7,1,1,1,3,
GCF_000688815.fna.gz,gparasuis,344,2,2,8,17,9,3,2,
GCF_000688835.fna.gz,gparasuis,345,2,4,4,5,9,14,30,
GCF_000688855.fna.gz,gparasuis,455,1,68,1,1,3,1,13,
GCF_000690655.fna.gz,gparasuis,new_alleles,~46,68,7,1,73,1,~22,
GCF_000690675.fna.gz,gparasuis,new_alleles,~15,1,13,1,3,3,3,
GCF_000731865.fna.gz,gparasuis,30,4,5,17,8,16,3,6,
GCF_000740985.fna.gz,gparasuis,new_ST,24,23,59,2,3,1,2,
GCF_000742795.fna.gz,gparasuis,167,25,2,32,1,3,17,36,
GCF_000751055.fna.gz,gparasuis,8,9,1,1,1,1,1,13,
GCF_001611775.fna.gz,gparasuis,346,2,2,37,6,12,1,23,
GCF_001877015.fna.gz,gparasuis,-,2,-,6,9|1,-,3,3,
GCF_001938125.fna.gz,gparasuis,114,20,5,28,13,35,3,6,
GCF_001938205.fna.gz,gparasuis,168,26,40,33,1,43,1,2,
GCF_001938215.fna.gz,gparasuis,181,26,11,12,1,43,3,38,
GCF_001938245.fna.gz,gparasuis,181,26,11,12,1,43,3,38,
GCF_001938255.fna.gz,gparasuis,184,24,11,36,1,45,1,37,
GCF_001938285.fna.gz,gparasuis,161,4,4,6,3,27,3,21,
GCF_001938295.fna.gz,gparasuis,161,4,4,6,3,27,3,21,
GCF_001938325.fna.gz,gparasuis,160,4,18,17,4,15,3,6,
GCF_001938335.fna.gz,gparasuis,160,4,18,17,4,15,3,6,
GCF_001938355.fna.gz,gparasuis,178,2,2,22,6,12,3,23,
GCF_001938365.fna.gz,gparasuis,161,4,4,6,3,27,3,21,
GCF_001938405.fna.gz,gparasuis,160,4,18,17,4,15,3,6,
GCF_002015085.fna.gz,gparasuis,16,4,4,4,3,4,2,4,
GCF_002777395.fna.gz,gparasuis,25,4,5,5,4,5,3,5,
GCF_002777455.fna.gz,gparasuis,24,1,8,7,1,1,1,3,
GCF_003286935.fna.gz,gparasuis,8,9,1,1,1,1,1,13,
