Genome,Scheme,ST,Cln_gltA,Cln_atpA,Cln_pgm,Cln_glnA,Cln_glyA,Cln_tkt,Cln_aspA
GCF_002139415.fna.gz,clanienae,18,7,6,11,1,11,8,5
GCF_002139425.fna.gz,clanienae,27,2,5,17,5,14,5,17
GCF_002139915.fna.gz,clanienae,170,1,1,1,80,1,1,1
GCF_002139935.fna.gz,clanienae,2,2,2,2,2,2,2,2
GCF_008000475.fna.gz,clanienae,-,,7,,9,29,10,21
GCF_008000595.fna.gz,clanienae,-,2,7,,9,12,22,13
GCF_900446565.fna.gz,clanienae,170,1,1,1,80,1,1,1
GCF_902385725.fna.gz,clanienae,2,2,2,2,2,2,2,2
GCF_002138435.fna.gz,clanienae,77,24,25,36,36,31,32,15
GCF_002138445.fna.gz,clanienae,154,23,24,35,79,12,10,37
GCF_002138455.fna.gz,clanienae,156,27,25,39,36,35,36,15
GCF_002138485.fna.gz,clanienae,77,24,25,36,36,31,32,15
GCF_002138515.fna.gz,clanienae,118,36,47,69,58,13,52,61
GCF_002138525.fna.gz,clanienae,110,24,12,50,45,50,57,55
GCF_002138535.fna.gz,clanienae,110,24,12,50,45,50,57,55
GCF_002138565.fna.gz,clanienae,100,32,36,44,5,43,50,48
GCF_002138595.fna.gz,clanienae,5,2,5,5,5,5,5,5
GCF_002138605.fna.gz,clanienae,9,7,5,7,8,5,5,7
GCF_002138615.fna.gz,clanienae,10,7,7,6,6,5,5,7
GCF_002138635.fna.gz,clanienae,12,7,7,8,5,5,5,7
GCF_002138675.fna.gz,clanienae,171,68,7,12,12,21,10,7
GCF_002139215.fna.gz,clanienae,154,23,24,35,79,12,10,37
GCF_002139235.fna.gz,clanienae,63,3,3,3,3,3,37,3
GCF_002139255.fna.gz,clanienae,83,32,32,41,19,39,43,16
GCF_002139265.fna.gz,clanienae,99,32,32,43,40,39,48,47
GCF_002139275.fna.gz,clanienae,67,3,3,3,3,3,49,3
GCF_002139315.fna.gz,clanienae,78,27,25,45,36,35,36,15
GCF_002139335.fna.gz,clanienae,102,39,3,51,5,51,59,50
GCF_002139345.fna.gz,clanienae,103,36,12,47,2,45,52,50
GCF_002139375.fna.gz,clanienae,110,24,12,50,45,50,57,55
GCF_002139385.fna.gz,clanienae,122,36,47,66,2,8,52,64
