Genome,Scheme,ST,Cup_aspA,Cup_tkt,Cup_glyA,Cup_atpA,Cup_adk,Cup_pgi,Cup_glnA
GCF_000167395.fna.gz,cupsaliensis,5,4,5,4,5,4,5,5
GCF_000185345.fna.gz,cupsaliensis,-,12,9,1,1,8,12,10
GCF_000620965.fna.gz,cupsaliensis,203,43,56,30,23,40,42,3
GCF_013372245.fna.gz,cupsaliensis,20,15,11,11,1,6,1,13
GCF_014068875.fna.gz,cupsaliensis,-,12,9,1,1,8,12,10
GCF_016458385.fna.gz,cupsaliensis,-,15,1,11,1,1,1,53
GCF_016458435.fna.gz,cupsaliensis,207,15,9,1,1,6,1,13
GCF_018500215.fna.gz,cupsaliensis,210,66,10,3,1,6,55,54
GCF_018500235.fna.gz,cupsaliensis,211,17,1,1,1,45,12,31
GCF_018500245.fna.gz,cupsaliensis,-,13,10,1,1,8,14,
GCF_018500305.fna.gz,cupsaliensis,208,15,4,20,22,6,1,28
GCF_018500345.fna.gz,cupsaliensis,-,3,4,39,1,6,53,54
GCF_018500355.fna.gz,cupsaliensis,209,77,66,13,1,10,54,3
GCF_900446605.fna.gz,cupsaliensis,50,26,25,23,16,19,19,21
GCF_900446625.fna.gz,cupsaliensis,44,15,1,1,1,6,13,1
GCF_900446645.fna.gz,cupsaliensis,-,3,26,,18,1,22,29
GCF_900637395.fna.gz,cupsaliensis,203,43,56,30,23,40,42,3
GCF_902374245.fna.gz,cupsaliensis,-,12,9,1,1,8,12,10
